Curated Gene Symbol	UniGene ID	OMIM	Gene name	Symbol	1.5 h	3 h	16 h	24 h	48 h	AA	q-value
HSPA5	Hs.522394	138120	heat shock 70kDa protein 5 (glucose regulated protein, 78kDa)	HSPA5	-0.17	0.09	1.24	1.36	1.19	1.03	0.005
RRAD	Hs.1027	179503	Ras-related associated with diabetes	RRAD	2.16	2.42	0.3	-0.77	-0.52	-2.74	0.009
					0.24	-0.46	1.76	0.26	0.87		0.016
NUAK2	Hs.497512	608131	likely ortholog of rat SNF1/AMP-activated protein kinase	SNARK	-0.32	-0.97	0.27	0.85	0.53	0.11	0.016
					-0.19	-0.46	0.13	0.05	0.62	0.64	0.016
ITPR1	Hs.374613	147265	inositol 1,4,5-triphosphate receptor, type 1	ITPR1	0.19	0.81	2.6	1.86	1.56	1	0.016
PMAIP1	Hs.96	604959	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1	-0.46	-1.23	-0.06	-0.13	-0.22	-1.04	0.016
MTHFD2	Hs.469030	604887	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	MTHFD2	-0.01	-0.26	0.66	0.64	0.77	-0.55	0.02
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	0.06	0.21	-0.5	-0.97	-0.66	-0.32	0.021
					0.43	-0.09	-0.07	0.01	-1	0.4	0.021
					2.9	2.82	1.5	1.03	1.79	-0.99	0.021
					-0.05	-0.14	0.29	1.2	0.25	0.34	0.021
IL8	Hs.624	146930	interleukin 8	IL8	0.29	-0.46	1.53	0.34	1	-0.75	0.021
FHL1	Hs.435369	300163	four and a half LIM domains 1	FHL1	0.17	0.65	1.91	2.62	1.65	1.08	0.021
					-0.11	-0.26	-0.84	0.28	-0.64	-0.56	0.021
					-0.01	0.85	1.09	0.92	0.91	1.36	0.021
RAB31	Hs.99528	605694	RAB31, member RAS oncogene family	RAB31	0.06	0.13	-0.68	-0.52	-0.81	-0.28	0.021
					0.12	-0.1	0.21	1.02	1.03	0.66	0.021
					-0.36	-0.58	0.48	0.45	0.25	0.19	0.021
KLF10	Hs.435001	601878	Kruppel-like factor 10	KLF10	1.19	0.19	0.09	-0.06	0.01	-0.49	0.021
ACTG1	Hs.520640	102560	actin, gamma 1	ACTG1	-0.04	-0.26	-0.89	-0.6	-0.64	-0.24	0.021
					0.22	0.55	2.02	2.36	1.55	1.11	0.021
					0.45	0.11	-0.37	-0.22	-0.09	0.17	0.021
LPCAT1	Hs.368853		hypothetical protein FLJ12443	FLJ12443	0.17	0.17	-0.7	-0.67	-0.89	0.14	0.023
HSP90B1	Hs.459507	191175	tumor rejection antigen (gp96) 1	TRA1	0.11	0.03	0.61	1.12	1.2	0.81	0.023
GSDMD	Hs.118983		gasdermin domain containing 1	GSDMDC1	0.05	-0.03	-0.42	-0.71	-0.8	-0.05	0.023
					0.11	-0.06	0.07	1.2	0.35	0.07	0.025
SESN2	Hs.469543	607767	sestrin 2	SESN2	-0.8	-1.26	0.32	0.76	0.43	-0.13	0.026
IER2	Hs.501629		immediate early response 2	IER2	2.08	0.62	0.13	-0.25	0.46	-0.94	0.026
					0.09	-0.11	-0.55	-0.97	-0.89	-0.1	0.026
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	0.09	-0.1	-0.43	-0.75	-0.85	-0.26	0.026
IL8	Hs.624	146930	interleukin 8	IL8	0.17	-0.62	1.52	0.32	0.76	-1	0.026
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	0.01	0.02	-0.42	-0.84	-0.48	-0.19	0.027
					-0.03	-0.16	-1.06	-1.31	-1.72	-1.54	0.027
SYTL2	Hs.369520		synaptotagmin-like 2	SYTL2	-0.01	-0.12	-1.33	-1.53	-1.22	0.12	0.027
					0.23	-0.13	-0.04	0.06	-0.81	-0.01	0.027
					0.24	0.82	2.63	1.46	1.73	1.06	0.027
					0.19	-0.11	-0.47	-0.68	-0.54	-0.42	0.027
ABCB6	Hs.107911	605452	ATP-binding cassette, sub-family B (MDR/TAP), member 6	ABCB6	0.07	0.03	-0.48	0.2	-0.79	-0.05	0.027
AKT1	Hs.525622	164730	v-akt murine thymoma viral oncogene homolog 1	AKT1	0.13	0.03	-0.06	0.78	0.03	0.29	0.027
					0.43	0.17	-0.48	-0.07	-0.94	-0.04	0.028
IGFBP4	Hs.462998	146733	insulin-like growth factor binding protein 4	IGFBP4	0.23	0.26	0.32	1.61	0.84	-0.17	0.028
GPR183	Hs.784	605741	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein coupled receptor)	EBI2	2.63	2.75	1.32	0.91	1.42	-0.88	0.028
					-0.06	-0.08	-0.47	-0.76	-0.71	-0.2	0.028
DAXX	Hs.336916	603186	death-associated protein 6	DAXX	0.35	-0.3	-0.72	-0.44	-1.01	-0.93	0.028
					-0.07	0.1	0.02	0.91	0.27	0.65	0.028
FYN	Hs.390567	137025	FYN oncogene related to SRC, FGR, YES	FYN	-0.04	0.33	0.91	1.05	0.9	0.66	0.028
MACF1	Hs.472475	608271	microtubule-actin crosslinking factor 1	MACF1	0.19	0.69	2.34	2.38	2.81	1.98	0.028
					0.08	0.17	1.18	1.28	1.13	0.98	0.028
					-0.05	-0.42	-0.88	0.27	-0.49	-0.36	0.028
					0	-0.28	0.05	1.07	0.28	-0.17	0.028
					0.07	-0.09	-0.45	-0.68	-0.67	-0.17	0.028
AGPAT1	Hs.409230	603099	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	AGPAT1	0.14	0.06	-0.05	0.99	0.1	0.25	0.028
TYMP	Hs.546251	131222	endothelial cell growth factor 1 (platelet-derived)	ECGF1	-0.31	0.28	1.35	1.31	1.03	-0.03	0.028
					0.01	-0.02	-0.48	-0.86	-0.73	-0.1	0.028
SEC61A1	Hs.518236		Sec61 alpha 1 subunit (S. cerevisiae)	SEC61A1	-0.15	-0.19	0.58	0.86	0.12	0.54	0.028
