Ensembl ID	Fold Change	Gene Name	Gene Symbol
ENSG00000166896	2.696404483	Mitochondrial inner membrane protease ATP23 homolog (EC 3.4.24.-) (XRCC6-binding protein 1) (Ku70-binding protein 3)	XRCC6BP1
ENSG00000099622	2.515429915	Cold-inducible RNA-binding protein (Glycine-rich RNA-binding protein CIRP) (A18 hnRNP)	CIRBP
ENSG00000114742	2.443816043	WD repeat-containing protein 48 (WD repeat endosomal protein) (p80)	WDR48
ENSG00000189433	2.401590464	Gap junction beta-4 protein (Connexin-30.3) (Cx30.3)	GJB4
ENSG00000109501	2.343187546	Wolframin	WFS1
ENSG00000129757	2.336478558	Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57KIP2)	CDKN1C
ENSG00000162722	2.333369093	Tripartite motif-containing protein 58 (Protein BIA2)	TRIM58
ENSG00000128159	2.325492375	Gamma-tubulin complex component 6 (GCP-6)	TUBGCP6
ENSG00000169021	2.27091257	Cytochrome b-c1 complex subunit Rieske, mitochondrial precursor (EC 1.10.2.2) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) (Rieske iron-sulfur protein) (RISP) (Complex III subunit 5)	UQCRFS1
ENSG00000141956	2.262500302	PR domain zinc finger protein 15 (PR domain-containing protein 15) (Zinc finger protein 298)	PRDM15
ENSG00000143816	2.254198616	Protein Wnt-9a precursor (Wnt-14)	WNT9A
ENSG00000113209	2.250352026	Protocadherin beta-5 precursor (PCDH-beta-5)	PCDHB5
ENSG00000177700	2.247164298	DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (DNA-directed RNA polymerase III subunit L) (RPB10) (DNA-directed RNA polymerase II 7.6 kDa polypeptide) (RPB7.6).	POLR2L
ENSG00000136826	2.216550728	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut- enriched krueppel-like factor)	KLF4
ENSG00000126883	2.195055819	Nuclear pore complex protein Nup214 (Nucleoporin Nup214) (214 kDa nucleoporin) (Protein CAN)	NUP214
ENSG00000109854	2.193853346	Oxidoreductase HTATIP2 (EC 1.1.1.-) (HIV-1 TAT-interactive protein 2) (30 kDa HIV-1 TAT-interacting protein)	HTATIP2
ENSG00000199156	2.193046041	hsa-mir-422a	hsa-mir-422a
ENSG00000188386	2.191447939	Calcineurin subunit B type 2 (Protein phosphatase 2B regulatory subunit 2) (Protein phosphatase 3 regulatory subunit B beta isoform) (Calcineurin B-like protein) (CBLP) (CNBII)	PPP3R2
ENSG00000184710	2.170357179		ENSG00000184710
ENSG00000157399	2.167687083	Arylsulfatase E precursor (EC 3.1.6.-) (ASE)	ARSE
ENSG00000113272	2.144091003	Probable tRNA(His) guanylyltransferase (EC 2.7.7.-) (tRNA-histidine guanylyltransferase) (Interphase cytoplasmic foci protein 45)	THG1L
ENSG00000041802	2.136000077	Large subunit GTPase 1 homolog (EC 3.6.1.-) (hLsg1)	LSG1
ENSG00000132305	2.122867637	Mitochondrial inner membrane protein (Mitofilin) (p87/89) (Cell proliferation-inducing gene 4 protein)	IMMT
ENSG00000136273	2.117274187	Checkpoint protein HUS1 (hHUS1)	HUS1
ENSG00000114270	2.117203829	Collagen alpha-1(VII) chain precursor (Long-chain collagen) (LC collagen)	COL7A1
ENSG00000170854	2.102603826	MYC-induced nuclear antigen (Mineral dust-induced gene protein) (Nucleolar protein 52)	MINA
ENSG00000136717	2.090680034	Myc box-dependent-interacting protein 1 (Bridging integrator 1) (Amphiphysin-like protein) (Amphiphysin II) (Box-dependent myc- interacting protein 1)	BIN1
ENSG00000188763	2.083050683	Frizzled-9 precursor (Fz-9) (hFz9) (FzE6) (CD349 antigen)	FZD9
