hg18.refGene.name	chrom	strand	start	end	gene symbol	E3Diff	E6Diff	E9Diff	E12Diff	E24Diff	E48Diff	?with RNAPII peaks +/- 1Kb around TSS
NM_005502	chr9	-	106583104	106730257	ABCA1	-0.3286	-0.3993	-0.1967	-0.141	-0.2959	-0.3684	No
NM_004299	chrX	-	74189829	74292857	ABCB7	-0.3626	-0.296	-0.2685	0.0049	0.1889	0.5139	Yes
NM_019900	chr16	+	15950934	16144431	ABCC1	-0.28	-0.2961	-0.2252	-0.1966	-0.4434	-0.8891	Yes
NM_005688	chr3	-	185120417	185218421	ABCC5	-0.5379	-0.9334	-0.5403	-0.3786	-0.3195	-0.2129	Yes
NM_001012751	chr10	-	27075530	27189965	ABI1	-0.3526	-0.4772	-0.2517	-0.1227	-0.0729	-0.0499	Yes
NM_014945	chr5	+	148501246	148620192	ABLIM3	-0.0101	-0.8724	-0.7915	-0.6855	-0.9576	-0.7481	Yes
NM_006111	chr18	-	45563871	45594249	ACAA2	-0.132	-0.5931	-0.2933	-0.5828	-0.5851	-1.024	Yes
NM_032169	chr3	-	133759671	133861665	ACAD11	0.021	-0.6648	-0.456	-0.8177	-0.9884	-0.6575	Yes
NM_002197	chr9	+	32374600	32440832	ACO1	-0.4107	-0.4427	-0.0386	-0.0678	0.0389	0.5843	Yes
NM_001101667	chr4	-	8418908	8493352	ACOX3	-0.3869	-0.2912	-0.4555	-0.8092	-0.8165	-0.7706	Yes
NM_016361	chr1	-	145585791	145609258	ACP6	-0.2978	-0.5757	0.0046	-0.2903	-0.3869	-0.3423	Yes
NM_152282	chr3	+	142433371	142496176	ACPL2	-0.6578	-0.374	-0.2055	-0.2436	0.13	-0.0517	Yes
NM_001995	chr4	-	185913742	185984209	ACSL1	-0.2796	-0.6667	-0.286	-0.2522	-0.354	0.1035	Yes
NM_004457	chr2	+	223433975	223516363	ACSL3	-0.4281	-0.4669	-0.1469	-0.0194	0.0369	-0.948	Yes
NM_018477	chr14	+	57736585	57772106	ACTR10	-0.1997	-0.4321	-0.3028	-0.1655	-0.0423	0.1644	Yes
NM_001111067	chr2	-	158301204	158440620	ACVR1	-0.6645	-0.7654	-0.3496	-0.5328	-0.4488	-0.4828	Yes
NM_138448	chr2	+	54195913	54385939	ACYP2	-0.3806	-0.7687	-0.1225	-0.531	-0.0923	0.2604	Yes
NM_001025107	chr1	-	152821157	152867061	ADAR	-0.2955	-0.4722	-0.1646	-0.1523	-0.2395	0.0425	Yes
NM_012091	chr16	-	74190498	74214655	ADAT1	-0.2653	-0.9844	0.1793	0.0533	0.5948	0.9316	Yes
NM_020983	chr12	-	47446247	47469087	ADCY6	-0.5519	-0.5429	-0.5139	-0.4106	-0.4245	-0.5169	Yes
