# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1415835_at|1415835_at	refseq_dna|NM_008865|NM_008865	mgi_symbol|Csh2|Csh2
affy_mouse430_2|1415886_at|1415886_at	refseq_dna|NM_013781|NM_013781	mgi_symbol|Sh2d3c|Sh2d3c
affy_mouse430_2|1415999_at|1415999_at	refseq_dna|NM_010423|NM_010423	mgi_symbol|Hey1|Hey1
affy_mouse430_2|1416072_at|1416072_at	refseq_dna|NM_001111059|NM_001111059	mgi_symbol|Cd34|Cd34
affy_mouse430_2|1416206_at|1416206_at	refseq_dna|NM_011379|NM_011379	mgi_symbol|Sipa1|Sipa1
affy_mouse430_2|1416238_at|1416238_at	refseq_dna|NM_011587|NM_011587	mgi_symbol|Tie1|Tie1
affy_mouse430_2|1416250_at|1416250_at	refseq_dna|NM_007570|NM_007570	mgi_symbol|Btg2|Btg2
affy_mouse430_2|1416296_at|1416296_at	refseq_dna|NM_013563|NM_013563	mgi_symbol|Il2rg|Il2rg
affy_mouse430_2|1416564_at|1416564_at	refseq_dna|NM_011446|NM_011446	mgi_symbol|Sox7|Sox7
affy_mouse430_2|1416811_s_at|1416811_s_at	refseq_dna|NM_007796|NM_007796	mgi_symbol|Ctla2a|Ctla2a	mgi_symbol|Ctla2b|Ctla2b
affy_mouse430_2|1416992_at|1416992_at	refseq_dna|NM_008595|NM_008595	mgi_symbol|Mfng|Mfng
affy_mouse430_2|1416996_at|1416996_at	refseq_dna|NM_018775|NM_018775	mgi_symbol|Tbc1d8|Tbc1d8
affy_mouse430_2|1417123_at|1417123_at	refseq_dna|NM_020505|NM_020505	mgi_symbol|Vav3|Vav3
affy_mouse430_2|1417271_a_at|1417271_a_at	refseq_dna|NM_007932|NM_007932	mgi_symbol|Eng|Eng
affy_mouse430_2|1417279_at|1417279_at	refseq_dna|NM_010585|NM_010585	mgi_symbol|Itpr1|Itpr1
affy_mouse430_2|1417336_a_at|1417336_a_at	refseq_dna|NM_013757|NM_013757	mgi_symbol|Sytl4|Sytl4
affy_mouse430_2|1417429_at|1417429_at	refseq_dna|NM_010231|NM_010231	mgi_symbol|Fmo1|Fmo1
affy_mouse430_2|1417664_a_at|1417664_a_at	refseq_dna|NM_013865|NM_013865	mgi_symbol|Ndrg3|Ndrg3
affy_mouse430_2|1417828_at|1417828_at	refseq_dna|NM_001109045|NM_001109045	mgi_symbol|Aqp8|Aqp8
affy_mouse430_2|1417839_at|1417839_at	refseq_dna|NM_013805|NM_013805	mgi_symbol|Cldn5|Cldn5
affy_mouse430_2|1417850_at|1417850_at	refseq_dna|NM_009029|NM_009029	mgi_symbol|Rb1|Rb1
affy_mouse430_2|1417894_at|1417894_at	refseq_dna|NM_173036|NM_173036	mgi_symbol|Gpr97|Gpr97
affy_mouse430_2|1417985_at|1417985_at	refseq_dna|NM_025980|NM_025980	mgi_symbol|Nrarp|Nrarp
affy_mouse430_2|1418030_at|1418030_at	refseq_dna|NM_001038643|NM_001038643	mgi_symbol|Slco3a1|Slco3a1
affy_mouse430_2|1418059_at|1418059_at	refseq_dna|NM_133222|NM_133222	mgi_symbol|Eltd1|Eltd1
affy_mouse430_2|1418090_at|1418090_at	refseq_dna|NM_032398|NM_032398	mgi_symbol|Plvap|Plvap
affy_mouse430_2|1418181_at|1418181_at	refseq_dna|NM_008975|NM_008975	mgi_symbol|Ptp4a3|Ptp4a3
affy_mouse430_2|1418187_at|1418187_at	refseq_dna|NM_019444|NM_019444	mgi_symbol|Ramp2|Ramp2
affy_mouse430_2|1418191_at|1418191_at	refseq_dna|NM_011909|NM_011909	mgi_symbol|Usp18|Usp18
affy_mouse430_2|1418219_at|1418219_at	refseq_dna|NM_008357|NM_008357	mgi_symbol|Il15|Il15
affy_mouse430_2|1418296_at|1418296_at	refseq_dna|NM_001111073|NM_001111073	mgi_symbol|Fxyd5|Fxyd5
affy_mouse430_2|1418398_a_at|1418398_a_at	refseq_dna|NM_020286|NM_020286	mgi_symbol|Tspan32|Tspan32
affy_mouse430_2|1418421_at|1418421_at	refseq_dna|NM_007528|NM_007528	mgi_symbol|Bcl6b|Bcl6b
affy_mouse430_2|1418540_a_at|1418540_a_at	refseq_dna|NM_011212|NM_011212	mgi_symbol|Ptpre|Ptpre
affy_mouse430_2|1418582_at|1418582_at	refseq_dna|NM_001109873|NM_001109873	mgi_symbol|Cbfa2t3h|Cbfa2t3h
affy_mouse430_2|1418586_at|1418586_at	refseq_dna|NM_009624|NM_009624	mgi_symbol|Adcy9|Adcy9
affy_mouse430_2|1418892_at|1418892_at	refseq_dna|NM_023275|NM_023275	mgi_symbol|Rhoj|Rhoj
affy_mouse430_2|1418946_at|1418946_at	refseq_dna|NM_009177|NM_009177	mgi_symbol|St3gal1|St3gal1
affy_mouse430_2|1419107_at|1419107_at	refseq_dna|NM_052976|NM_052976	mgi_symbol|Ophn1|Ophn1
affy_mouse430_2|1419120_at|1419120_at	refseq_dna|NM_008535|NM_008535	mgi_symbol|Lyl1|Lyl1
affy_mouse430_2|1419137_at|1419137_at	refseq_dna|NM_021423|NM_021423	mgi_symbol|Shank3|Shank3
affy_mouse430_2|1419161_a_at|1419161_a_at	refseq_dna|NM_015760|NM_015760	mgi_symbol|Nox4|Nox4
