Gene	GenBank accession no.	Fold change	P
Insulin-like growth factor binding protein 4	BB787243	13.91	0.043071
Stathmin-like 2	BM115022	12.74	0.041979
Proliferin 2	X75557	9.15	0.001394
Mus musculus, clone IMAGE:3983821, mRNA, partial cds	BC021831	8.69	0.024198
gb:BG297038 /DB_XREF = gi:13060290 /DB_XREF = 602394895F1	BG297038	8.56	0.020449
Epithelial V-like antigen	BC015076	7.75	0.024265
Serum deprivation response	BE197945	7.58	0.010521
Crystallin, alpha B	NM_009964	6.47	0.036102
Lumican	AK014312	6.19	0.004581
Serum deprivation response	NM_138741	6.14	0.000221
ESTs, moderately similar to A47643 hypothetical protein -mouse (fragment) (M.musculus)	BG862223	5.6	0.004003
Villin 2	BM119387	5.21	0.022625
Zinc finger protein of the cerebellum 1	BB361162	4.79	0.017017
Tumor necrosis factor, alpha-induced protein 2	BB233088	4.22	0.043768
Insulin-like growth factor binding protein 4	BB787243	3.49	0.049965
Epidermal growth factor-containing fibulin-like extracellular matrix protein 1	BC023060	3.42	0.030385
Serine protease inhibitor 10	NM_011452	3.39	0.04213
Growth factor receptor bound protein 10	AK017862	3.36	0.02415
Cathepsin H	NM_007801	3.31	0.016371
Keratin complex 1, acidic, gene 19	NM_008471	3.29	0.001896
Heat shock protein family, member 7 (cardiovascular)	BG968304	3.13	0.00499
Insulin-like growth factor binding protein 6	NM_008344	3.03	0.049958
Stathmin-like 2	BM946869	2.99	0.010291
ATPase, Na+/K+ transporting, beta 1 polypeptide	AV152334	2.94	0.04292
Thrombomodulin	NM_009378	2.7	0.025909
RIKEN cDNA 1810015C04 gene	BG919470	2.59	0.000264
Dermatan sulphate proteoglycan 3	NM_007884	2.56	0.001049
Brain derived neurotrophic factor	NM_007540	2.51	0.033457
Adenylate cyclase 7	BB746807	2.49	0.01423
Heat shock protein family, member 7 (cardiovascular)	BM124741	2.34	0.004784
Signal transducer and activator of transcription 6	AI746342	2.16	0.017134
Kit ligand	NM_013598	2.14	0.02585
Epiregulin	NM_007950	2.11	0.033708
Expressed sequence AI987814	BB559878	2.1	0.035643
Kit ligand	BB815530	2.09	0.030057
Adaptor-related protein complex AP-3, mu 1 subunit	AF242857	2.05	0.049502
Kruppel-like factor 4 (gut)	U20344	2.02	0.01701
Cellular retinoic acid binding protein II	BC018397	2.02	0.019397
gb:NM_010490.1	NM_010490	2.01	0.014659
Epithelial membrane protein 1	U25633	1.94	0.013209
Odd-skipped related 1 (Drosophila)	NM_011859	1.94	0.039223
gb:AI987693	AI987693	1.93	0.017952
Tissue factor pathway inhibitor	BF451808	1.91	0.006454
c-fos induced growth factor	NM_010216	1.9	0.020245
Aldo-keto reductase family 1, member B8	NM_008012	1.87	0.022501
Kruppel-like factor 4 (gut)	BG069413	1.85	0.012157
Microfibrillar associated protein 5	BC025131	1.85	0.001894
Interleukin 11	NM_008350	1.85	0.004787
Retinoic acid early transcript 1, alpha	NM_009016	1.84	0.00782
Prostaglandin E synthase	NM_022415	1.83	0.030765
Parvin, alpha	BI690209	1.8	0.007872
SH3-domain binding protein 5 (BTK-associated)	BQ179335	1.77	0.020547
