Name	GenBank Accession No.	UniGene Cluster ID	Function	Fold Change
CGI-39 protein/GRIM-19	W44860	Hs.279574	Apoptosis/cell cycle	0.026
Keratin 13	W60057	Hs.74070	Cytoskeleton/morphology	0.039
Kinesin-like 1	AA504625	Hs.8878	Cytoskeleton/morphology	0.48
Cytochrome P-450, subfamily IVA, polypeptide 11	W84868	Hs.1645	Electron transport/energy	0.025
Hydroxysteroid (11-beta) dehydrogenase 2	W95082	Hs.1376	Metabolism	0.018
Phenylalanine-tRNA synthetase-like	W96450	Hs.23111	Metabolism/cell cycle	0.021
Membrane fatty acid (lipid) desaturase	W49667	Hs.185973	Metabolism	0.039
Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	W44685	Hs.423809	Metabolism/cell cycle	0.1
Aconitase 2, mitochondrial	W44454	Hs.300463	Metabolism/cell cycle	0.12
Exostoses (multiple) 2	W25105	Hs.75334	Metabolism/cell cycle	0.19
Ribosomal protein L31	W15277	Hs.250367	Protein processing/cell cycle	0.012
Protease inhibitor 8 (ovalbumin type)	W61361	Hs.41726	Protein processing	0.026
Ceroid-lipofuscinosis, neuronal 3, juvenile (Batten disease, Vogt-Spielmeyer disease)	W37753	Hs.194660	Protein processing/cell cycle	0.029
RAB6, member RAS oncogene family	W44889	Hs.381078	Protein processing	0.056
Amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	W42849	Hs.177486	Protein processing/cell cycle	0.3
RNA binding motif protein 5	W73892	Hs.201675	RNA binding/cell cycle	0.022
Heterogeneous nuclear ribonucleoprotein H1 (H)	W96058	Hs.245710	RNA binding	0.043
Epidermal growth factor receptor (avian erythroblastic leukemia viral (v-erb-b) oncogene homolog)	W48713	Hs.77432	Signal transduction/cell cycle/morphology	0.011
Fas-activated serine/threonine kinase	W72310	Hs.75087	Signal transduction/cell cycle	0.02
Wingless-type MMTV integration site family, member 5A	W49672	Hs.152213	Signal transduction/morphology	0.037
Parathyroid hormone	W37306	Hs.37045	Signal transduction	0.053
Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	W37864	Hs.27865	Signal transduction/cell cycle	0.055
Dual specificity phosphatase 5	W65461	Hs.2128	Signal transduction	0.11
Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	W45518	Hs.79410	Small molecule/ion transport	0.079
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	W56300	Hs.81328	Transcription factor/cell cycle/morphology	0.1
