Genbank	Gene Name	Description	HT29	Caco-2	MCF-7	MDA-MB-468 MIA PaCa-2	K562	SaOs-2
U05598	AKR1C2	aldo-keto reductase family 1, member C2	4.6	10.2	0.03	31.1	0.02	5	NS
AB018580	AKR1C3	aldo-keto reductase family 1, member C3	1.8	4.6	0.8	73.3	0.7	12	NS
NM_000691	ALDH3A1	aldehyde dehydrogenase 3 family, member A1	2.9	3.8	6.6	11.9	0.4	NS	NS
AL136912	ATG10	ATG10 autophagy related 10 homolog	8.7	NS	NS	1.5	2.1	10.1	2
U36190	CRIP2	cysteine-rich protein 2	2.7	1.3	1.9	NS	2.2	NS	0.3
NM_001321	CSRP2	cysteine and glycine-rich protein 2	2	0.3	2.7	NS	2	2.9	0.5
AU144855	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	3.1	2.3	0.5	NS	4.2	NS	0.4
AI144299	DHFR	dihydrofolate reductase	7.3	50.2	52.8	1.8	16.9	17.8	8.9
AA578546	DHFRL1	dihydrofolate reductase-like 1	7	10.8	5.5	NS	3	17.5	2.1
NM_012242	DKK1	dickkopf homolog 1 (Xenopus laevis)	4.3	2.5	2.1	NS	0.7	NS	19.1
AI745624	ELL2	elongation factor, RNA polymerase II, 2	NS	1.7	0.4	2.6	8	2.3	2.7
AF052094	EPAS1	endothelial PAS domain protein 1	2.8	NS	2.4	NS	6.4	0.4	0.1
AU144565	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	1.6	1.3	1.7	1.4	2.3	4.4	4.7
AW246673	FAM46A	family with sequence similarity 46, member A	NS	2.6	NS	NS	3.9	2.5	1.5
NM_000142	FGFR3	fibroblast growth factor receptor 3	NS	4.6	3.1	0.4	1.5	0.4	3.4
NM_018071	FLJ10357	hypothetical protein FLJ10357	NS	3.8	NS	NS	2.1	3.2	3.5
BE550452	HOMER1	homer homolog 1 (Drosophila)	NS	NS	27.9	NS	2.4	13.8	NS
AF243527	KLK5	kallikrein-related peptidase 5	2.3	NS	2.2	NS	3.5	NS	4.6
AK022625	LOC92270	V-type proton ATPase subunit S1-like protein	54	2.3	NS	NS	3.4	25	NS
BC006471	MLLT11	myeloid/lymphoid or mixed-lineage leukemia	2.2	2.6	NS	NS	1.8	0.08	1.7
NM_002439	MSH3	mutS homolog 3 (E. coli)	6.3	8.2	3,8	NS	13.2	35.9	1,5
NM_006117	PECI	peroxisomal D3, D2-enoyl-CoA isomerase	7.5	2.6	1.9	NS	NS	NS	1.8
BF432873	PSMD11	proteasome 26 S subunit, non-ATPase, 11	NS	2.3	NS	NS	1.3	3.5	1.4
NM_002923	RGS2	regulator of G-protein signaling 2, 24 kDa	1.6	8.2	3.6	NS	3.2	1.9	NS
AW043594	RPS23	ribosomal protein S23	12.9	NS	NS	NS	2.9	8.9	1.8
NM_005978	S100A2	S100 calcium binding protein A2	0.5	0.3	7.1	NS	4	NS	4.1
NM_002961	S100A4	S100 calcium binding protein A4	3.7	0.6	4.3	NS	2.4	1.5	2.5
AL565362	SLC2A13	solute carrier family 2, member 13	4	9.4	0.6	2.5	4.3	10.2	NS
BG150485	SLC6A6	solute carrier family 6, member 6	0.6	2.6	2.2	NS	2.4	1.5	1.5
NM_003069	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily A, member 1	2.6	2.6	14	NS	NS	3.4	1.7
NM_012446	SSBP2	single-stranded DNA binding protein 2	10.6	NS	0.5	NS	2.9	5	2
AW134979	STXBP6	syntaxin binding protein 6 (amisyn)	NS	2.1	27.5	NS	3	14.5	0.5
NM_003248	THBS4	thrombospondin 4	NS	12.9	9.2	NS	15.7	4.9	0.6
BE873420	UGT1A6	UDP glucuronosyltransferase 1, polypeptide A6	NS	2.8	24.4	27.9	5.3	NS	NS
AI922599	VIM	vimentin	2.4	NS	3.6	NS	NS	4.9	1.7
BE539792	ZCCHC9	zinc finger, CCHC domain containing 9	8.3	1.5	0.5	NS	6.7	7.9	NS
BU078629	ZFYVE16	zinc finger, FYVE domain containing 16	6.1	45.8	76.4	NS	16.5	23.1	3.2
