Accession no.	Gene	Description	Hazard ratio	P	Function
NM_001033	RRM1	Ribonucleotide reductase M1	2.3	0.002	Capecitabine metabolism genes
NM_000110	DPYD	Dihydropyrimidine dehydrogenase	1.23	0.002	Capecitabine metabolism genes
NM_012474	UCK2	Uridine-cytidine kinase 2	2.14	0.004	Capecitabine metabolism genes
NM_001905	CTPS	CTP synthase	19.63	0.009	Capecitabine metabolism genes
NM_004955	SLC29A1	Solute carrier family 29, member 1	1.06	0.01	Capecitabine metabolism genes
NM_001953	TP	Thymidine phosphorylase (ECGF1)	1.11	0.01	Capecitabine metabolism genes
NM_001785	CDA	Cytidine deaminase	1.66	0.02	Capecitabine metabolism genes
NM_002875	RAD51	RAD51 homolog	1.06	0.007	Radiation response genes
NM_002524	NRAS	Neuroblastoma RAS	1.49	0.007	Radiation response genes
NM_005432	XRCC3	XRCC3	6.05	0.008	Radiation response genes
NM_012415	RAD54B	RAD54 homolog B	1.21	0.009	Radiation response genes
NM_005732	RAD50	RAD50 homolog	1.62	0.009	Radiation response genes
NM_003401	XRCC4	XRCC4	1.28	0.01	Radiation response genes
NM_001641	APEX1	APEX nuclease 1	2.2	0.012	Radiation response genes
NM_000124	ERCC6	ERCC6	1.9	0.013	Radiation response genes
NM_014481	APEX2	APEX nuclease 2	1.74	0.018	Radiation response genes
NM_021141	XRCC5	XRCC5	2.48	0.019	Radiation response genes
NM_000251	MSH2	mutS homolog 2	37.5	0.022	Radiation response genes
NM_006297	XRCC1	XRCC1	1.35	0.023	Radiation response genes
