Gene Symbol	Gene Title	Function	Accession No.	Fold Change	p Value
PAIHC3 (ITIH3)	Inter-alpha trypsin inhibitor, heavy chain 3	Hyaluronan metabolism	BE106814	3.4 ± 0.4	0.042
Dusp6 (MKP-3)	Dual specificity phosphatase 6	Regulation of cell cycle progression	AI231350	3.3 ± 0.1	0.034
Sgk1	Serum/glucocorticoid regulated kinase	Protein kinase activity	NM_019232	2.5 ± 0.01	0.039
Gpd1	Glycerol-3-phosphate dehydrogenase 1	Carbohydrate metabolism	NM_022215	2.5 ± 0.02	0.009
	Similar to RIKEN cDNA 2610029K21	Nucleic acid binding	BF410646	2.5 ± 0.1	0.003
RGD1311086 predicted	Similar to RIKEN cDNA, 2610029K21 (predicted)	Nucleic acid binding	BI288424	2.4 ± 0.1	0.006
Fkbp5a predicted	FK506 binding protein 5 (predicted)	Protein folding	BI284255	2.2 ± 0.1	0.004
Abcg2	ATP-binding cassette, subfamily G (WHITE), member 2	Efflux transporter	AB094089	2.1 ± 0.1	0.0004
Gpd1	Glycerol-3-phosphate dehydrogenase 1	Carbohydrate metabolism	NM_022215	2.1 ± 0.5	0.001
Sult1a1	Sulfotransferase family 1A, phenol-preferring, member 1	Catecholamine metabolism	AF394783	2.1 ± 0.02	0.009
Rpe65	Retinal pigment epithelium 65	Eye development, vitamin A metabolism, visual perception	NM_053562	2.0 ± 0.2	0.003
Fkbp5 predicted	FK506 binding protein 5 (predicted)	Protein folding	BI284255	2.0 ± 0.03	0.003
	Similar to Coronin, actin binding protein 1C	Cell adhesion	AI598550	2.0 ± 0.1	0.023
Mt1a (metallothionein-1X)	Metallothionein 2610029K21 (predicted)	Metal ion homeostasis	AF411318	2.0 ± 0.01	0.028
RGD1311086b predicted	Similar to RIKEN cDNA,	Nucleic acid binding	BI288424	1.9 ± 0.1	0.001
Per2	Period homolog 2 (Drosophila) 2610029K21 (predicted)	Rhythmic process regulator	NM_031678	1.8 ± 0.02	0.026
RGD1311086 predicted	Similar to RIKEN cDNA,	Nucleic acid binding	BI288424	1.8 ± 0.1	0.007
(CD163)b	CD163 antigen (predicted)	Scavenger receptor activity	AA956555	1.6 ± 0.4	0.002
Smpdl3b predicted	Sphingomyelin phosphodiesterase acid-like 3B (predicted)	Carbohydrate metabolism	AW251315	1.6 ± 0.1	0.016
Dio2	Deiodinase, iodothyronine, type II	Thyroid hormone generation	AW526991	1.5 ± 0.2	0.049
Lims2 predicted (PINCH-2)	LIM and senescent cell antigen-like domains 2 (predicted)	Zinc ion binding	BI275904	1.5 ± 0.3	0.022
Klf15 (KLF15)	Kruppel-like factor 15	Nucleic acid binding	NM_053536	1.5 ± 0.02	0.006
Cryab (Alpha crystalline B)	Crystallin, alpha B	Eye development	NM_012935	1.5 ± 0.01	0.043
Thrsp (S14 protein)	Thyroid hormone responsive protein	Lipid metabolism	NM_012703	1.5 ± 0.04	0.009
Dsipi	DSIPI (GILZ)]	Delta sleep-inducing peptide, immunoreactor	Fluid secretion	NM_031345	1.5 ± 0.01	0.006
Net1 predicted	Neuroepithelial cell transforming gene 1 (predicted)	Guanyl-nucleotide exchange factor activity	AI180187	1.5 ± 0.02	0.02
(SRX1)b	Neoplastic progression 3	DNA binding	AI172302	1.5 ± 0.04	0.011
Nt5 (5 &#8;-NTD)	5 Nucleotidase	DNA metabolism	NM_021576	1.5 ± 0.2	0.003
Usp2 (UBP41)	Ubiquitin-specific protease 2	Ubiquitin-dependent protein catabolism	AF106659	1.5 ± 0.01	0.008
RGD1309044 predicted	Similar to RIKEN cDNA 0610039C21 (predicted)	Nucleic acid binding	BI278288	1.5 ± 0.02	0.036
Tac2 (Nk3)	Tachykinin 2	Neuropeptide signaling synaptic transmission	NM_019162	1.5 ± 0.2	0.041
