SYMBOL	DESCRIPTION	LOCUS	Entrez GeneID	Affymetrix PID
CDK8	cyclin-dependent kinase 8	13q12	1024	1553112_s_at
ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	8p11.23	8754	1555326_a_at
PAK2	p21 protein (Cdc42/Rac)-activated kinase 2	3q29	5062	1559052_s_at
RIOK3	RIO kinase 3 (yeast)	18q11.2	8780	202129_s_at
DLG1	discs, large homolog 1 (Drosophila)	3q29	1739	202516_s_at
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	14q11.2-q21	11183	203553_s_at
RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3	Xp22.2-p22.1	6197	203843_at
PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3q26.3	5290	204369_at
CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	Xp11.4	8573	207620_s_at
TLK1	tousled-like kinase 1	2q31.1	9874	210379_s_at
PRKDC	protein kinase, DNA-activated, catalytic polypeptide	8q11	5591	210543_s_at
PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	6p25.2	8899	211090_s_at
TLK2	tousled-like kinase 2	17q23	11011	212986_s_at
ROCK1	Rho-associated, coiled-coil containing protein kinase 1	18q11.1	6093	214578_s_at
WEE1	WEE1 homolog (S. pombe)	11p15.3-p15.1	7465	215711_s_at
RYK	RYK receptor-like tyrosine kinase	3q22	6259	216976_s_at
PGK1	phosphoglycerate kinase 1	Xq13	5230	217356_s_at
GALK2	galactokinase 2	15q21.1	2585	205219_s_at
ADK	adenosine kinase	10q22|10q11-q24	132	204119_s_at
MPZL1	myelin protein zero-like 1	1q24.2	9019	210087_s_at
ABI1	abl-interactor 1	10p11.2	10006	209027_s_at
