Probe Set ID	UniGene ID	Gene Title	Gene Symbol	Chromosomal Location
215535_s_at	Hs.409230	1-acylglycerol-3-phosphate O-acyltransferase 1	AGPAT1	chr6p21.3
202204_s_at	Hs.295137	autocrine motility factor receptor	AMFR	chr16q21
212536_at	Hs.478429	ATPase, Class VI, type 11B	ATP11B	chr3q27
220975_s_at	Hs.201398	C1q and tumor necrosis factor related protein 1	C1QTNF1	chr17q25.3
224794_s_at	Hs.495230	cerebral endothelial cell adhesion molecule 1	CEECAM1	chr9q34.11
1557394_at	Hs.249600	discs, large homolog-associated protein 4	DLGAP4	chr20q11.23
211958_at	Hs.369982	insulin-like growth factor binding protein 5	IGFBP5	chr2q33-q36
225303_at	Hs.609291	kin of IRRE like (Drosophila)	KIRREL	chr1q21-q25
218717_s_at	Hs.374191	leprecan-like 1	LEPREL1	chr3q28
209205_s_at	Hs.436792	LIM domain only 4	LMO4	chr1p22.3
203506_s_at	Hs.409226	mediator of RNA polymerase II transcription 12	MED12	chrXq13
207564_x_at	Hs.405410	O-linked N-acetylglucosamine transferase	OGT	chrXq13
214484_s_at	Hs.522087	opioid receptor, sigma 1	OPRS1	chr9p13.3
203244_at	Hs.567327	peroxisomal biogenesis factor 5	PEX5	chr12p13.3
241916_at	Hs.130759	Phospholipid scramblase 1	PLSCR1	chr3q23
229001_at	Hs.601513	Protein phosphatase 1, regulatory 3E	PPP1R3E	chr14q11.2
208720_s_at	Hs.282901	RNA binding motif protein 39	RBM39	chr20q11.22
209148_at	Hs.388034	retinoid × receptor, beta	RXRB	chr6p21.3
209352_s_at	Hs.13999	SIN3 homolog B, transcription regulator (yeast)	SIN3B	chr19p13.11
221500_s_at	Hs.307913	syntaxin 16	STX16	chr20q13.32
220036_s_at	Hs.272838	syntaxin 6	STX6	chr1q25.3
201110_s_at	Hs.164226	thrombospondin 1	THBS1	chr15q15
221507_at	Hs.631637	transportin 2 (importin 3, karyopherin b 2b)	TNPO2	chr19p13.13
208723_at	Hs.171501	ubiquitin specific peptidase 11	USP11	chrXp11.23
