Genes up-regulated by TNF-· in an IKK2/NF-ÍB-dependent manner	Accession number	Fold-change after exposure to TNF-· in vector-infected HUVEC	Fold-change after exposure to TNF-· in HUVEC expressing IKK2KD	Inhibition (%)	p-value	Function
IL-8	AF043337.1	10.9	-1.2	1.00E+02	< 0.00005	Chemokines/cytokines
MCP-1 (CCL2)	S69738.1	10.9	-2.3	1.00E+02	< 0.00001	Chemokines/cytokines
CXCL2 (Gro-beta)	M57731.1	4.9	-1.2	1.00E+02	< 0.005	Chemokines/cytokines
CXCL1 (Gro-alpha)	NM_001511.1	6.6	-1.4	1.00E+02	< 0.00001	Chemokines/cytokines
Bone morphogenetic protein 2 (BMP2)	AA583044	5.1	1.2	7.74E+01	< 0.0001	Chemokines/cytokines
Inhibin. beta A (activin beta-A chain)	M13436:1	2.9	-1.1	1.00E+02	< 0.00005	Chemokines/cytokines
CXCL6 (GCP-2)	NM_002993.1	6.9		1.00E+02	< 0.00001	Chemokines/cytokines
Interleukin-15	NM_000585.1	4	-1.3	1.00E+02	< 0.0001	Chemokines/cytokines
CXCL5 (neutrophil activating peptide ENA78)	AK026546.1	5		1.00E+02	< 0.0005	Chemokines/cytokines
VCAM-1	NM_001078.1	26	-0.5	1.00E+02	< 0.00001	Cell surface receptors
ICAM-1	NM_000201.1	19.4	-1.4	1.00E+02	< 0.001	Cell surface receptors
E-selectin	NM_000450.1	18.7	-1.2	1.00E+02	< 0.00005	Cell surface receptors
Sialyltransferase 1 (CD75)	AI743792	2.6	-1.3	1.00E+02	< 0.001	Cell surface receptors
G protein-coupled receptor	AI817041	7.4	1.1	8.51E+01	< 0.001	Cell surface receptors
Plasminogen activator, urokinase	K03226.1	3	1	6.58E+01	< 0.001	Coagulation
TNF-alpha-induced protein 2	NM_006291.1	7	-1.2	1.00E+02	< 0.005	Inflammation/immune response
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha (IÍB·)	AI078167	9.97	-1.4	1.00E+02	< 0.00005	Signaling/transcription
Nef-associated factor 1 (Naf1)	NM_006058.1	5.8	-1.5	1.00E+02	< 0.00005	Signaling/transcription
Jagged 1	U77914.1	3.8	-1.3	1.00E+02	< 0.00005	Signaling/transcription
Ephrin-A1 (TNF-alpha-induced protein 4)	NM_004428.1	7.1	1.5	7.89E+01	< 0.001	Signaling/transcription
Nuclear receptor interacting protein-1 (NRIP-1)	AI824012	3.1	-1.2	1.00E+02	< 0.001	Signaling/transcription
TNF-alpha-induced protein 3 (A20)	NM_006290.1	12.9		1.00E+02	< 0.00001	Apoptosis/cell proliferation
c-IAP-1 (Baculoviral IAP repeat-containing 3)	U37546.1	7.1		1.00E+02	< 0.0005	Apoptosis/cell proliferation
Superoxide dismutase 2, mitochondrial (SOD2, MnSOD)	X15132.1	6.5	-1.2	1.00E+02	< 0.01	Metabolism
guanylate binding protein 1, interferon-inducible, 67 kD	NM_002053.1	4.5	-1.5	1.00E+02	< 0.001	Metabolism
Solute carrier family 12, member 2	NM_001046.1	2.7	-1.3	1.00E+02	< 0.0001	Transporters/channels
Solute carrier family 7, member 2	NM_003046.1	6.3		1.00E+02	< 0.0005	Transporters/channels
Chromosome 8 open reading frame 4	NM_020130.1	2.5	1.1	5.71E+01	< 0.01	Others
Butyrophilin subfamily 3, member A3	U90548	2.5		1.00E+02	< 0.0005	Others
Clone IMAGE:4711494, mRNA	BF575213	10.5		1.00E+02	< 0.0001	Others
HIV type I enhancer binding protein 2 (HIVEP2)	AL023584	3.1	1	6.60E+01	< 0.00005	Others
