Gene	Gene origin	Unigene number	Expression in responders compared with nonresponders	Description
ALDH1A1	1	Hs.76392	Overexpressed	Aldehyde dehydrogenase 1 family, member A1
BAK1	1	Hs.485139	Downregulated	BCL2-antagonist/killer 1
CDKN1	1	Hs.370771	Overexpressed	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)
FOS	1	Hs.25647	Overexpressed	V-fos FBJ murine osteosarcoma viral oncogene homolog
MLH1	1	Hs.195364	Downregulated	MutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)
RELB	1	Hs.654402	Overexpressed	V-rel reticuloendotheliosis viral oncogene homolog B
STAT3	1	Hs.463059	Overexpressed	Signal transducer and activator of transcription 3 (acute-phase response factor)
TYMS	1	Hs.592338	Downregulated	Thymidylate synthetase
CKB	2	Hs.173724	Downregulated	Creatine kinase, brain
GPX2	2	Hs.2704	Downregulated	Glutathione peroxidase 2 (gastrointestinal)
HIG2	2	Hs.710088	Downregulated	Hypoxia-inducible protein 2
PH-4	2	Hs.654944	Downregulated	Hypoxia-inducible factor prolyl 4-hydroxylase
TFF3	2	Hs.82961	Overexpressed	Trefoil factor 3 (intestinal)
