Gene symbol (Underexpressed )	Gene name	miRNA number (Overexpressed)
AMOTL2	Angiomotin-like protein 2	hsa-miR-145
CCND2	Cyclin D2 protein	hsa-miR-145
CDH2	N-cadherin protein	hsa-miR-145
CYR61	Cysteine Rich Protein 61	hsa-miR-145
FLRT1	Fibronectin leucine rich transmembrane protein 1	hsa-miR-145
H2AFX	H2A histone family, member X protein	hsa-miR-145
MEST	Mesoderm specific transcript protein	hsa-miR-145
NTN4	Netrin 4 protein	hsa-miR-145
SEMA3A	Semaphorin 3A	hsa-miR-145
CPM	Carboxypeptidase M	hsa-miR-23b
ENC1	Ectodermal-neural cortex 1 protein	hsa-miR-23b
GALNT12	UDP-GalNAc polypeptide N-acetylgalactosaminyltransferase 12	hsa-miR-23b
HMGA2	High mobility group AT-hook 2 protein	hsa-miR-23b
PGR	Progesterone receptor	hsa-miR-23b
PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1	hsa-miR-23b
SFRP1	Secreted frizzled-related protein 1	hsa-miR-23b
SFRP4	Secreted frizzled-related protein 4	hsa-miR-23b
TMPO	Thymopoietin beta protein,	hsa-miR-23b
KIF23	kinesin family member 23 protein	hsa-miR-195
PAM	Peptidylglycine alpha-amidating monooxygenase protein	hsa-miR-195
PRSS12	Neurotrypsin	hsa-miR-195
FGF1	Fibroblast growth factor 1	hsa-miR-27b
SSX2IP	Synovial sarcoma, X breakpoint 2 interacting protein	hsa-miR-27b
