Symbol	Name	ProbeId	Pup:Log2FC	Pup:adj_p-value	Adult:Log2FC	Adult:adj_p-value
Notum	notum pectinacetylesterase homolog (Drosophila)	A_52_P629748	Pup:6.21854795111856	Pup:1.29313327689382e-09	Adult:7.75543190289695	Adult:5.26858012570618e-11
Slc16a1	solute carrier family 16 (monocarboxylic acid transporters), member 1	A_51_P397367	Pup:7.00041469851314	Pup:2.40397970849114e-14	Adult:6.61781764929002	Adult:1.16797620377321e-13
Tecrl	trans-2,3-enoyl-CoA reductase-like	A_51_P123879	Pup:6.77654536498822	Pup:4.25905139068057e-06	Adult:6.72664622743869	Adult:1.11339079093117e-05
Atp13a5	ATPase type 13A5	A_52_P607195	Pup:6.73934116202838	Pup:8.41249369118406e-10	Adult:5.70307350911207	Adult:3.98058150278089e-08
Ptn	pleiotrophin	A_52_P10793	Pup:4.27592003011833	Pup:1.43410343927679e-08	Adult:7.71535113333156	Adult:7.19665654145294e-13
Dbx2	developing brain homeobox 2	A_51_P352452	Pup:6.24043919436275	Pup:5.13159017319139e-10	Adult:5.27846114356506	Adult:2.41978523877927e-08
Gabrg1	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1	A_51_P396883	Pup:6.86081349461304	Pup:4.29941999445777e-06	Adult:4.41918193846793	Adult:0.00181456434687509
Slc9a2	solute carrier family 9 (sodium/hydrogen exchanger), member 2	A_51_P397983	Pup:3.54502007205513	Pup:0.00436372151141132	Adult:7.56712897026107	Adult:8.87239408400006e-07
Slco1a4	solute carrier organic anion transporter family, member 1a4	A_51_P335569	Pup:4.7327676879262	Pup:6.77701324322305e-15	Adult:6.03058939524997	Adult:1.32791728107108e-16
Paqr5	progestin and adipoQ receptor family member V	A_51_P258768	Pup:2.39914955967002	Pup:0.00573239362572372	Adult:8.34559886476273	Adult:3.08665061882383e-10
Slc6a20a	solute carrier family 6 (neurotransmitter transporter), member 20A	A_51_P412024	Pup:4.57646295098679	Pup:2.273077697434e-06	Adult:5.97124115667772	Adult:7.44927232793039e-08
Ntsr2	neurotensin receptor 2	A_52_P266686	Pup:4.84162463387815	Pup:1.48648724456252e-08	Adult:5.47100015531254	Adult:4.16649952548964e-09
Tfrc	transferrin receptor	A_52_P228236	Pup:4.75732503590273	Pup:3.75406496453283e-09	Adult:5.27177479941981	Adult:1.40031976153751e-09
Nhedc2	Na+/H+ exchanger domain containing 2	A_51_P421538	Pup:3.75202951477378	Pup:0.000121209718164554	Adult:6.04939837647673	Adult:2.71420206687813e-07
Prom1	prominin 1	A_51_P414072	Pup:1.70523251717893	Pup:0.0218845098268492	Adult:7.98343360110418	Adult:4.64303741837081e-11
Slc7a3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3	A_51_P275016	Pup:4.07646793511363	Pup:1.58611625861453e-08	Adult:5.42314436476165	Adult:2.25917872804135e-10
A930038C07Rik	RIKEN cDNA A930038C07 gene	A_52_P478103	Pup:2.53728284402103	Pup:0.000786329837530126	Adult:6.64835263617225	Adult:1.00916395795987e-09
Nebl	nebulette	A_52_P525964	Pup:3.8090602286706	Pup:7.55813898831914e-05	Adult:5.21986920214847	Adult:2.05191744816064e-06
Alpl	alkaline phosphatase, liver/bone/kidney	A_51_P494125	Pup:1.86806475720543	Pup:0.00132070641679419	Adult:6.77905627567246	Adult:6.81059772033772e-12
Rad54b	RAD54 homolog B (S. cerevisiae)	A_52_P502771	Pup:1.78769791359724	Pup:7.88812642231854e-08	Adult:6.65593626169695	Adult:4.85129365711189e-18
Tbx18	T-box18	A_51_P438711	Pup:5.38236673837028	Pup:2.56600991005706e-06	Adult:3.03310172917198	Adult:0.00433782201800691
Slco1a5	solute carrier organic anion transporter family, member 1a5	A_52_P542496	Pup:3.18463986783943	Pup:1.51055420635213e-13	Adult:4.97944747450519	Adult:1.0217643029273e-16
Mbp	myelin basic protein	A_51_P349205	Pup:2.86324068131164	Pup:0.000334759316854825	Adult:5.28276178405892	Adult:1.21935308795904e-07
Efhc2	EF-hand domain (C-terminal) containing 2	A_51_P404992	Pup:2.32491059194731	Pup:0.000579223493933022	Adult:5.81706437542923	Adult:1.3431140686871e-09
Chi3l7	chitinase 3-like 7	A_51_P165135	Pup:1.94001455113138	Pup:0.0217901724658184	Adult:6.19504599362935	Adult:4.93476205393601e-08
Pdxk	pyridoxal (pyridoxine, vitamin B6) kinase	A_51_P498640	Pup:3.27481794446525	Pup:4.21300323905711e-09	Adult:4.71061443983925	Adult:1.43836093671708e-11
Ptgds	prostaglandin D2 synthase (brain)	A_51_P157406	Pup:3.48023044055638	Pup:6.96791208284999e-05	Adult:4.48510401526848	Adult:4.76117866176909e-06
Gsta4	glutathione S-transferase, alpha 4	A_51_P112223	Pup:3.59647664757463	Pup:1.75184506204393e-10	Adult:4.29285075561908	Adult:1.59562469923162e-11
Bsg	basigin	A_51_P329441	Pup:3.79812171870226	Pup:3.01423098296672e-12	Adult:4.07716570003952	Adult:1.86241304513473e-12
Plp1	proteolipid protein (myelin) 1	A_52_P408728	Pup:2.00629601625127	Pup:0.0205971905045601	Adult:5.76410761535313	Adult:2.50433167173252e-07
Gpr123	G protein-coupled receptor 123	A_51_P493213	Pup:4.01495052232357	Pup:6.15993854254451e-06	Adult:3.71775580338168	Adult:4.07926386722929e-05
Rab11fip1	RAB11 family interacting protein 1 (class I)	A_52_P68033	Pup:2.92045752326235	Pup:7.30655597687768e-07	Adult:4.69735035474186	Adult:4.84414825901953e-10
Scn2b	sodium channel, voltage-gated, type II, beta	A_51_P212741	Pup:3.58345835251763	Pup:0.00112111141694726	Adult:3.99054075689398	Adult:0.000692519853992033
Gpr37l1	G protein-coupled receptor 37-like 1	A_51_P276142	Pup:3.50675976405666	Pup:1.14921888426357e-14	Adult:4.05456887654254	Adult:1.15860542064944e-15
Elovl7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	A_52_P354682	Pup:3.25260765061416	Pup:8.27835776054006e-10	Adult:4.27306995850821	Adult:1.39666687510439e-11
3110082D06Rik	RIKEN cDNA 3110082D06 gene	A_51_P415207	Pup:3.11793791482928	Pup:0.0279378355992551	Adult:4.26295448010957	Adult:0.00508710900636221
Lypd1	Ly6/Plaur domain containing 1	A_51_P497395	Pup:2.81008359097781	Pup:1.71655389224048e-05	Adult:4.52141005767206	Adult:2.16727002813754e-08
Iqsec3	IQ motif and Sec7 domain 3	A_52_P517247	Pup:3.46420429281454	Pup:0.001042818809788	Adult:3.7884431248529	Adult:0.000775337168723495
Itih5	inter-alpha (globulin) inhibitor H5	A_51_P364250	Pup:2.49959041332316	Pup:3.89396284582249e-10	Adult:4.63539636286432	Adult:7.98073861063039e-15
Acsl6	acyl-CoA synthetase long-chain family member 6	A_51_P518823	Pup:3.52017236448519	Pup:0.0161523174363231	Adult:3.56025827243938	Adult:0.0219531291275661
St8sia6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	A_51_P471791	Pup:1.47589962256043	Pup:0.0203263299728878	Adult:5.43817765931342	Adult:3.13274436553549e-09
Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	A_51_P257496	Pup:2.16685073997589	Pup:0.00472032670764028	Adult:4.60983652545863	Adult:1.08157336992277e-06
LOC100503831	hypothetical LOC100503831	A_52_P644897	Pup:2.6863855741784	Pup:0.00010078294509616	Adult:4.0036468976938	Adult:7.68442427002943e-07
Casq2	calsequestrin 2	A_51_P174696	Pup:2.7656242212609	Pup:1.93605585578197e-05	Adult:3.89623467404422	Adult:2.45256537573336e-07
Gpcpd1	glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae)	A_52_P470017	Pup:2.72998322201447	Pup:1.80215442129896e-09	Adult:3.86190922470913	Adult:7.7420578326146e-12
Isyna1	myo-inositol 1-phosphate synthase A1	A_51_P228658	Pup:2.81050053509325	Pup:4.10592380259501e-12	Adult:3.77209375539457	Adult:3.56915315199094e-14
Prdm5	PR domain containing 5	A_51_P347448	Pup:2.41927505370118	Pup:5.8205043377264e-10	Adult:4.15463449757357	Adult:5.5846561906632e-14
Grb7	growth factor receptor bound protein 7	A_51_P368823	Pup:2.43076623717329	Pup:8.15949708894839e-08	Adult:4.0654478693355	Adult:1.97621764012316e-11
Slc5a6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	A_52_P55661	Pup:3.6832675138546	Pup:2.13392684139673e-13	Adult:2.72789386754944	Adult:1.3710382604243e-10
Slc19a1	solute carrier family 19 (sodium/hydrogen exchanger), member 1	A_51_P502152	Pup:3.54351216639541	Pup:7.68432628219078e-10	Adult:2.86532632779777	Adult:7.80730910113125e-08
Gm10030	predicted gene 10030	A_52_P548202	Pup:2.48903482388083	Pup:1.29661714778279e-05	Adult:3.90300105187861	Adult:2.3876902764541e-08
Atp10a	ATPase, class V, type 10A	A_51_P320022	Pup:1.351033752785	Pup:4.30772375900106e-06	Adult:4.84147546943893	Adult:1.15860542064944e-15
Sgpp2	sphingosine-1-phosphate phosphotase 2	A_51_P267169	Pup:1.85260494756605	Pup:4.21526073699848e-05	Adult:4.2895636273102	Adult:9.49373558279167e-11
Mmp25	matrix metallopeptidase 25	A_51_P187262	Pup:2.67758441782341	Pup:0.00124252927232082	Adult:3.32403031378223	Adult:0.000235870266612801
Gjb6	gap junction protein, beta 6	A_52_P482251	Pup:2.37323556977916	Pup:0.0372637767582383	Adult:3.58494198124504	Adult:0.00350079467716056
Mobkl2b	MOB1, Mps One Binder kinase activator-like 2B (yeast)	A_51_P470205	Pup:3.09782967307583	Pup:7.87151200119951e-06	Adult:2.85829650652469	Adult:5.40955946893166e-05
Cmtm5	CKLF-like MARVEL transmembrane domain containing 5	A_51_P438924	Pup:2.95104168130875	Pup:4.44084007833999e-07	Adult:2.95401220920707	Adult:1.07408256896099e-06
Ggt5	gamma-glutamyltransferase 5	A_52_P126782	Pup:2.98263064228282	Pup:0.00554779603801553	Adult:2.87588936638014	Adult:0.0111720224663054
Gabrb1	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1	A_51_P368757	Pup:3.31388265842071	Pup:0.00056151563307602	Adult:2.5163845040553	Adult:0.010539712666778
Sgms1	sphingomyelin synthase 1	A_51_P421958	Pup:2.13254352772632	Pup:6.88324212932878e-05	Adult:3.69725285756079	Adult:3.68421944338946e-08
1700013H16Rik	RIKEN cDNA 1700013H16 gene	A_51_P132483	Pup:1.84819537035253	Pup:0.00519995633350509	Adult:3.97141973536012	Adult:1.11947614160689e-06
4921507P07Rik	RIKEN cDNA 4921507P07 gene	A_52_P683287	Pup:2.74444439368696	Pup:7.86007246424478e-05	Adult:3.06943154482067	Adult:3.95448228096047e-05
Gng7	guanine nucleotide binding protein (G protein), gamma 7	A_51_P443686	Pup:2.23874398023995	Pup:0.00130872856518342	Adult:3.53581744846378	Adult:1.1351473556593e-05
