Gene 	Locus 	No. samples with gene amplification 	Probe* 	mRNA level (mean log 2 intensity) 		P
				Amplified 	Nonamplified 	
PROSC 	8p11.2 	12	216519_s_at 	7.4	7.4	0.87
GPR124 	8p12 	12	211814_at 	7.8	7.7	0.45
ADRB3 	8p12 	12	206812_at 	7.7	7.7	0.82
RAB11FIP1 	8p11.22 	12	219681_s_at 	9.9	7.7	1.50E-05
BRF2 	8p12 	12	218955_at 	9.4	8.5	4.90E-04
ASH2L 	8p11.2 	11	209517_s_at 	10.3	8.8	7.70E-05
ERLIN2 	8p11.2 	11	221543_s_at 	10.2	7.6	1.50E-06
WHSC1L1 	8p11.2 	11	221248_s_at 	8	7	3.90E-04
STAR 	8p11.2 	11	204548_at 	6.8	6.7	0.25
EIF4EBP1 	8p12 	11	221539_at 	10.4	8.6	2.00E-06
BAG4 	8p12 	11	219624_at 	7	6	5.60E-04
LSM1 	8p11.2 	11	203534_at 	11.6	9.3	1.40E-06
DDHD2 	8p12 	11	212690_at 	9.8	7.3	1.40E-06
FGFR1 	8p11.2 	10	211535_s_at 	9.8	7.8	1.06E-04
ERBB2 	17q21.1 	10	216836_s_at 	12.4	8.9	6.40E-08
TCAP 	17q12 	10	205766_at 	7.5	7.2	0.073
PERLD1 	17q12 	10	55616_at 	10.7	8.4	4.40E-06
PNMT 	17q21 	10	206593_at 	9.2	7.8	0.01
STARD3 	17q11 	10	202991_at 	9.4	8.1	2.70E-04
GRB7 	17q21.1 	10	210761_s_at 	10.2	8.3	1.60E-06
