microRNA	p-value	fold-change absolute	regulation post/pre	Average expression pre	Average expression post
hsa-mir-140	3.14E-03	2.95	up	30.25	89.11
hsa-mir-142	2.73E-03	5	up	975.56	4879.43
hsa-mir-17	2.83E-02	1.66	up	130.5	216.52
hsa-mir-181d	2.61E-02	2.28	up	1.92	4.39
hsa-mir-19b-1	9.45E-03	2.24	up	1.32	2.96
hsa-mir-20a	2.74E-02	2.06	up	202.15	416.18
hsa-mir-21	8.50E-05	5.22	up	1261.29	6580.23
hsa-mir-30b	3.18E-03	1.67	up	582.13	972.67
hsa-mir-33a	2.26E-02	1.93	up	1.23	2.37
hsa-mir-362	4.80E-02	2.4	up	3	7.19
hsa-mir-454	4.04E-02	2.25	up	4.15	9.34
hsa-mir-1224	1.34E-04	3.75	down	16.75	4.46
hsa-mir-1226	1.82E-03	2.81	down	8.15	2.9
hsa-mir-1229	1.90E-02	2.28	down	12.56	5.51
hsa-mir-138-2	1.78E-02	2.01	down	5.34	2.65
hsa-mir-202	1.99E-07	3.83	down	6.02	1.57
hsa-mir-23a	2.97E-02	1.7	down	980.23	575.51
hsa-mir-23a	1.95E-05	3.19	down	3.27	1.02
hsa-mir-324	2.49E-03	2.26	down	523.19	231.04
hsa-mir-338	3.23E-06	4.53	down	5.59	1.23
hsa-mir-494	3.77E-02	2.35	down	212.09	90.1
hsa-mir-500	1.79E-06	4.75	down	15.88	3.34
hsa-mir-500	9.26E-03	1.9	down	8.43	4.44
hsa-mir-501	1.84E-05	3.56	down	10.09	2.84
hsa-mir-513a	5.72E-04	3.15	down	10.6	3.36
hsa-mir-513b	1.56E-06	3.25	down	4.86	1.5
hsa-mir-513c	3.40E-03	1.84	down	1.93	1.05
hsa-mir-550	1.26E-02	2.05	down	3.73	1.82
hsa-mir-575	2.28E-02	2.92	down	116.72	40.02
hsa-mir-638	9.76E-04	3.29	down	107.57	32.71
hsa-mir-671	1.01E-03	2.63	down	7.98	3.03
hsa-mir-744	1.36E-02	2.19	down	9.62	4.4
hsa-mir-765	7.86E-03	2.52	down	4.07	1.61
hsa-mir-768	1.98E-03	5.44	down	302.53	55.59
hsa-mir-892b	3.95E-06	5.45	down	18.98	3.48
hsa-mir-923	2.46E-03	3.19	down	9353.37	2934.09
hsa-mir-92a-1	2.07E-03	2.37	down	3.78	1.59
