Gene Name	Symbol	Biological Process/Function/Pathway	Fold Change	Affymetrix Identification No.	Function
TYRO protein tyrosine kinase binding protein	TYROBP (DAP12)	T cell activation/ZAP70 binding	-3.85	204122_at	TCR signaling and T cell activation
Src homology 2 domain containing 1B	SH2D1B	Signal transduction	-4.55	1553177_at	TCR signaling and T cell activation
TCRa locus/TCRd locus	TRA	T cell activation	-4.5	217143_s_at	TCR signaling and T cell activation
v-yes-1 Yamaguchi sarcoma viral-related oncogene homolog	LYN	T cell activation	-2.57	202626_s_at	TCR signaling and T cell activation
Linker for activation of T cells family, member 2	LAT2	Ras-MAPK pathway Ca+ signaling	-2	221581_s_at	TCR signaling and T cell activation
RAP2A, member of RAS oncogene family	RAP2A	Signal transduction	-1.91	221830_at	TCR signaling and T cell activation
Vav 3 guanine nucleotide exchange factor	VAV3	Actin cytoskeleton rearrangement pathways	-1.78	218807_at	TCR signaling and T cell activation
Killer cell Ig-like receptor, three domains, long cytoplasmic tail, 2	KIR3DL2	Cytotoxicity	-4.5	207314_x_at	Killer-cell Ig-like receptors
Killer cell lectin-like receptor subfamily C, member 3	KLRC3	Cytotoxicity	-3.53	207723_s_at	Killer-cell Ig-like receptors
Killer cell Ig-like receptor, three domains, long/short cytoplasmic tail, 1	KIR3DL1	Cytotoxicity	-3.4	211389_x_at	Killer-cell Ig-like receptors
Killer cell Ig-like receptor, two domains, long cytoplasmic tail, 2/3 and short cytoplasmic tail 1/2/4/5	KIR2DL2/3 KIR2DS1/2/4/5	Cytotoxicity	-3.28	211532_x_at	Killer-cell Ig-like receptors
Killer cell lectin-like receptor subfamily C, member 1/2	KLRC1	Cytotoxicity	-2.76	206785_s_at	Killer-cell Ig-like receptors
Killer cell lectin-like receptor subfamily F, member 1	KLRF1	Cytotoxicity	-2.51	220646_s_at	Killer-cell Ig-like receptors
Killer cell lectin-like receptor subfamily C, member 4	KLRC4	Cytotoxicity	-2.31	210690_at	Killer-cell Ig-like receptors
Killer cell Ig-like receptor, two domains, short cytoplasmic tail, 3	KIR2DS3	Cytotoxicity	-2.07	208122_x_at	Killer-cell Ig-like receptors
Killer cell lectin-like receptor subfamily D, member 1	KLRD1	Cytotoxicity	-2.04	207795_s_at	Killer-cell Ig-like receptors
Killer cell Ig-like receptor, two domains, long cytoplasmic tail, 1	KIR2DL1	Cytotoxicity	-1.88	210890_x_at	Killer-cell Ig-like receptors
Killer cell Ig-like receptor, two domains, long cytoplasmic tail, 4	KIR2DL4	Cytotoxicity	-1.8	208426_x_at	Killer-cell Ig-like receptors
Natural cytotoxicity triggering receptor 1	NCR1	Cytotoxicity	-1.71	207860_at	Killer-cell Ig-like receptors
Killer cell Ig-like receptor, two domains, long cytoplasmic tail, 5A	KIR2DL5A	Cytotoxicity	-1.68	211410_x_at	Killer-cell Ig-like receptors
Neural cell adhesion molecule 1	NCAM1	Cell adhesion	-5.88	212843_at	Cell adhesion
Integrin aM (complement component 3 receptor 3 subunit)	ITGAM (CD11b)	Cell adhesion	-2.24	205786_s_at	Cell adhesion
Palladin, cytoskeletal-associated protein	PALLD	Cell adhesion	-2.13	200907_s_at	Cell adhesion
Integrin aX (complement component 3 receptor 4 subunit)	ITGAX (CD11c)	Cell adhesion	-2.06	210184_at	Cell adhesion
IKAROS family zinc finger 2	IKZF2	cD16; FcgR	-2.6	231929_at	Transcription factor
Kruppel-like factor 11	KLF11	Apoptosis		218486_at	Transcription factor
Zinc finger protein 683	ZNF683	Transcriptional regulation	-2.32	230756_at	Transcription factor
Transcription factor CP2-like 1	TFCP2L1	Transcriptional regulator	-1.93	227642_at	Transcription factor
Methyltransferase like 7A	METTL7A	Transmethylation	-2.66	207761_s_at	Transcription factor
Granulysin	GNLY	T cell /NK cell cytotoxicity	-3.19	205495_s_at	Effector function
Granzyme B (granzyme 2, cytotoxic T lymphocyte-associated serine esterase 1)	GZMB	Cytolytic activity	-1.9	210164_at	Effector function
Myosin VI	MYO6	Intracellular trafficking	-2.04	203215_s_at	Protein metabolism and transport
Golgi integral membrane protein 4	GOLIM4	Protein trafficking	-1.76	238002_at	Protein metabolism and transport
IL-8R, b	IL8RB (CXCR2)	Cytokine/chemokine-mediated immunity	-2.3	207008_at	chemokines and cytokines
IL-7	IL7	Cytokine	-1.84	206693_at	chemokines and cytokines
Chemokine-like receptor 1	CMKLR1		-1.69	207652_s_at	chemokines and cytokines
C-terminal binding protein 2	CTBP2	Cell localization	-2.74	201218_at	Cell cycle and differentiation
BCL2-related ovarian killer	BOK	Cell cycle	-1.84	223349_s_at	Cell cycle and differentiation
Ras association (RalGDS/AF-6) domain family member 4	RASSF4	Cell cycle and apoptosis	-1.83	226436_at	Cell cycle and differentiation
Platelet-derived growth factor D	PDGFD	Cell growth/differentiation	-1.65	219304_s_at	Cell cycle and differentiation
G protein-coupled receptor 56	GPR56	Cellﾖcell interaction	-1.6	212070_at	Cell cycle and differentiation
Hepatoma-derived growth factor, related protein 3	HDGFRP3	DNA synthesis/cell proliferation	-2.91	209524_at	Miscellaneous
Adrenergic, b-1-, receptor	ADRB1	Angiogenesis	-2.7	229309_at	Miscellaneous
Protease, serine, 23	PRSS23	Protein metabolism	-2.24	229441_at	Miscellaneous
Golgi membrane protein 1	GOLM1	Tumor biomarker	-2.1	217771_at	Miscellaneous
Galactosidase, b 1-like 2	GLB1L2		-2.09	213713_s_at	Miscellaneous
Transmembrane 6 superfamily member 1	TM6SF1	Transmembrane protein	-2.09	219892_at	Miscellaneous
Rho-related BTB domain containing 3	RHOBTB3		-2.04	225202_at	Miscellaneous
Synaptogyrin 1	SYNGR1	Gene for schizophrenia	-1.99	210613_s_at	Miscellaneous
Oxysterol binding protein-like 5	OSBPL5	Intracellular lipid receptor	-1.91	223464_at	Miscellaneous
Tetraspanin 2	TSPAN2	Transmembrane protein	-1.9	227236_at	Miscellaneous
Transmembrane and coiled-coil domain family 3	TMCC3	Transmembrane protein	-1.88	226489_at	Miscellaneous
Leukocyte Ig-like receptor, subfamily B (with TM and ITIM domains), member 1	LILRB1	IgR	-1.88	229937_x_at	Miscellaneous
Dedicator of cytokinesis 5	DOCK5	Autosomal recessive gene	-1.85	230263_s_at	Miscellaneous
Arrestin, b 1	ARRB1		-1.81	222912_at	Miscellaneous
Phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)	PDE4A		-1.8	204735_at	Miscellaneous
PGD2 synthase (brain)	PTGDS		-1.79	212187_x_at	Miscellaneous
Fc fragment of IgG, low-affinity IIIb, receptor (CD16b)	FCGR3B	CD16; FcgR	-1.65	204007_at	Miscellaneous
Carboxylesterase 1 (monocyte/macrophage serine esterase 1)	CES1		-1.65	209616_s_at	Miscellaneous
Basonuclin 2	BNC2	Keratinocyte transcription factor	-1.63	238478_at	Miscellaneous
Synovial sarcoma, X breakpoint 2 interacting protein	SSX2IP		-1.62	203017_s_at	Miscellaneous
Matrix-remodeling associated 7	MXRA7		-1.62	235836_at	Miscellaneous
