Description	Ensembl ID	Fold changea
Fibromodulin precursor	ENSGALG00000003546	1.26
Stabilin-1 precursor	ENSGALG00000001535	1.27
TIA1 cytotoxic granule-associated RNA binding protein-like 1	ENSGALG00000009427	1.27
Matrilin-3 precursor	ENSGALG00000016478	1.27
T-cell immunoglobulin and mucin domain containing 4	ENSGALG00000003876	1.28
Hypothetical protein (Uniprot/SPTREMBL;Acc:Q5ZJE8)	ENSGALG00000008104	1.28
Protein DmX-like 2	ENSGALG00000004805	1.28
Laforin	ENSGALG00000012275	1.29
Formimidoyltransferase-cyclodeaminase	ENSGALG00000006131	1.29
Hypothetical protein (Uniprot/SPTREMBL;Acc:Q5ZLQ2)	ENSGALG00000006378	1.3
Collagen alpha-1(VI) chain precursor	ENSGALG00000005974	1.3
Hypothetical protein LOC419466	ENSGALG00000003774	1.3
Sodium channel protein type 3 subunit alpha	ENSGALG00000011040	1.31
Probable urocanate hydratase	ENSGALG00000006306	1.33
Teneurin-1	ENSGALG00000008442	1.33
Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific	ENSGALG00000002971	1.33
Interleukin-19 precursor	ENSGALG00000000911	1.33
Rho-associated coiled coil forming kinase 2	ENSGALG00000016451	1.35
Hyaluronan synthase 3	ENSGALG00000000630	1.38
Protein NOV precursor	ENSGALG00000016112	1.39
Hypothetical protein (Uniprot/SPTREMBL;Acc:Q5ZI42)	ENSGALG00000008517	1.44
CD8 alpha chain	ENSGALG00000015816	1.47
Signal transducer and activator of transcription 4	ENSGALG00000007651	1.72
Cartilage matrix protein precursor	ENSGALG00000000548	1.48
Protein PTHB1	ENSGALG00000012188	1.5
High-affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8B	ENSGALG00000004339	1.52
Septin 5	ENSGALG00000001688	1.53
Toll-like receptor 5	ENSGALG00000009392	1.53
Serine/threonine kinase NLK	ENSGALG00000005699	1.57
Sn1-specific diacylglycerol lipase alpha	ENSGALG00000013306	1.58
Similar to egg envelope component ZPAX	ENSGALG00000016465	1.58
Diacylglycerol kinase epsilon	ENSGALG00000003131	1.6
Leucine-rich repeat and fibronectin type-III domain-containing protein 5 precursor	ENSGALG00000012505	1.6
Mannan-binding lectin serine protease 2	ENSGALG00000003016	1.61
Suppressor of cytokine signaling 1	ENSGALG00000007158	1.66
Glycerophosphodiester phosphodiesterase domain containing 5	ENSGALG00000017331	1.66
Ceramide glucosyltransferase	ENSGALG00000015682	1.68
Vacuolar protein sorting-associated protein 13B	ENSGALG00000016029	1.68
WD repeat protein 85	ENSGALG00000008750	1.7
Coiled-coil domain-containing protein 18	ENSGALG00000005889	1.71
Interferon-induced helicase C domain-containing protein 1	ENSGALG00000011089	1.8
Beta-1,3-galactosyltransferase 2	ENSGALG00000002477	1.83
Uncharacterized protein C3orf17	ENSGALG00000015182	1.86
Gallus gallus similar to AT rich interactive domain 4B (LOC425840)	ENSGALG00000014327	1.91
Voltage-dependent N-type calcium channel subunit alpha-1B	ENSGALG00000008456	1.91
Hypothetical protein (Uniprot/SPTREMBL;Acc:Q5F463)	ENSGALG00000003477	1.94
Epithelial stromal interaction 1 isoform 2	ENSGALG00000016964	1.94
Regulator of G-protein signaling 22	ENSGALG00000016030	1.97
Lymphocyte antigen 6E precursor	ENSGALG00000016152	2.03
Radical S-adenosyl methionine domain containing 2	ENSGALG00000016400	2.17
Adapter protein CIKS	ENSGALG00000015026	2.17
Uncharacterized protein C12orf34	ENSGALG00000005149	2.17
Probable G-protein coupled receptor 20	ENSGALG00000016163	2.19
Cysteinyl leukotriene receptor 2	ENSGALG00000017001	2.34
Protein tyrosine kinase 2 beta	ENSGALG00000016564	2.37
Hypothetical protein (Uniprot/SPTREMBL;Acc:Q5ZKQ9)	ENSGALG00000006457	2.38
Zinc finger E-box-binding homeobox 1	ENSGALG00000007260	2.43
Cytoplasmic polyadenylation element-binding protein 2	ENSGALG00000014516	2.49
Thymidylate kinase family LPS-inducible member	ENSGALG00000016398	2.66
Choline/ethanolaminephosphotransferase 1	ENSGALG00000000142	3.46
Phosphorylated CTD-interacting factor 1	ENSGALG00000023547	3.7
Zinc finger and BTB domain-containing protein 24	ENSGALG00000015231	3.96
Putative ISG12-2 protein	ENSGALG00000013575	4.36
Titin sequence3	ENSGALG00000009089	4.54
Gallus gallus 2-5-oligoadenylate synthetase-like	ENSGALG00000013723	4.63
	ENSGALESTG00000007682	0.78
	ENSGALG00000001074	1.27
	ENSGALG00000004617	1.29
	ENSGALG00000002574	1.3
	ENSGALG00000004028	1.35
	ENSGALESTG00000026335	1.35
	ENSGALG00000009479	1.37
	ENSGALG00000021226	1.49
	ENSGALG00000006018	1.5
	ENSGALG00000020220	1.5
	ENSGALG00000023709	1.54
	ENSGALG00000011784	1.56
	ENSGALG00000006396	1.6
	ENSGALG00000023644	1.63
	ENSGALG00000001744	1.71
	ENSGALG00000005567	1.91
	ENSGALG00000013057	1.97
	ENSGALG00000021863	2.04
	ENSGALG00000020219	2.33
	ENSGALG00000002902	2.43
	ENSGALG00000017206	2.43
	ENSGALG00000007208	3.11
	ENSGALG00000002806	4.42
	ENSGALESTG00000009290	5.27
	ENSGALG00000006384	7.59
	ChEST832f13	0.71
	ChEST583m7	1.26
	ChEST300f17	1.36
	ChEST834i23	1.41
	ENSGALT00000008995.1	1.42
	ENSGALT00000009361.1	1.44
	ChEST267l24	1.55
	ChEST721o9	1.68
	Contig_28_forward	1.71
	ChEST432a1	1.71
	ChEST1017a23	1.73
	ChEST622g7	1.75
	ENSGALT00000019233.1	1.95
	ENSGALT00000022021.1	2.19
	ENSGALT00000025401.1	2.54
	ChEST822p4	2.72
	Contig_12_reverse	4.43
	ENSGALT00000023527.1	5.52
