Gene	Accession	Size (aa)	Chromosome location	Isoforms	Protein	Function
ACVR2B	NM_001106	512	3p22	1	Activin A receptor, type IIB	Cell proliferation/ differentiation
EXOSC5	BC007742	235	19q13.1	1	Exosome component 5/ exosome component Rrp46	DNA/RNA
GPKOW	NM_015698	476	Xp11.23	1	G patch domain and KOW motifs	DNA/RNA
POLR3C	NM_006468	411	1q21.1	2	Polymerase (RNA) III (DNA directed) polypeptide C	DNA/RNA
IRAK3	NM_007199	596	12q14.3	1	Interleukin-1 receptor-associated kinase 3	Host defense/ immune function
TNFRSF19	NM_148957	417	13q12.11-q12.3	2	Tumor necrosis factor receptor superfamily, member 19	Apoptosis
RASL11B	NM_023940	248	4q12	1	RAS-like, family 11, member B	Cell proliferation/ differentiation
RET	NM_020975	1114	10q11.2	2	Ret proto-oncogene	Cell proliferation/ differentiation
RBBP4	NM_005610	425	1p35.1	1	Retinoblastoma binding protein 4	DNA/RNA
MVD	NM_002461	400	16q24.3	1	Diphosphomevalonate decarboxylase	Metabolism
MMAB	NM_052845	250	12q24	1	Methylmalonic aciduria (cobalamin deficiency) cblB type	Metabolism
ARHGAP4	BC052303	986	Xq28	1	Rho GTPase activating protein 4	Actin and microtubule dynamics
CNN3	NM_001839	329	1p22-p21	1	Calponin 3, acidic	Actin and microtubule dynamics
TBCE	NM_003193	527	1q42.3	2	Tubulin folding cofactor E	Actin and microtubule dynamics
4-Sep	NM_004574	478	17q22-q23	3	Septin 4	Cell cycle regulation
CSK	NM_004383	450	15q23-q25	1	C-Src tyrosine kinase	Cell proliferation/ differentiation
DUSP12	NM_007240	340	1q21-q22	1	Dual specificity phosphatase 12	Cell proliferation/ differentiation
RAB38	NM_022337	211	11q14	1	RAB38, member RAS oncogene family	Cell proliferation/ differentiation
RAF1	NM_002880	648	3p25	1	V-Raf-1 murine leukemia viral oncogene homolog 1	Cell proliferation/ differentiation
TGFBR2	NM_003242	567	3p22	2	Transforming growth factor, beta receptor II	Cell proliferation/ differentiation
EIF1AY	BC005248	144	Yq11.222	1	Eukaryotic translation initiation factor 1A, Y-linked	DNA/RNA
LIG3	NM_013975	1009	17q11.2-q12	2	Ligase III, DNA, ATP-dependent	DNA/RNA
PTRH1	NM_001002913	214	9q34.11	1	Peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)	DNA/RNA
RAD51AP1	BC016330	352	12p13.2-p13.1	1	RAD51 associated protein 1	DNA/RNA
CCBL2	BC000819	290	1p22.2	2	Cysteine conjugate-beta lyase 2	Metabolism
ELMO3	NM_024712	773	16q22.1	1	Engulfment and cell motility 3	Phagocytosis
NAALADL2	BC057243	320	3q26.31	1	N-acetylated alpha-linked acidic dipeptidase-like 2	Protein processing
VPS4B	NM_004869	444	18q21.32-q21.33	1	Vacuolar protein sorting 4 homolog B (S. cerevisiae)	Protein processing
PPIA	NM_021130	165	7p13	1	Peptidylprolyl isomerase A (cyclophilin A)	Protein processing
GRK5	NM_005308	590	10q24-qter	1	G protein-coupled receptor kinase 5	Signal transduction
RPS6KC1	NM_012424	1066	1q41	1	Ribosomal protein S6 kinase, 52kDa, polypeptide 1	Signal transduction
SERPINB9	NM_004155	376	6p25	1	Serpin peptidase inhibitor, clade B (ovalbumin), member 9	Signal transduction
TYRO3	NM_006293	890	15q15.1-q21.1	1	TYRO3 protein tyrosine kinase	Signal transduction
WDR4	NM_033661	412	21q22.3	1	WD repeat domain 4	Signal transduction
MGRN1	NM_015246	576	16p13.3	1	Mahogunin, ring finger 1	Ubiquitin cycle
ANKRD50	BC024725	743	4q28.1	1	Ankyrin repeat domain 50	Unknown
C11orf16	BC027865	404	11p15.3	1	Chromosome 11 ORF 16	Unknown
C20orf103	NM_012261	280	20p12	1	Chromosome 20 ORF 103	Unknown
PTCD3	NM_017952	689	2p11.2	1	Pentatricopeptide repeat domain 3	Unknown
ZDHHC19	BC034801	243	3q29	1	Zinc finger, DHHC-type containing 19	Unknown
SNAP25	NM_003081	206	20p12-p11.2	2	Synaptosomal-associated protein, 25kDa	Vesicle dynamics
UNC119	NM_005148	240	17q11.2	2	Unc-119 homolog (C. elegans)	Vesicle dynamics
