Probe Set ID	Gene Symbol	Gene Title	Change in Average Signal Intensity
1554014_at	CHD2	chromodomain helicase DNA binding protein 2	-0.214
200045_at	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	-0.009
201690_s_at	TPD52	tumor protein D52	-0.116
202541_at	AIMP1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	-0.124
202684_s_at	RNMT	RNA (guanine-7-) methyltransferase	-0.224
204891_s_at	LCK	lymphocyte-specific protein tyrosine kinase	-0.041
206074_s_at	HMGA1	high mobility group AT-hook 1	-0.007
209388_at	PAPOLA	poly(A) polymerase alpha	-0.101
210426_x_at	RORA	RAR-related orphan receptor A	-0.115
210607_at	FLT3LG	fms-related tyrosine kinase 3 ligand	-0.238
212590_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	-0.01
212658_at	LHFPL2	lipoma HMGIC fusion partner-like 2	-0.124
213528_at	C1orf156	chromosome 1 open reading frame 156	-0.267
217717_s_at	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	-0.1
221476_s_at	RPL15	ribosomal protein L15	-0.21
221652_s_at	C12orf11	chromosome 12 open reading frame 11	-0.059
222624_s_at	ZNF639	zinc finger protein 639	-0.253
223247_at	MED10	mediator complex subunit 10	-0.004
223555_at	GON4L	gon-4-like (C. elegans)	-0.022
224454_at	ETNK1	ethanolamine kinase 1	-0.036
225626_at	PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	-0.271
226771_at	ATP8B2	ATPase, class I, type 8B, member 2	-0.114
228320_x_at	CCDC64	coiled-coil domain containing 64	-0.055
230069_at	SFXN1	sideroflexin 1	-0.202
235085_at	SGK223	homolog of rat pragma of Rnd2	-0.257
238041_at	TCF12	transcription factor 12	-0.047
239081_at	---	---	-0.387
241908_at	C1orf58	Chromosome 1 open reading frame 58	-0.221
242062_at	SAMD8	sterile alpha motif domain containing 8	-0.086
244519_at	ASXL1	additional sex combs like 1 (Drosophila)	-0.276
39582_at	CYLD	cylindromatosis (turban tumor syndrome)	-0.144
55872_at	ZNF512B	zinc finger protein 512B	-0.162
