Accession #	Sequence Code	Primary Sequence Name	T-statistic	P-value
NM_004791	A_23_P113777	ITGBL1	-5.95926	0.00021
NM_007037	A_23_P86956	ADAMTS8	3.82139	0.00408
NM_001076683	A_24_P349616	UBTF	3.26726	0.00973
NM_006037	A_23_P210048	HDAC4	3.73999	0.00463
NM_018064	A_23_P428827	C6orf166	-3.51782	0.00654
NM_016195	A_23_P75071	MPHOSPH1	6.33580	0.00014
NM_005947	A_23_P37983	MT1B	-3.26899	0.00970
NM_174912	A_23_P113471	FAAH2	3.87345	0.00377
NM_014612	A_24_P941505	FAM120A	3.73986	0.00463
NM_006196	A_23_P68040	PCBP1	3.28738	0.00942
BC022054	A_24_P230938	C10orf83	-3.31980	0.00894
NM_012098	A_23_P374104	ANGPTL2	-3.27712	0.00957
BM709498	A_32_P99690	THC2695604	8.82045	0.00001
NM_031433	A_24_P98783	MFRP	-3.45144	0.00726
NM_004484	A_24_P57631	GPC3	3.90734	0.00358
NM_025108	A_23_P26557	C16orf59	3.98673	0.00317
	A_23_P395321	A_23_P395321	3.28093	0.00952
NM_021965	A_24_P120907	PGM5	3.30649	0.00913
NM_000097	A_23_P144179	CPOX	3.46259	0.00713
AK026980	A_32_P48043	ZNF37B	-3.39580	0.00793
NM_005915	A_23_P90612	MCM6	4.27565	0.00206
CN404647	A_23_P51797	ENST00000343253	3.76498	0.00445
NM_006640	A_24_P147910	38595	-3.32482	0.00887
NM_013256	A_23_P89921	ZNF180	4.04378	0.00291
NM_000599	A_23_P383009	IGFBP5	-3.73391	0.00467
NM_153045	A_24_P915196	C9orf91	3.63257	0.00546
	A_32_P135043	THC2636523	3.74257	0.00461
	A_23_P51966	A_23_P51966	3.36743	0.00829
NM_133374	A_24_P743806	ZNF618	4.38217	0.00177
NM_000051	A_23_P35916	ATM	3.28712	0.00942
NM_014812	A_23_P348857	CEP170	3.46147	0.00714
NM_016297	A_32_P180958	PCYOX1	3.35081	0.00851
NM_002807	A_24_P128205	PSMD1	3.49593	0.00677
NM_145791	A_23_P36658	MGST1	-3.76887	0.00442
NM_018424	A_24_P89987	EPB41L4B	3.94705	0.00337
NM_014901	A_23_P213592	RNF44	3.38140	0.00811
NM_207418	A_32_P151800	GCUD2	5.06939	0.00067
	A_32_P13823	THC2719076	-3.48108	0.00693
NM_015361	A_23_P380998	R3HDM1	3.25415	0.00993
NM_016603	A_23_P136460	C5orf5	3.47396	0.00700
NM_014767	A_23_P161280	SPOCK2	-3.58436	0.00589
AK023633	A_24_P132019	AK023633	3.46262	0.00713
NM_020937	A_23_P404211	FANCM	3.45874	0.00718
CN430008	A_32_P136304	CN430008	4.06629	0.00282
NM_001008529	A_24_P324314	MXRA7	-3.25849	0.00986
NM_002105	A_24_P38895	H2AFX	3.43800	0.00741
NM_001048166	A_24_P214231	STIL	3.92911	0.00346
AL365520	A_32_P460399	AL365520	4.16175	0.00244
NM_018121	A_23_P104282	C10orf6	3.38525	0.00806
NM_018936	A_23_P213375	PCDHB2	4.77613	0.00101
NM_002354	A_23_P91081	TACSTD1	3.26226	0.00980
NM_000366	A_23_P363344	TPM1	-4.51998	0.00145
CR622681	A_24_P455972	FLJ43663	-4.98321	0.00076
NM_005950	A_23_P206707	MT1G	-3.54547	0.00626
BC047380	A_24_P823219	CRYBB2P1	-3.54666	0.00625
NM_016588	A_23_P82088	NRN1	-5.06180	0.00068
NM_001048226	A_23_P28772	DBNDD2	-3.55949	0.00612
NM_198270	A_32_P126375	NHS	4.96824	0.00077
AK096621	A_24_P498854	LOC284998	-5.91661	0.00022
NM_021046	A_23_P47086	KRTAP5-8	-3.54700	0.00625
NM_173495	A_23_P303251	PTCHD1	-3.94818	0.00336
NM_005952	A_23_P303242	MT1X	-3.54227	0.00629
NM_005575	A_23_P156061	LNPEP	4.28789	0.00203
	A_32_P140220	THC2678509	-3.28392	0.00947
NM_012134	A_23_P201940	LMOD1	-4.01874	0.00302
AK094477	A_24_P221551	LOC100129113	-3.98034	0.00320
NM_001042508	A_32_P334340	C6orf124	-3.33692	0.00870
AK090639	A_24_P350656	NFASC	-3.50669	0.00665
NM_003505	A_24_P38276	FZD1	3.68047	0.00507
NM_006101	A_24_P14156	NDC80	3.42151	0.00761
NM_001466	A_23_P141362	FZD2	4.01773	0.00303
NM_018058	A_23_P431971	CRTAC1	3.82559	0.00406
NM_005952	A_24_P125096	MT1X	-3.37108	0.00824
NM_213606	A_24_P13024	SLC16A12	3.90024	0.00362
NM_020639	A_24_P125871	RIPK4	4.82887	0.00094
NM_002139	A_23_P96420	RBMX	3.35807	0.00841
NM_032564	A_24_P295791	DGAT2	4.30095	0.00199
NM_032528	A_23_P429425	ST6GAL2	3.38489	0.00806
NM_198391	A_23_P166109	FLRT3	3.29423	0.00932
	A_32_P157775	THC2564488	-3.63893	0.00541
NM_173495	A_32_P149435	PTCHD1	-3.76902	0.00442
NM_175629	A_23_P154500	DNMT3A	4.22260	0.00223
NM_005914	A_23_P370989	MCM4	3.35802	0.00842
NM_004720	A_23_P101829	LPAR2	3.43365	0.00747
NM_003279	A_23_P131825	TNNC2	-4.00979	0.00306
NM_015697	A_23_P124733	COQ2	3.78837	0.00429
AW389821	A_32_P98914	AW389821	3.36330	0.00835
BG187898	A_24_P204515	ENST00000339424	-3.29554	0.00930
NM_002899	A_23_P257649	RBP1	-3.26393	0.00978
BC034319	A_32_P121549	BC034319	-3.69296	0.00497
NM_000599	A_23_P154115	IGFBP5	-4.40910	0.00170
NM_012098	A_23_P20864	ANGPTL2	-3.29701	0.00927
AK093577	A_24_P375205	ENST00000343519	-3.50653	0.00665
NM_001905	A_23_P21706	CTPS	5.51967	0.00037
