Curated Gene Symbol	Accession-nr	Gene symbol	Name	Induction(Sox/EGFP)	Category
MBD4	NM_003925	MBD4	methyl-CpG binding domain protein 4	36.9	Up-regulated
DKK2	NM_014421	DKK2	dickkopf (Xenopus laevis) homolog 2	22.1	Up-regulated
PMCH	NM_002674	PMCH	pro-melanin-concentrating hormone	20.83	Up-regulated
CD24	NM_013230	CD24	CD24	14.64	Up-regulated
EPHA7	NM_004440	EPHA7	ephrin receptor A7	11.41	Up-regulated
CSRP2	NM_001321	CSRP2	cysteine and glycine-rich protein 2	8.41	Up-regulated
IL7R	NM_002185	IL7R	interleukin 7 receptor	5.82	Up-regulated
PASK	NM_015148	PASK	PAS domain S/T kinase	4.72	Up-regulated
ATP1B4	NM_012069	ATP1B4	ATPase, (Na+)K+ transporting, beta 4	4.65	Up-regulated
DACH1	NM_004392	DACH	dachshund (Drosophila) homolog	4.63	Up-regulated
CXCR4	NM_003467	CXCR4	chemokine receptor 4	4.57	Up-regulated
CENPN	NM_018455	FLJ13607	bone marrow protein BM039	4.56	Up-regulated
NPY1R	NM_000909	NPYR	neuropeptide Y receptor	4.52	Up-regulated
CYP39A1	NM_016593	CYP39A1	oxysterol 7alpha-hydroxylase	4.4	Up-regulated
ABO	NM_020469	ABO	histo-blood group ABO protein	4.26	Up-regulated
CPA3	NM_001870	CPA3	carboxypeptidase A3	4.13	Up-regulated
EFNB2	NM_004093	EFNB2	ephrinB2	3.81	Up-regulated
PEG10	NM_015068	PEG10	Paternally expressed 10	3.69	Up-regulated
GULP1	NM_016315	GULP1	engulfment adaptor PTB domain 1	3.51	Up-regulated
TAOK2	NM_004783	TAO1	thousand and one amino acid protein kinase	3.39	Up-regulated
MMP7	NM_002423	MMP7	matrix metalloproteinase 7	3.38	Up-regulated
HMG20B	NM_006339	HMG20B	high-mobility group 20B	3.38	Up-regulated
THSD1	NM_018676	TMTSP	thrombospondin module	3.36	Up-regulated
CYP1B1	NM_000104	CYP1B1	cytochrome P450, subfamily I	3.33	Up-regulated
KHDRBS3	NM_006558	KHDRBS3	Sam68-like phosphotyrosine protein	3.26	Up-regulated
CBFA2T2	NM_005093	CBFA2T2	core-binding factor, alpha subunit 2	3.19	Up-regulated
CLEC2B	NM_005127	CLEC2B	C-type lectin domain family 2B	3.16	Up-regulated
CNR1	NM_016083	CNR1	CB1 cannabinoid receptor	3.14	Up-regulated
HRH4	NM_021624	HRH4	histamine H4 receptor	3.14	Up-regulated
KCNK1	NM_002245	KCNK1	potassium channel, subfamily K, member 1	3.05	Up-regulated
SEMA3G	NM_020163	SEMA3G	Semaphorin3G	2.4	Up-regulated
TAF1A	NM_005681	TAF1A	TATA box binding protein-associated factor	0.1	Down-regulated
C1orf109	NM_017850	FLJ20508		0.15	Down-regulated
NRF1	NM_005011	NRF1	nuclear respiratory factor 1	0.15	Down-regulated
MAFB	NM_005461	KRML	maf-related leucine zipper homolog	0.15	Down-regulated
	AL049226	DKFZp564M0916		0.17	Down-regulated
	XM_937246	FLJ13765	BANP homolog	0.22	Down-regulated
PCDHA12	NM_018903	PCDH-alpha12	VE-cadherin 2 long isoform	0.23	Down-regulated
BCL2L1	NM_001191	BCL2L1	Bcl-xS	0.23	Down-regulated
GATM	NM_000156	GATM	guanidinoacetate N-methyltransferase	0.25	Down-regulated
