Affi ID	Gene	Product and function
209610_s_at	SLC1A4	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
221530_s_at	BHLHB3	Basic helix-loop-helix domain containing, class B, 3
212811_x_at	SLC1A4	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
200677_at	PTTG1IP	Pituitary tumor-transforming 1 interacting protein
224796_at	DDEF1	DDEF1 intronic transcript 1
236442_at	DPF3	D4, zinc and double PHD fingers, family 3
216268_s_at	JAG1	Jagged 1 (Alagille syndrome)
218559_s_at	MAFB	V-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
225079_at	EMP2	Epithelial membrane protein 2
221011_s_at	LBH	Hypothetical protein DKFZp566J091
212956_at	KIAA0882	KIAA0882 protein
223202_s_at	FLJ22679	Hypothetical protein FLJ22679
221039_s_at	DDEF1	DDEF1 intronic transcript 1
212810_s_at	SLC1A4	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
203706_s_at	FZD7	Frizzled homolog 7 (Drosophila)
201648_at	JAK1	Janus kinase 1 (a protein tyrosine kinase)
227224_at	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
210786_s_at	FLI1
217979_at	TM4SF13	Tetraspanin 13
227377_at	IMP-1	IGF-II mRNA-binding protein 1
225564_at	SPATA13	Spermatogenesis associated 13
213620_s_at	ICAM2	Intercellular adhesion molecule 2
209283_at	CRYAB	Crystallin, alpha B
204761_at	USP6NL
209558_s_at	HIP1R	Huntingtin interacting protein-1-related
205817_at	SIX1	Sine oculis homeobox homolog 1 (Drosophila)
209611_s_at	SLC1A4	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
204899_s_at	SAP30	Sin3-associated polypeptide, 30kDa
209962_at	EPOR	Erythropoietin receptor
204550_x_at	GSTM1	Glutathione S-transferase M1
201911_s_at	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
223178_s_at	NT5C2L1	5-nucleotidase, cytosolic II-like 1
201028_s_at	CD99	CD99 antigen
