Rank	GenBank	Name	Symbol	Rank	HepG2	Hep3B
1	NM_014426	Sorting nexin 5	SNX5	11.70	2.39	0.20
2	NM_003457	Zinc finger protein 207	ZNF207	9.91	1.80	0.18
3	NM_018477	Actin-related protein 10 homolog	ACTR10	9.36	1.10	0.12
4	NM_006302	Glucosidase I	GCS1	9.17	3.26	0.36
5	AW978861	Lysophospholipase-like 1	LYPLAL1	8.14	0.71	0.09
6	NM_000521	Hexosaminidase B (ß polypeptide)	HEXB	7.98	2.18	0.27
7	X92518	High mobility group AT-hook 2	HMGA2	7.85	1.42	0.18
8	NM_006142	Stratifin	SFN	7.76	0.69	0.09
9	NM_005608	Protein tyrosine phosphatase	PTPRCAP	7.63	1.64	0.21
10	NM_002467	V-myc	MYC	7.19	0.89	0.12
11	NM_005381	Nucleolin	NCL	6.90	1.57	0.23
12	BI092644	SEC22 vesicle trafficking protein-like 1	SEC22L1	6.49	1.24	0.19
13	AB067486	Tubulin, Á complex associated protein 5	TUBGCP5	6.16	1.45	0.24
14	NM_000534	PMS1 postmeiotic segregation increased 1	PMS1	6.02	1.30	0.22
15	D31763	Zinc finger protein 33a (KOX 31)	ZNF33A	5.71	1.72	0.30
16	NM_003072	SMARCA4	SMARCA4	5.56	1.43	0.26
17	NM_002600	Phosphodiesterase 4B, cAMP-specific	PDE4B	4.99	1.40	0.28
18	AK025550	Sprouty-related, EVH1 domain containing 2	SPRED2	4.98	1.78	0.36
19	AB051532	Semaphorin 4B	SEMA4B	4.60	1.34	0.29
20	NM_013400	Replication initiator 1	REPIN1	4.59	0.72	0.16
21	NM_006554	Metaxin 2	MTX2	4.58	1.53	0.33
22	NM_000034	Aldolase A, fructose-bisphosphate	ALDOA	4.54	1.61	0.35
23	NM_005985	Snail homolog 1 (Drosophila)	SNAI1	4.39	0.67	0.15
24	NM_016453	SH3 protein interacting with Nck, 90 kDa	AF3P21	4.31	1.52	0.35
25	NM_014623	Male-enhanced antigen	MEA	4.29	1.57	0.36
26	NM_030805	Lectin, mannose-binding 2-like	LMAN2L	4.20	1.35	0.32
27	NM_001407	Cadherin, EGF LAG seven-pass G-type receptor 3	CELSR3	4.15	1.25	0.30
28	NM_004708	Programmed cell death 5	PDCD5	4.03	1.11	0.27
29	NM_024518	UL16 binding protein 3	ULBP3	3.97	1.00	0.25
30	AK026320	Polymeric immunoglobulin receptor	PIGR	3.97	1.04	0.26
31	NM_031902	Mitochondrial ribosomal protein S5	MRPS5	3.85	0.73	0.19
32	NM_004960	Fusion	FUS	3.79	1.45	0.38
33	NM_003031	Seven in absentia homolog 1 (Drosophila)	SIAH1	3.79	0.99	0.26
34	NM_005095	Zinc finger protein 262	ZNF262	3.71	0.96	0.26
35	NM_005863	Neuroepithelial cell transforming gene 1	NET1	3.69	0.28	0.08
36	NM_005863	Neuroepithelial cell transforming gene 1	NET1	3.69	0.28	0.08
37	AI653251	Benzodiazapine receptor associated protein 1	BZRAP1	3.60	1.33	0.37
38	NM_004998	Myosin IE	MYO1E	3.52	1.47	0.42
39	NM_022900	O-acetyltransferase	CAS1	3.50	0.54	0.16
40	NM_007265	Suppressor of S. cerevisiae gcr2	HSGT1	3.33	1.15	0.35
41	AB023190	Syntrophin associated serine/threonine kinase	SAST	3.33	1.37	0.41
42	AK026745	Nuclear protein double minute 1	MDM1	3.31	1.25	0.38
43	NM_031457	Membrane-spanning 4-domains A 8B	MS4A8B	3.22	0.98	0.31
44	AL536811	Actinfilin	LOC339451	3.21	0.98	0.31
45	NM_012289	Kelch-like ECH-associated protein 1	KEAP1	3.20	1.42	0.44
46	NM_016131	RAB10, member RAS oncogene family	RAB10	3.11	1.29	0.42
47	NM_002435	Mannose phosphate isomerase	MPI	3.05	1.23	0.40
48	NM_012179	F-box only protein 7	FBXO7	3.00	1.32	0.44
49	BC002971	Chaperonin containing TCP1, subunit 5	CCT5	0.33	0.39	1.20
50	NM_002999	Syndecan 4 (amphiglycan, ryudocan)	SDC4	0.29	0.42	1.45
51	NM_020167	Neuromedin U receptor 2	NMU2R	0.29	0.47	1.64
52	NM_005471	Glucosamine-6-phosphate deaminase 1	GNPDA1	0.26	0.24	0.94
53	NM_002276	Keratin 19	KRT19	0.24	0.45	1.84
54	NM_005143	Haptoglobin	HP	0.24	0.52	2.16
55	NM_032593	Histidine triad nucleotide binding protein 2	HINT2	0.15	0.47	3.15
56	BC012778	Calmodulin regulated spectrin-associated protein 1	CAMSAP1	0.04	0.49	13.15
