Curated Gene Symbol	miRNA	Fold change	Probe ID	Gene symbols	Gene names	Fold change	Expression correlation	P value
FAM178A	hsa-let-7	0.03	203481_at	C10ORF6	chromosome 10 open reading frame 6	1.58	-0.58	0.0188
DPP3	hsa-let-7		218567_x_at	DPP3	dipeptidylpeptidase 3	2.31	-0.49	0.054
EZH2	hsa-let-7		203358_s_at	EZH2	enhancer of zeste homolog 2 (Drosophila)	2.36	-0.64	0.00769
SLC20A1	hsa-let-7		209283_at	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	2.06	-0.3	0.253
TRIB1	hsa-let-7		203358_s_at	TRIB1	tribbles homolog 1 (Drosophila)	1.77	-0.48	0.0584
SDC1	hsa-miR-10b	0.04	202357_s_at	SDC1	syndecan 1	2.06	-0.28	0.296
HMGB3	hsa-miR-125b	5.00E-02	203744_at	HMGB3	high-mobility group box 3	2.13	-0.61	0.0127
NRIP1	hsa-miR-125b		209613_s_at	NRIP1	nuclear receptor interacting protein 1	2.25	-0.39	0.136
MEMO1	hsa-miR-125b		213004_at	MEMO1	mediator of cell motility 1	1.73	-0.59	0.0154
HMGB3	hsa-miR-17-3p	0.12	203744_at	HMGB3	high-mobility group box 3	2.13	-0.49	0.0566
CERS6	hsa-miR-17-3p		212446_s_at	LASS6	LAG1 longevity assurance homolog 6	1.78	-0.31	0.238
MAP7	hsa-miR-17-3p		211653_x_at	MAP7	microtubule-associated protein 7	1.73	-0.49	0.0519
SERP1	hsa-miR-17-3p		213492_at	SERP1	stress-associated endoplasmic reticulum protein 1	1.8	-0.23	0.384
SAR1B	hsa-miR-17-3p		203213_at	SAR1B	SAR1 gene homolog B (Saccharomyces cerevisiae)	1.95	-0.07	0.803
ADAM9	hsa-miR-17-3p		202381_at	ADAM9	ADAM metallopeptidase domain 9	2.04	-0.45	0.0789
BACH2	hsa-miR-181b	5.46	221234_s_at	BACH2	BTB and CNC homology 1 basic leucine zipper transcription factor 2	0.47	-0.3	0.262
CBX7	hsa-miR-181b		212914_at	CBX7	chromobox homolog 7	0.44	-0.3	0.267
HLF	hsa-miR-181b		204753_s_at	HLF	hepatic leukemia factor	0.24	-0.19	0.484
	hsa-miR-181b		204755_x_at			0.28	-0.52	0.0382
	hsa-miR-181b		204754_at			0.31	-0.45	0.077
NMT2	hsa-miR-181b		204567_s_at	NMT2	N-myristoyltransferase 2	0.58	-0.35	0.181
NR3C1	hsa-miR-181b		202274_at	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	0.46	-0.44	0.0886
