Location	Fold Change	ProbeSet ID	UniGene ID	Gene Symbol	Gene Name
Extracellular Space	2171.6	204655_at	Hs.514821	CCL5	chemokine (C-C motif) ligand 5
Extracellular Space	2036.6	202859_x_at	Hs.624	IL8	interleukin 8
Extracellular Space	1035.1	1405_i_at	Hs.514821	CCL5	chemokine (C-C motif) ligand 5
Extracellular Space	876.1	1555759_a_at	Hs.514821	CCL5	chemokine (C-C motif) ligand 5
Extracellular Space	358.3	211506_s_at	Hs.624	IL8	interleukin 8
Extracellular Space	247	39402_at	Hs.126256	IL1B	interleukin 1, beta
Extracellular Space	138	202357_s_at	Hs.408903	C2	complement component 2
Extracellular Space	125.1	203828_s_at	Hs.943	IL32	interleukin 32
Extracellular Space	118.9	214974_x_at	Hs.89714	CXCL5	chemokine (C-X-C motif) ligand 5
Extracellular Space	93.1	210118_s_at	Hs.1722	IL1A	interleukin 1, alpha
Extracellular Space	89.8	206336_at	Hs.164021	CXCL6	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)
Extracellular Space	81.1	207426_s_at	Hs.181097	TNFSF4	tumor necrosis factor (ligand) superfamily, member 4
Extracellular Space	66.6	205067_at	Hs.126256	IL1B	interleukin 1, beta
Extracellular Space	61.3	204858_s_at	Hs.592212	TYMP	thymidine phosphorylase
Extracellular Space	54.7	216598_s_at	Hs.303649	CCL2	chemokine (C-C motif) ligand 2
Extracellular Space	40.5	235737_at	Hs.389874	TSLP	thymic stromal lymphopoietin
Extracellular Space	25.2	209840_s_at	Hs.3781	LRRN3	leucine rich repeat neuronal 3
Extracellular Space	24.6	205483_s_at	Hs.458485	ISG15 (includes EG	EGISG15 ubiquitin-like modifier
Extracellular Space	22.3	209267_s_at	Hs.288034	SLC39A8	solute carrier family 39 (zinc transporter), member 8
Extracellular Space	18.3	205992_s_at	Hs.654378	IL15	interleukin 15
Extracellular Space	16.7	206025_s_at	Hs.437322	TNFAIP6	tumor necrosis factor, alpha-induced protein 6
Extracellular Space	13.4	206026_s_at	Hs.437322	TNFAIP6	tumor necrosis factor, alpha-induced protein 6
Extracellular Space	13.4	209841_s_at	Hs.3781	LRRN3	leucine rich repeat neuronal 3
Extracellular Space	12.4	206254_at	Hs.419815	EGF	epidermal growth factor (beta-urogastrone)
Extracellular Space	11.7	202510_s_at	Hs.525607	TNFAIP2	tumor necrosis factor, alpha-induced protein 2
Extracellular Space	10.8	209277_at	Hs.438231	TFPI2	tissue factor pathway inhibitor 2
Extracellular Space	8.7	241986_at	Hs.660998	BMPER	BMP binding endothelial regulator
Extracellular Space	7.5	213817_at	Hs.594861	IRAK3	interleukin-1 receptor-associated kinase 3
Extracellular Space	6.7	208747_s_at	Hs.458355	C1S	complement component 1, s subcomponent
Extracellular Space	6.4	205174_s_at	Hs.79033	QPCT (includes EG	glutaminyl-peptide cyclotransferase
Extracellular Space	6.1	211596_s_at	Hs.518055	LRIG1	leucine-rich repeats and immunoglobulin-like domains 1
Extracellular Space	5.7	205207_at	Hs.654458	IL6	interleukin 6 (interferon, beta 2)
Extracellular Space	5.3	209788_s_at	Hs.436186	ERAP1	endoplasmic reticulum aminopeptidase 1
Extracellular Space	5.3	211896_s_at	Hs.706262	DCN	decorin
Extracellular Space	5	1552312_a_at	Hs.432818	MFAP3	microfibrillar-associated protein 3
Extracellular Space	5	203788_s_at	Hs.269109	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
Extracellular Space	4.9	212067_s_at	Hs.524224	C1R	complement component 1, r subcomponent
Extracellular Space	4.9	209335_at	Hs.706262	DCN	decorin
Extracellular Space	4.8	206814_at	Hs.2561	NGF	nerve growth factor (beta polypeptide)
Extracellular Space	4.7	204614_at	Hs.594481	SERPINB2	serpin peptidase inhibitor, clade B (ovalbumin), member 2
Extracellular Space	4.7	209278_s_at	Hs.438231	TFPI2	tissue factor pathway inhibitor 2
Extracellular Space	4.5	201744_s_at	Hs.406475	LUM	lumican
Extracellular Space	4.5	220147_s_at	Hs.505154	FAM60A (includes	Efamily with sequence similarity 60, member A
Extracellular Space	4.3	217738_at	Hs.489615	NAMPT	nicotinamide phosphoribosyltransferase
Extracellular Space	4.2	38037_at	Hs.799	HBEGF	heparin-binding EGF-like growth factor
Extracellular Space	3.9	217739_s_at	Hs.489615	NAMPT	nicotinamide phosphoribosyltransferase
Extracellular Space	3.8	214719_at	Hs.117167	SLC46A3	solute carrier family 46, member 3
Extracellular Space	3.8	219201_s_at	Hs.514685	TWSG1	twisted gastrulation homolog 1 (Drosophila)
Extracellular Space	3.6	218587_s_at	Hs.231750	KTELC1	KTEL (Lys-Tyr-Glu-Leu) containing 1
Extracellular Space	3.6	221577_x_at	Hs.616962	GDF15	growth differentiation factor 15
Extracellular Space	3.6	213800_at	Hs.363396	CFH	complement factor H
Extracellular Space	3.5	207595_s_at	Hs.1274	BMP1	bone morphogenetic protein 1
Extracellular Space	3.5	201893_x_at	Hs.706262	DCN	decorin
Extracellular Space	3.4	203789_s_at	Hs.269109	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
Extracellular Space	3.3	218983_at	Hs.631730	C1RL	complement component 1, r subcomponent-like
Extracellular Space	3.3	210385_s_at	Hs.436186	ERAP1	endoplasmic reticulum aminopeptidase 1
Extracellular Space	3.3	211813_x_at	Hs.706262	DCN	decorin
Extracellular Space	3.3	221553_at	Hs.660548	MAGT1	magnesium transporter 1
Extracellular Space	3.1	205574_x_at	Hs.1274	BMP1	bone morphogenetic protein 1
Extracellular Space	3	212915_at	Hs.714313	PDZRN3	PDZ domain containing ring finger 3
Extracellular Space	3	1555778_a_at	Hs.136348	POSTN	periostin, osteoblast specific factor
Extracellular Space	3	222681_at	Hs.231750	KTELC1	KTEL (Lys-Tyr-Glu-Leu) containing 1
Extracellular Space	2.9	209909_s_at	Hs.133379	TGFB2	transforming growth factor, beta 2
Extracellular Space	2.9	203821_at	Hs.799	HBEGF	heparin-binding EGF-like growth factor
Extracellular Space	2.7	222802_at	Hs.511899	EDN1	endothelin 1
Extracellular Space	2.6	202283_at	Hs.694727	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
Extracellular Space	2.6	212667_at	Hs.111779	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)
Extracellular Space	2.4	204422_s_at	Hs.284244	FGF2	fibroblast growth factor 2 (basic)
Extracellular Space	2.4	226609_at	Hs.658304	DCBLD1	discoidin, CUB and LCCL domain containing 1
Extracellular Space	2.4	218995_s_at	Hs.511899	EDN1	endothelin 1
Extracellular Space	2.4	208454_s_at	Hs.156178	PGCP	plasma glutamate carboxypeptidase
Extracellular Space	2.3	201852_x_at	Hs.443625	COL3A1	collagen, type III, alpha 1
Extracellular Space	2.3	202311_s_at	Hs.172928	COL1A1	collagen, type I, alpha 1
Extracellular Space	2.3	203417_at	Hs.389137	MFAP2	microfibrillar-associated protein 2
Extracellular Space	2.2	225406_at	Hs.514685	TWSG1	twisted gastrulation homolog 1 (Drosophila)
Extracellular Space	2.2	213397_x_at		RNASE4	ribonuclease, RNase A family, 4
Extracellular Space	2.2	214247_s_at	Hs.292156	DKK3	dickkopf homolog 3 (Xenopus laevis)
Extracellular Space	2.1	1557116_at	Hs.257352	APOL6	apolipoprotein L, 6
Extracellular Space	2.1	224733_at	Hs.298198	CMTM3	CKLF-like MARVEL transmembrane domain containing 3
Extracellular Space	2.1	213624_at	Hs.486357	SMPDL3A	sphingomyelin phosphodiesterase, acid-like 3A
Plasma Membrane	967.4	202638_s_at	Hs.707983	ICAM1	intercellular adhesion molecule 1
Plasma Membrane	596.2	203632_s_at	Hs.148685	GPRC5B	G protein-coupled receptor, family C, group 5, member B
Plasma Membrane	405	222549_at	Hs.439060	CLDN1	claudin 1
Plasma Membrane	226.6	202637_s_at	Hs.707983	ICAM1	intercellular adhesion molecule 1
Plasma Membrane	120.4	201641_at	Hs.118110	BST2	bone marrow stromal cell antigen 2
Plasma Membrane	50.2	207536_s_at	Hs.654459	TNFRSF9	tumor necrosis factor receptor superfamily, member 9
Plasma Membrane	48.3	224579_at	Hs.709304	SLC38A1	solute carrier family 38, member 1
Plasma Membrane	46.5	225511_at	Hs.148685	GPRC5B	G protein-coupled receptor, family C, group 5, member B
Plasma Membrane	43	204440_at	Hs.654558	CD83	CD83 molecule
Plasma Membrane	26.4	201079_at	Hs.464210	SYNGR2	synaptogyrin 2
Plasma Membrane	22.9	213620_s_at	Hs.431460	ICAM2	intercellular adhesion molecule 2
Plasma Membrane	22.3	207528_s_at	Hs.390594	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
Plasma Membrane	20.9	205421_at	Hs.567337	SLC22A3	solute carrier family 22 (extraneuronal monoamine transporter), member 3
Plasma Membrane	18.9	231779_at	Hs.449207	IRAK2	interleukin-1 receptor-associated kinase 2
Plasma Membrane	16.1	217678_at	Hs.390594	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
