Symbol Gene	GenBank	(n = 157)	(n = 92)	FC	P value	Rank in PAM
ANPEP	NM_001150	0.46 (0.00–154)	0.39 (0.06–18.3)	20.84	ns	15
CYP4B1	NM_000779	6.59 (0.00–222)	5.72 (0.00–178)	21.12	ns	20
CYP4X1	NM_178033	2.34 (0.02–59)	3.78 (0.05–101)	1.62	ns	11
CYP4Z1	NM_171834	1.15 (0.01–140)	2.97 (0.01–254)	2.58	0.0134	4
CYP4Z2P	NR_002788	38.3 (0.00–1815)	66.4 (0.00–1069)	1.74	0.006	8
HMGCS2	NM_005518	0.29 (0.00–24.8)	0.60 (0.00–25.7)	2.09	0.0487	10
ID4	NM_001546	0.13 (0.00–9.10)	0.17 (0.02–9.57)	1.3	ns	28
LIMCH1	NM_014988	0.73 (0.05–6.59)	1.09 (0.08–8.58)	1.49	0.0007	19
LTF	NM_002343	0.08 (0.00–14.7)	0.14 (0.00–41.8)	1.74	0.0036	7
MAPT	NM_016835	3.03 (0.07–71.1)	4.52 (0.15–26.2)	1.49	0.0039	14
MSX2	NM_002449	2.26 (0.00–13.9)	3.69 (0.11–39.3)	1.63	0.0003	5
NR2F2	NM_021005	0.79 (0.06–10.8)	1.00 (0.11–7.27)	1.25	0.0415	24
NRIP3	NM_020645	1.55 (0.00–168)	2.69 (0.10–105)	1.73	0.025	16
NTN4	NM_021229	0.75 (0.03–5.47)	1.17 (0.04–10.2)	1.57	0.0002	12
PIK3R1	NM_181523	0.32 (0.06–1.38)	0.37 (0.08–1.30)	1.16	ns	27
REEP1	NM_022912	1.85 (0.00–12.1)	2.59 (0.19–21.8)	1.4	0.0053	6
SEC14L2	NM_012429	2.49 (0.00–24.0)	4.51 (0.16–39.1)	1.81	,0.0001	2
SLC4A4	NM_003759	0.29 (0.00–178)	0.42 (0.00–128)	1.43	ns	17
SLC40A1	NM_014585	0.88 (0.03–7.81)	1.22 (0.00–17.9)	1.38	0.0311	13
TCF7L2	NM_030756	0.26 (0.03–1.05)	0.32 (0.06–1.26)	1.21	0.0373	26
TFAP2B	NM_003221	1.28 (0.00–35.7)	5.53 (0.00–179)	4.31	0.0055	3
TMC5	NM_024780	4.79 (0.01–69.0)	5.77 (0.11–46.2)	1.2	0.0331	9
TNFRSF11B	NM_002546	1.25 (0.00–50.3)	1.90 (0.15–21.8)	1.52	0.0068	21
VANGL2	NM_020335	0.73 (0.03–4.64)	0.82 (0.07–9.09)	1.12	ns	23
VTCN1	NM_024626	0.61 (0.00–10.3)	0.64 (0.01–15.4)	1.05	ns	22
WNT5A	NM_003392	0.74 (0.03–12.4)	1.17 (0.18–7.27)	1.59	,0.0001	18
NKAIN1	NM_024522	81.1 (0.54–1648)	57.7 (0.71–560)	21.41	0.0471	1
TPD52	NM_005079	6.01 (1.30–115)	5.34 (1.75–80.9)	21.12	ns	25
TUSC3	NM_006765	0.68 (0.08–3.72)	0.63 (0.08–6.31)	21.09	ns	29
ERa	NM_000125	8.77 (1.27–68.9)	8.86 (1.59–39.8)	1.01	ns	2
MKI67	NM_002417	12.1 (0.86–57.2)	11.0 (1.79–313)	0.91	ns	2
