Gene Symbol	GoldenGate CpG ID	GG Cord Blood	GG Placenta	Infinium CpG ID	IM Cord Blood	IM Placenta
IGF1	cg17084217	0.004	0.004	cg01305421	0.005	0.007
	cg25163611	1.00E-04	0.031	cg14568338
IGF1R	cg19714640	0.097	0.038	cg22375192	0.011	0.021
	cg20742855	0.005	0.018	cg02166532	0.006	0.001
IGF2	cg10649864	0.007	0.077	cg02807948	0.049	4.00E-04
	cg17626526	0.04	0.026	cg13756879	4.00E-04	0.001
	cg17084217	0.011	3.00E-04	cg20339650	0.014	4.00E-04
				cg22956483	3.00E-04	0.001
				cg01305421	0.032	0.003
IGF2BP1		n/a	n/a	cg06638433	0.005	0.044
				cg13877465	0.019	8.30E-05
IGF2BP2		n/a	n/a	cg18234011	0.005	0.024
				cg24450631	0.005	0.006
IGF2BP3	cg00508334	3.50E-05	0.028	cg02860543	0.049	1.20E-05
	cg21413760	0.062	3.10E-07	cg19042950	1.20E-05	0.002
IGF2R	cg07148501	0.009	0.076	cg00230368	0.007	0.014
	cg12721534	0.014	0.063	cg14556618	8.40E-05	1.00E-04
IGFBP1	cg20666158	0.015	0.059	cg05660795	0.033	0.014
	cg23864854	0.048	0.028	cg27447599	0.021	0.018
IGFBP2	cg07828219	0.032	0.018	cg25854162	0.004	0.011
	cg17207942	0.035	0.001	cg26187237	6.70E-05	0.015
IGFBP3	cg12826145	0.023	0.012	cg04796162	0.014	0.036
	cg14625938	0.001	0.01	cg06713098	0.027	0.002
				cg08831744	0.001	0.003
				cg15898840	0.026	0.003
				cg22083798	0.029	0.042
IGFBP4	cg03940014	0.054	0.008	cg00512374	0.008	0.022
	cg22392383	0.018	0.042
IGFBP5	cg20419545	0.066	0.001	cg19008649	0.021	0.005
	cg24617085	0.067	0.017	cg22467567	0.001	0.006
IGFBP6	cg00122038	0.009	0.011	cg01773854	0.051	1.00E-04
	cg22732012	0.072	2.00E-04	cg08629913	0.024	0.003
IGFBP7	cg00431950	0.023	0.037	cg00884221	0.002	0.001
	cg16546204	0.026	0.014	cg03876618	3.30E-05	0.001
INS	cg13349859	0.001	0.02	cg00613255	0.001	0.005
	cg14426263	0.008	0.005	cg03366382	1.00E-04	0.044
				cg13993218	0.003	0.012
				cg25336198	0.005	0.008
INSR	cg05427477	0.002	0.084	cg01263716	n/a	n/a
	cg19110381	0.072	0.001	cg01505590
PHLDA2	cg03637064	0.019	0.163	cg04720330	4.00E-05	0.062
	cg18242686	0.024	0.006	cg11961618	0.039	0.014
				cg14415214	0.001	0.081
				cg21259253	4.00E-04	0.031
				cg26799802	3.00E-04	0.035
				cg00702231	0.019	0.031
				cg07077459	0.055	0.006
PLAGL1	cg10923987	0.002	0.052	cg08263357	3.80E-06	0.006
	cg12757684	0.067	0.062	cg12757684	0.001	0.013
				cg14161241	0.002	0.03
				cg17895149	0.001	0.009
				cg22378065	0.017	0.034
				cg25350411	0.002	0.001
				cg00613255	0.007	0.003
				cg03366382	0.01	0.001
IGF2/H19	cg25871270	0.001	0.065		n/a	n/a
	cg19731870	0.002	0.008
