Gene title	Gene symbol	Fold change	P-value	Genbank ID
IGF-like family member 1	IGFL1	0.21	0.0189	AA195677
Small proline-rich protein 1B (cornifin)	SPRR1B	0.26	0.0041	NM_003125
Small proline-rich protein 1B (cornifin)	SPRR1B	0.26	0.0041	NM_003125
Epsin 3	EPN3	0.26	0.0213	BC001038
S100 calcium binding protein A7A	S100A7A	0.26	0.0343	AJ243672
Interferon-induced protein with tetratricopeptide repeats 1	IFIT1	0.28	0.0101	NM_001548
LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	LFNG	0.32	0.0186	AW151924
CXXC finger 5	CXXC5	0.32	0.0177	BC002490
Chemokine (C-X-C motif) ligand 10	CXCL10	0.36	0.02	NM_001565
Heat shock protein 90?kDa alpha (cytosolic), class B member 1	HSP90AB1	0.37	0.0293	BG612458
