Probe Set ID	Gene Symbol	Gene Description	Mean UD	Mean CMC3w	Mean CMC7w	Mean FH	Mean AH	q-Value	Max FC
8009502	KCNJ2	potassium inwardly rectifying channel, subfamily J, member 2	38.2	69.9	73.1	893.3	530.3	0	12.8
7935930	KCNIP2	Kv channel interacting protein 2	63.4	138.7	61.1	126.5	666.7	0	10.9
8056303	KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7	26.5	238.4	91.7	62.2	23	0.0001	10.4
8045795	KCNJ3	potassium inwardly rectifying channel, subfamily J, member 3	49	218	510.4	121.8	67.2	0	7.6
8080511	CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	34.1	267.7	198.2	66.9	35.8	0.0001	7.5
7961702	KCNJ8	potassium inwardly rectifying channel, subfamily J, member 8	69.3	142.8	128.6	689.1	796	0	6.2
8111998	HCN1	Hyperpolarization-activated cyclic nucleotide-gated potassium channel 1	46.1	132.1	180.9	68.7	29.8	0	6.1
8086222	SCN5A	sodium channel, voltage-gated, type V, alpha subunit	69	101.5	474.4	498.3	504.4	0	5
8008409	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit	79.8	245.6	236.4	62.5	50.1	0	4.9
8083546	KCNAB1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	33.3	25	27.3	119.3	73.7	0	4.8
8140579	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1	214.5	172.6	380.1	608.6	692.4	0	4
7910792	RYR2	ryanodine receptor 2 (cardiac)	152.9	1,517.10	2,037.80	3,665.30	6,075.90	0	4
7918558	KCND3	potassium voltage-gated channel, Shal-related subfamily, member 3	32.1	45.6	45.9	71.2	139.3	0	3.1
7945146	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	54.5	267.5	323.7	199.7	106.3	0	3
8152369	KCNV1	potassium channel, subfamily V, member 1	49.5	135.4	70.2	46.4	47.4	0.0003	2.9
7990244	HCN4	hyperpolarization activated cyclic nucleotide-gated potassium channel 4	132.3	302.7	391.1	162.2	138.7	0	2.8
7952011	SCN2B	sodium channel, voltage-gated, type II, beta	40.2	55.5	77.8	152.4	136.8	0	2.7
7937823	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1	72	130.9	346.8	214.4	154.4	0	2.6
8056376	SCN3A	sodium channel, voltage-gated, type III, alpha subunit	19.3	27	28.3	20	52.7	0	2.6
7952004	SCN4B	sodium channel, voltage-gated, type IV, beta	65.4	54	78.3	102.4	132.8	0.0004	2.5
8048749	KCNE4	potassium voltage-gated channel, Isk-related family, member 4	36.1	200.2	154	82.8	82.7	0.0018	2.4
7897236	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	94.2	103.6	98.2	81.9	197.4	0	2.4
8067029	KCNG1	potassium voltage-gated channel, subfamily G, member 1	216.9	98.4	90.4	53.5	40.8	0.0001	2.4
7926506	CACNB2	calcium channel, voltage-dependent, beta 2 subunit	72.4	553.6	630.4	1,329.60	909.9	0	2.4
7953278	KCNA5	potassium voltage-gated channel, shaker-related subfamily, member 5	51.5	123.3	182	140.8	76.9	0.0001	2.4
7947270	KCNA4	potassium voltage-gated channel, shaker-related subfamily, member 4	53.2	68	107.8	155.5	102.7	0	2.3
7992147	CACNA1H	calcium channel, voltage-dependent, T type, alpha 1H subunit	126.7	183.5	131.2	86.1	83.8	0	2.2
8027719	SCN1B	sodium channel, voltage-gated, type I, beta	59	58.1	95.2	65.4	123.3	0	2.1
8135705	KCND2	potassium voltage-gated channel, Shal-related subfamily, member 2	154.1	33.5	30.3	18.1	15.8	0.0001	2.1
7910611	KCNK1	potassium channel, subfamily K, member 1	185	117.4	133.9	103.7	214.8	0.0001	2.1
8056457	SCN1A	sodium channel, voltage-gated, type I, alpha subunit	18.1	16.1	15.5	12.7	24.8	0.0001	2
8014794	CACNB1	calcium channel, voltage-dependent, beta 1 subunit	113.8	168.7	180.2	121.9	92.5	0	1.9
