# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_001040668.1|NM_001040668	hgnc_symbol|BCL2L12|BCL2L12
refseq_dna|NM_005018.1|NM_005018	hgnc_symbol|PDCD1|PDCD1
refseq_dna|NM_018245.1|NM_018245	hgnc_symbol|OGDHL|OGDHL
refseq_dna|NM_017736.3|NM_017736	hgnc_symbol|THUMPD1|THUMPD1
refseq_dna|NM_016248.2|NM_016248	hgnc_symbol|AKAP4|AKAP4
refseq_dna|NM_012461|NM_012461	hgnc_symbol|TINF2|TINF2
refseq_dna|NM_003377|NM_003377	hgnc_symbol|VEGFB|VEGFB
refseq_dna|NM_133445.1|NM_133445	hgnc_symbol|GRIN3A|GRIN3A
refseq_dna|XM_498333.2|XM_498333	hgnc_symbol|Q8N9G6|Q8N9G6
refseq_dna|NM_001976.2|NM_001976	hgnc_symbol|ENO3|ENO3
refseq_dna|NM_024871.1|NM_024871	hgnc_symbol|MAP6D1|MAP6D1
refseq_dna|NM_000640.2|NM_000640	hgnc_symbol|IL13RA2|IL13RA2
refseq_dna|NM_004140.3|NM_004140	hgnc_symbol|LLGL1|LLGL1
refseq_dna|NM_014748.2|NM_014748	hgnc_symbol|SNX17|SNX17
refseq_dna|NM_007345.2|NM_007345	hgnc_symbol|ZNF236|ZNF236
refseq_dna|NM_014838.1|NM_014838	hgnc_symbol|ZBED4|ZBED4
refseq_dna|NM_004627.2|NM_004627	hgnc_symbol|WRB|WRB
refseq_dna|NM_005692.3|NM_005692	hgnc_symbol|ABHD2|ABHD2
refseq_dna|NM_014109.2|NM_014109	hgnc_symbol|ATAD2|ATAD2
refseq_dna|NM_002815.2|NM_002815	hgnc_symbol|PSMD11|PSMD11
refseq_dna|NM_002810.2|NM_002810	hgnc_symbol|PSMD4|PSMD4
refseq_dna|NM_033025.4|NM_033025	hgnc_symbol|SYDE1|SYDE1
refseq_dna|NM_033388.1|NM_033388	hgnc_symbol|ATG16L2|ATG16L2
refseq_dna|NM_001557.2|NM_001557	hgnc_symbol|IL8RB|IL8RB
refseq_dna|NM_000963|NM_000963	hgnc_symbol|PTGS2|PTGS2
refseq_dna|NM_145249|NM_145249	hgnc_symbol|FAM14B|FAM14B
refseq_dna|NM_016817|NM_016817	hgnc_symbol|OAS2|OAS2
refseq_dna|NM_177986.2|NM_177986	hgnc_symbol|DSG4|DSG4
refseq_dna|NM_001010893.2|NM_001010893	hgnc_symbol|SLC10A5|SLC10A5
refseq_dna|NM_014296.2|NM_014296	hgnc_symbol|CAPN7|CAPN7
refseq_dna|NM_175617.3|NM_175617	hgnc_symbol|MT1E|MT1E
refseq_dna|NM_206918.1|NM_206918	hgnc_symbol|DEGS2|DEGS2
refseq_dna|NM_001277.2|NM_001277	hgnc_symbol|CHKA|CHKA
refseq_dna|NM_030924.3|NM_030924	hgnc_symbol|ADA|ADA
refseq_dna|NM_000191.2|NM_000191	hgnc_symbol|HMGCL|HMGCL
refseq_dna|NM_002130.4|NM_002130	hgnc_symbol|HMGCS1|HMGCS1
refseq_dna|NM_031286.3|NM_031286	hgnc_symbol|SH3BGRL3|SH3BGRL3
refseq_dna|NM_001173.2|NM_001173	hgnc_symbol|ARHGAP5|ARHGAP5
refseq_dna|NM_001824.2|NM_001824	hgnc_symbol|CKM|CKM
refseq_dna|NM_001031847.1|NM_001031847	hgnc_symbol|CPT1A|CPT1A
refseq_dna|NM_019050.1|NM_019050	hgnc_symbol|USP53|USP53
refseq_dna|NM_004733.2|NM_004733	hgnc_symbol|SLC33A1|SLC33A1
refseq_dna|NM_024411.2|NM_024411	hgnc_symbol|PDYN|PDYN
refseq_dna|NM_016533.4|NM_016533	hgnc_symbol|NINJ2|NINJ2
refseq_dna|NM_001037533.1|NM_001037533	hgnc_symbol|GON4L|GON4L
refseq_dna|NM_001048183.1|NM_001048183	hgnc_symbol|PHACTR4|PHACTR4
