probe set	Gene		Accession	EntrezGene	CEF NY315/CEF RCAS	CEF SRA/CEF RCAS	CEF SRA/CEF NY315	CEF NY72-4 P/CEF NY72-4 NP	min p-value RCAS vs NY315 vs SRA
Gga.817.1.S1_at	PLAU	plasminogen activator, urokinase	NM_205443.1	396424	1.07	5.49	4.42	3.29	0.000178
Gga.5778.1.S1_a_at	LOC769246	hypothetical protein LOC769246	CR406934.1	0	0.39	5.48	5.09	2.15	0.000032
GgaAffx.23623.1.S1_at	AHNAK2	AHNAK nucleoprotein 2	ENSGALT00000019051.1	423497	-0.36	5.29	5.65	2.65	0.00007
Gga.666.1.S1_a_at	VIP	vasoactive intestinal peptide	NM_205366.1	396323	-0.01	5.27	5.27	3.06	0.000007
Gga.10658.1.S1_at		Finished cDNA, clone ChEST1007e10	BU321027	423497	0.85	5.09	4.24	2.21	0.000036
GgaAffx.23623.1.S1_s_at	AHNAK2	AHNAK nucleoprotein 2	ENSGALT00000019051.1	423497	0.76	5.01	4.25	2.32	0.000021
GgaAffx.23623.2.S1_at	AHNAK2	AHNAK nucleoprotein 2	ENSGALT00000019050.1	423497	0.61	4.62	4.01	2.13	0.000065
Gga.11969.1.S1_at	CYTL1	cytokine-like 1	BU111245	422849	2.18	4.33	2.14	-1.4	0.000902
Gga.11456.1.S1_at	LOC418268	similar to PLCPI=cysteine proteinase inhibitor	CK611983	418268	0.05	4.18	4.13	1.09	0.000127
Gga.150.2.S2_at	FLT1	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	AJ539547.1	374100	-1.39	3.98	5.36	3.72	0.000425
Gga.826.1.S1_s_at	IL8	interleukin 8	M16199.1	396495	1.26	3.82	2.56	2.89	0.00063
Gga.10763.1.S1_at	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	NM_213572.1	404747	0.43	3.75	3.32	2.22	0.000009
Gga.12407.1.S1_at	LOC422654	similar to K60 protein	CR386350.1	422654	1.46	3.74	2.28	1.55	0.000996
Gga.15105.1.S1_at	AHNAK2	AHNAK nucleoprotein 2	BU451588	423497	0.12	3.71	3.59	2.11	0.000952
Gga.14925.1.S1_at	RCJMB04_3o8	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	CR386440.1	418692	0.85	3.58	2.73	1.99	0.000228
Gga.2680.1.S1_at	AQP1	aquaporin 1	AL586137	420384	0.46	3.55	3.09	2.13	0.000337
Gga.8277.1.S1_at			BX259588	0	1.51	3.3	1.79	1.08	0.000011
GgaAffx.20689.1.S1_at	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	CR523926.1	395879	1.22	3.27	2.05	2.51	0.001735
Gga.7757.1.S1_at	UNC50	Unc-50 homolog (C. elegans)	CR387872.1	418691	0.22	3.07	2.86	1.49	0.002505
GgaAffx.8298.1.S1_at	UPP1	uridine phosphorylase 1	ENSGALT00000021347.1	420942	0.62	2.91	2.29	2.39	0.002217
Gga.12642.1.S1_at	LOC424434	hypothetical LOC424434	BU464416	424434	1.45	2.75	1.29	1.6	0.00286
Gga.19077.1.S1_at		Finished cDNA, clone ChEST290n11	BU418916	0	1.36	2.75	1.39	1.33	0.000953
GgaAffx.9262.1.S1_at	MT3	metallothionein 3	ENSGALT00000023565.1	0	0.07	2.6	2.53	1.86	0.000731
GgaAffx.10732.1.S1_at	RCJMB04_3o8	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	ENSGALT00000027052.1	418692	0.45	2.43	1.99	1.12	0.000038
Gga.150.2.S1_a_at	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	AB065373.1	374100	-0.34	2.41	2.75	2.15	0.006124
Gga.16627.1.S1_at	LOC419930	hypothetical LOC419930	CN236982	419930	0.19	2.38	2.19	1.33	0.008889
GgaAffx.21279.1.S1_at	UPP1	uridine phosphorylase 1	CR523336.1	420942	0.63	2.33	1.7	2.06	0.004295
GgaAffx.8765.3.S1_s_at	LOC426962	hypothetical LOC426962	ENSGALT00000004373.1	425078 /// 426962	0.33	2.24	1.91	1.75	0.000045
Gga.1582.1.A1_at		Transcribed locus	CF250932	0	1.1	2.17	1.06	1.01	0.000141
Gga.16070.1.S1_s_at	LOC422580	hypothetical LOC422580	BU323883	0	0.04	2.17	2.14	1.18	0.000127
GgaAffx.24312.1.S1_at	LOC421692	similar to phosphodiesterase 7B	ENSGALT00000022595.1	421692	0.44	2.13	1.68	1.71	0.000859
Gga.18968.1.S1_at		Finished cDNA, clone ChEST661b11	BU474814	0	0.79	2.09	1.3	1.47	0.001151
Gga.1111.1.S1_a_at	USP18	ubiquitin specific peptidase 18	CR389337.1	418167	0.31	2.09	1.78	1.12	0.000278
GgaAffx.8765.2.S1_at			ENSGALT00000022352.1	416372	0.53	2.04	1.52	1.65	0.000068
Gga.11449.1.S1_at	LOC419995	Similar to myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	BX929825.1	0	1.15	2.01	0.86	1.15	0.000284
GgaAffx.22457.1.S1_s_at	ACSL4	acyl-CoA synthetase long-chain family member 4	ENSGALT00000013127.1	422345	-0.04	2	2.04	1.12	0.000058
Gga.16285.1.S1_at		Finished cDNA, clone ChEST140e21	BU337922	0	0.23	1.98	1.76	1.46	0.002582
Gga.12209.2.S1_a_at	LOC422672	similar to VLLH2748	BX929915.1	422672	0.33	1.98	1.64	1.01	0.000207
Gga.2039.1.S1_at	HMOX1	heme oxygenase (decycling) 1	NM_205344.1	396287	0.79	1.95	1.16	1.22	0.000361
Gga.8114.1.S1_at		Finished cDNA, clone ChEST481h16	BU383914	0	-0.1	1.94	2.03	2.94	0.030111
Gga.10606.1.S1_at	SOCS1	suppressor of cytokine signaling 1	BU313956	416630	0.94	1.91	0.97	1.77	0.003244
GgaAffx.23371.1.S1_at	LOC422580	hypothetical LOC422580	ENSGALT00000017703.1	422580	0.04	1.87	1.84	1.03	0.003829
GgaAffx.25281.1.S1_at	LOC768624	similar to Ttc9 protein	ENSGALT00000028355.1	0	-0.44	1.81	2.25	1.16	0.000046
Gga.19244.1.S1_at	VPS13B	vacuolar protein sorting 13 homolog B (yeast)	BU362262	420242	0.38	1.77	1.39	1.7	0.000623
Gga.2967.1.S2_at	ITGA6	integrin, alpha 6	BU139443	396226	-0.74	1.76	2.5	1.69	0.000417
Gga.14579.1.S1_at	CUBN	cubilin (intrinsic factor-cobalamin receptor)	BU294131	420523	0.58	1.75	1.17	1.14	0.001895
Gga.14725.1.S1_at	RCJMB04_19h3	betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	BU352300	421092	0.01	1.73	1.72	1	0.00791
Gga.19230.1.S1_s_at	EAF2	ELL associated factor 2	CR406825.1	424243	0.03	1.72	1.69	1.51	0.000113
Gga.1694.1.S1_at	LOC768624	similar to Ttc9 protein	BU445157	0	-0.11	1.71	1.82	1.07	0.000026
Gga.2967.1.S1_at	ITGA6	integrin, alpha 6	NM_205289.1	396226	-1.17	1.68	2.84	1.71	0.005954
