Probe Set ID	Gene Title
Gga.10022.1.S1_at	Phosphatidylcholine transfer protein
Gga.10040.1.S1_at	Transcribed locus, moderately similar to NP_037286.1 CCAAT/enhancer binding protein (C/EBP), delta [Rattus norvegicus]
Gga.10744.1.S1_at	Solute carrier family 5 (sodium/glucose cotransporter), member 9
Gga.11552.1.S1_at	Transcribed locus
Gga.12079.2.S1_a_at	Phosphatidic acid phosphatase type 2
Gga.12275.3.S1_a_at	DPCD protein
Gga.12307.1.S1_at	Sorbin and SH3 domain containing 2
Gga.12998.1.S1_at	Similar to carbonic anhydrase III
Gga.13015.1.S1_at	Finished cDNA, clone ChEST491l4
Gga.13183.1.S1_at	Ankyrin 2, neuronal
Gga.13254.1.S1_at	Finished cDNA, clone ChEST361a6
Gga.14721.1.S1_at	Finished cDNA, clone ChEST125o17
Gga.15074.1.S1_at	Hypothetical protein LOC771075
Gga.15702.1.S1_at	Transcribed locus
Gga.15918.1.S1_at	Protein phosphatase 1, regulatory (inhibitor) subunit 14C
Gga.16349.1.S1_s_at	Similar to hypothetical protein FLJ39743
Gga.16722.1.S1_at	SLIT-ROBO Rho GTPase activating protein 1
Gga.17112.1.S1_at	Finished cDNA, clone ChEST1024n21
Gga.18504.1.S1_at	Parvin, alpha
Gga.19150.1.S1_s_at	Similar to CDNA sequence BC043118 /// similar to similar to CDNA sequence BC043118
Gga.2516.1.S1_at	Protein tyrosine phosphatase, receptor type, G
Gga.256.1.S2_at	Tumor protein D52-like 1
Gga.3066.1.S1_at	HCLS1 binding protein 3
Gga.3074.1.S1_a_at	Galectin CG-16
Gga.3154.1.S1_at	Ras homolog gene family, member Q
Gga.3674.1.S1_at	Serine threonine kinase 39 (STE20/SPS1 homolog, yeast)
Gga.4105.2.S1_a_at	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2
Gga.4207.1.S1_at	Reticulocalbin 1, EF-hand calcium binding domain
Gga.4613.1.S1_a_at	Amyloid beta (A4) precursor protein
Gga.4853.1.S1_at	Similar to MGC52838 protein
Gga.6034.1.S1_at	NIMA (never in mitosis gene a)-related kinase 6
Gga.7264.1.S1_at	STEAP family member 3
Gga.7397.1.S1_at	Purkinje cell protein 4
Gga.787.2.S1_a_at	Cofilin 2 (muscle)
Gga.8095.1.S1_at	---
Gga.8342.1.S1_at	Similar to similar to CDNA sequence BC043118
Gga.8913.1.S1_s_at	Glucosamine-6-phosphate deaminase 1
GgaAffx.10124.2.S1_s_at	Receptor-interacting serine-threonine kinase 2
GgaAffx.12082.1.S1_at	Arrestin domain containing 1
GgaAffx.20465.1.S1_at	Finished cDNA, clone ChEST765p22
GgaAffx.20831.1.S1_at	Myotubularin related protein 7
GgaAffx.22781.1.S1_at	SEC14 and spectrin domains 1
GgaAffx.23632.1.S1_at	Protein disulfide isomerase family A, member 5
GgaAffx.24239.1.S1_s_at	T-cell lymphoma invasion and metastasis 2
GgaAffx.2929.2.S1_s_at	Asporin
GgaAffx.3691.1.S1_at	---
GgaAffx.6061.1.S1_at	Usher syndrome 2A (autosomal recessive, mild)
GgaAffx.6955.1.S1_s_at	Membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)
