Probeset	Gene Name	GeneBank	Apo	Gly	OxP	All
201848 s at	BNIP3	U15174	100	—	—	100
201849 at	BNIP3	NM_004052	83	—	—	100
210512 s at	VEGF	AF022375	78	—	—	100
211527 x at	VEGF	M27281	61	—	—	—
212171 x at	VEGF	H95344	61	—	—	—
219232 s at	EGLN3	NM_022073	61	—	—	—
210513 s at	VEGF	AF091352	56	—	—	—
221478 at	BNIP3L	AL132665	56	—	—	—
221479 s at	BNIP3L	AF060922	56	—	—	—
222847 s at	EGLN3	AI378406	56	—	—	—
202022 at	ALDOC	NM_005165	—	100	—	100
1558365 at	PGK1	AK055928	—	72	—	—
228483 s at	PGK1	BE856250	—	72	—	—
208972 s at	ATP5G1	AF100741	—	—	100	—
222270 at	SMEK2	BF509069	—	—	100	—
1554847 at	ATP6V1B1	AY039759	—	—	94	—
218201 at	NDUFB2	NM_004546	—	—	94	—
203189 s at	NDUFS8	NM_005006	—	—	89	—
203371 s at	NDUFB3	NM_002496	—	—	89	—
218200 s at	NDUFB2	NM_013387	—	—	89	—
203606 at	NDUFS6	NM_002494	—	—	83	—
204125 at	NDUFAF1	NM_001687	—	—	83	—
214241 at	NDUFB8	BE043477	—	—	78	—
230598 at	KIAA1387	AI742966	—	—	78	—
203190 at	NDUFS8	NM_002496	—	—	72	—
207335 x at	ATP5I	NM_006294	—	—	72	—
208745 at	ATP5L	AF092131	—	—	72	—
203039 s at	NDUFS1	NM_021074	—	—	67	—
203613 s at	NDUFB6	NM_004553	—	—	67	—
208746 x at	ATP5L	AA917672		—	67	—
210453 x at	ATP5L	U33833	—	—	67	—
211752 s at	NDUFS7	AL050277	—	—	67	—
228816 at	ATP6AP1L	AU153583	—	—	67	—
207573 x at	ATP5L	NM_005176	—	—	61	—
226616 s at	NDUFV3	AW241758	—	—	61	—
200096 s at	ATP6V0E	BC005876	—	—	56	—
214923 at	ATP6V1D	AV717561	—	—	56	—
226209 at	NDUFV3	BC006215	—	—	56	—
200078 s at	ATP6V0B	BC035703	—	—	50	—
210206 s at	DDX11	AF061735	—	—	50	—
213378 s at	DDX11	AV711183	—	—	50	—
214244 s at	ATP6V0E	AA723057	—	—	50	—
218190 s at	UCRC	NM_004549	—	—	50	—
241755 at	UQCRC2	BE467348	—	—	50	—
243498 at	ATP5J	BG010493	—	—	50	—
202887 s at	DDIT4	NM_019058	—	—	—	94
223193 x at	E2IG5	AF201944	—	—	—	94
224345 x at	E2IG5	AF107495	—	—	—	89
225342 at	AK3L1	AK026966	—	—	—	78
226452 at	PDK1	AU146532	—	—	—	78
236180 at	—	W57613	—	—	—	61
235850 at	WDR5B	BF434228	—	—	—	50
