Name	GenBank Accession No.	UniGene Cluster ID	Function	Fold Change
Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	W45518	Hs.79410	Anion exchanger	0.08
Fas-activated serine/threonine kinase	W72310	Mm.28123	Apoptosis/cell cycle	0.021
GRIM-19	W44860	Hs.279574	Apoptosis/cell cycle	0.025
Amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	W42849	Hs.177486	Apoptosis, Copper ion homeostasis, endocytosis, cell adhesion (signal transduction)	0.051
RNA binding motif protein 5	W73892	Hs.201675	Cell cycle (RNA processing)	0.028
M-phase phosphoprotein 9	W70051	Hs.351230	Cell cycle	0.031
Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	W37864	Hs.10712	Cell cycle	0.056
GRO1 oncogene (melanoma growth stimulating activity, alpha)	W46900	Hs.789	Cell cycle	0.11
Highly expressed in cancer, rich in leucine heptad repeats	W72679	Hs.58169	Cell cycle	0.12
Parathyroid hormone	W37306	Hs.37045	Cell-cell signaling, Ca regulation, apoptosis	0.035
Keratin 13	W60057	Hs.74070	Cytoskeleton/morphology	0.015
Epidermal growth factor receptor	W48713	Hs.77432	Differentiation/morphology/cell cycle	0.018
Wingless-type MMTV integration site family, member 5A	W49672	Hs.152213	Differentiation/morphology (cell-cell signaling)	0.04
Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	W44685	Hs.423809	Differentiation/morphology/cytoskeleton/cell cycle	0.11
IQ motif containing GTPase activating protein 2	W32272	Hs.78993	Differentiation/cytoskeleton (signal transduction)	0.14
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	W56300	Hs.81328	Differentiation/morphology/cell cycle, apoptosis, immune response (transcription factor)	0.16
Aconitase 2, mitochondrial	W44454	Hs.300463	Energy pathway (TCA cycle)	0.13
Hydroxysteroid (11-beta) dehydrogenase 2	W95082	Hs.1376	Metabolism	0.019
Cytochrome P-450, subfamily IVA, polypeptide 11	W84868	Hs.1645	Metabolism (energy generation)	0.027
Membrane fatty acid (lipid) desaturase	W49667	Hs.185973	Metabolism (lipid)	0.043
Mitochondrial 60S ribosomal protein L49	W48701	Hs.75859	Mitochondrial protein biosynthesis	0.12
Chromogranin B (secretogranin 1)	W37769	Hs.2281	Neuroendocrine secretory granule	0.095
Protease inhibitor 8 (ovalbumin type)	W61361	Hs.41726	Protease inhibitor; ECM regulation	0.022
Ribosomal protein L31	W15277	Hs.184014	Protein biosynthesis	0.015
Heat shock 27-kDa protein 2	W51795	Hs.78846	Protein chaperone, apoptosis/cell cycle	0.071
Ceroid-lipofuscinosis, neuronal 3, juvenile (Batten disease, Vogt-Spielmeyer disease)	W37753	Hs.194660	Protein processing (mitochondrial membrane protein)	0.027
Phenylalanine-tRNA synthetase-like	W96450	Hs.23111	RNA processing	0.012
Heterogeneous nuclear ribonucleoprotein H1 (H)	W96058	Hs.245710	RNA processing	0.034
Dual specificity phosphatase 5	W65461	Hs.2128	Signal transduction	0.078
Protein phosphatase 2, regulatory subunit B (B56), gamma isoform	W35378	Hs.171734	Signal transduction	0.12
RAB6, member RAS oncogene family	W44889	Hs.5636	Vesicle transport	0.088
