Ranking Position	Agilent ID	Gene	Description	Access Number
1	A_23_P213424	ENC1	Ectodermal neural cortex 1 (with BTB-like domain)	NM_003633
2	A_23_P24515	ACAT1	Acetyl -coenzyme A acetyltransferase 1	NM_000019
3	A_23_P24716	TMEM132A	Transmembrane protein A	NM_017870
4	A_23_P40309	SNRPB2	Small nuclear ribonucleoprotein polypeptide B	NM_003092
5	A_23_P13663	FAM60A	Family with sequence similarity 60, member A	NM_021238
6	A_23_P142872	TCF7L1	Transcription factor 7-like 1	NM_031283
7	A_23_P47843	DDX55	DEAD(Asp-Glu-Ala-Asp) box polypeptide 55	NM_020936
8	A_23_P114282	MCTS1	Malignant T cell amplified sequence 1	NM_014060
9	A_23_P103149	ACO2	Aconitase 2	NM_001098
10	A_23_P207999	PMAIP1	Phorbol-12-mystirate-13-acetate-induced protein 1	NM_021127
11	A_23_P63584	AHCTF1	AT hook containing transcription factor	NM_015446
12	A_23_P22086	LOC649828	Similar to adenosylhomocysteinase hidrolase (S-adenosyl-L-homocysteine)	NW_927818
13	A_23_P88522	NMB	Neuromedin B	NM_021077
14	A_23_P256413	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	NM_138410
15	A_23_P153615	MADCAM1	Mucosal vascular addressin cell adhesion molecule 1	NM_130760
16	A_23_P112412	TEX10	Testis expressed 10	NM_017746
17	A_23_P209070	LG14	Leucine rich repeat LGI family	BC087848
18	A_23_P123343	NUDCD1	NudC domain containing 1	NM_032869
19	A_23_P163179	CALM1	Calmodulin 1 (phosphorilase kinase, delta)	NM_006888
20	A_23_P253412	MRLP50	Mitochondrial ribosomal protein L50	NM_019051
21	A_23_P34018	RPL39	Ribosomal protein L30	NM_001000
22	A_23_P70827	KIAA1549	Unknown function	AL136736
23	A_23_P113634	CBFB	Core-binding factor beta, subunit of dimeric polyomavirus enhancer binding transcription factor	NM_001755
24	A_23_P30464	PRR7	Proline rich 7 (Synaptic)	NM_030567
25	A_23_P37375	RPS6KA5	Ribosomal protein S6 kinase A5	NM_004755
26	A_23_P48771	C14orf159	Chromosome 14 open reading frame 159	NM_024952
27	A_23_127175	SAR1A	SAR gene homolog A	NM_020150
28	A_23_P141180	TOM1L2	Target of myb-like 2	AK055959
29	A_23_P69399	MST1	Macrophage stimulating 1 protein	NM_020998
30	A_23_131846	SNAI1	Snail 1 homolog	NM_005985
31	A_23_P121657	HS3ST1	Heparan sulphate D-glucodaminyl 3-O-sulfotransferase	NM_005114
32	A_23_P33027	MLXIP	MLX interacting protein	NM_014938
33	A_23_123343	NUDCD1	NudC domain containing 1	NM_032869
34	A_23_P108676	TMEM166	Transmembrane protein 166	NM_032181
35	A_23_103201	PNRC2	Proline rich nuclear transcription co-activator 2	NM_017761
36	A_23_P51269	CD641036	Protein with high similarity to BTF3	CD641036
37	A_23_P123330	RPL30	Ribosomal protein L30	NM_000989
38	A_23_P252118	POLB	DNA polymerase beta	NM_002690
39	A_23_P215517	KLHL7	Kelch-like 7	BC00955
40	A_23_P145194	BYSL	Bystin-like protein	NM_004053
41	A_23_P134274	POP7	Processing of precursor 7, ribonuclease protein subunit	NM_005837
42	A_23_P70915	ORAI2	ORAI calcium release-activated calcium modulator 2	NM_032831
43	A_23_P156890	TCF21	Transcription factor 21	NM_003206
44	A_23_P51906	PFDN2	Prefoldin subunit 2	NM_012394
45	A_23_P114232	PRDX4	Peroxiredoxin 4	NM_006406
46	A_23_P215525	OSBPL3	Oxysterol binding protein like 3	NM_015550
47	A_23_P27867	PLAUR	Plasminogen activator, urokinase receptor	NM_002659
48	A_23_P157405	CHCHD2	Coiled-coil-helix-coiled domain containing 2	NM_016139
49	A_23_P118102	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	NM_004548
50	A_23_P78423	ATP5A1	ATP synthase H + transporting mitochondrial F1	NM_001001937
