Affy ID	symbol	Description	Genbank	Unigene	locus	P-VALUE	LOG RATIO relapse vs. non relapse
7945680	H19	H19, imprinted maternally expressed transcript	NR_002196	Hs.533566	11p15.5	2.94E-05	-2.33443487
8124437	HIST1H3F	histone cluster 1, H3f	NM_021018	Hs.247814	6p22.1	3.03E-05	0.928761494
8077914	TSEN2	tRNA splicing endonuclease 2 homolog (S. cerevisiae)	NM_025265	Hs.335550	3p25.1	3.06E-05	-0.377547492
7919659	SF3B4	splicing factor 3b, subunit 4, 49kDa	NM_005850	Hs.516160	1q12-q21	3.27E-05	0.413169293
8027701	GRAMD1A	GRAM domain containing 1A	NM_020895	Hs.515351	19q13.11	0.000367956	0.40000123
7905789	IL6R	interleukin 6 receptor	NM_000565	Hs.695954	1q21	0.000440992	0.372004412
7914216	SNORA16A	small nucleolar RNA, H/ACA box 16A	NR_003035	Hs.632377	1p35.3	0.000446846	1.298536465
7896929	VWA1	von Willebrand factor A domain containing 1	NM_022834	Hs.449009	1p36.33	0.00045906	0.40890824
7941976	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	NM_002496	Hs.90443	11q13	0.000494495	0.297311387
7914214	SNORA44	small nucleolar RNA, H/ACA box 44	NR_002976	Hs.632377	1p35.3	0.000500307	0.457375462
7901048	SNORD46	small nucleolar RNA, C/D box 46	NR_000024	NA	1p34.1-p32	0.000531565	0.574973616
8003332	MVD	mevalonate (diphospho) decarboxylase	NM_002461	Hs.252457	16q24.3	0.000552452	0.329544997
7942594	SNORD15B	small nucleolar RNA, C/D box 15B	NR_000025	Hs.689080	11q13.3-q13.5	0.000553276	0.905966299
7921786	PFDN2	prefoldin subunit 2	NM_012394	Hs.492516	1q23.3	0.000607232	0.367569123
8162455	NINJ1	ninjurin 1	NM_004148	Hs.494457	9q22	0.000668019	0.395404287
8085608	HACL1	2-hydroxyacyl-CoA lyase 1	NM_012260	Hs.63290	3p24.3	0.000675717	-0.488146792
7952339	LOC85389	RNA, small nucleolar	NR_001453	Hs.702021	11q23.3-q25	0.000702052	1.263392663
8142795	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	NM_000883	Hs.654401	7q31.3-q32	0.000829363	0.253755228
8023220	SMAD7	SMAD family member 7	NM_005904	Hs.465087	18q21.1	0.00086201	0.501017626
8046542	HOXD9	homeobox D9	NM_014213	Hs.236646	2q31.1	0.000871263	0.324888601
7991837	NME4	non-metastatic cells 4, protein expressed in	NM_005009	Hs.9235	16p13.3	0.000953728	0.264748913
7920707	C1orf2	chromosome 1 open reading frame 2	NM_006589	c(Hs.282997, Hs.348308)	1q21	0.000963514	0.321152012
7899096	ZNF593	zinc finger protein 593	NM_015871	Hs.477273	1p36.11	0.000976663	0.269065034
8023392	SNORA37	small nucleolar RNA, H/ACA box 37	NR_002970	Hs.655869	18q21.2	0.001104075	0.667470372
7974566	C14orf108	chromosome 14 open reading frame 108	BC013174	Hs.648385	14q23.1	0.00113186	-0.675725099
8028778	MAP3K10	mitogen-activated protein kinase kinase kinase 10	NM_002446	Hs.466743	19q13.2	0.001232631	0.345787408
8156309	GADD45G	growth arrest and DNA-damage-inducible, gamma	NM_006705	Hs.9701	9q22.1-q22.2	0.001279415	0.240713019
8175169	RAP2C	RAP2C, member of RAS oncogene family	NM_021183	Hs.119889	Xq25	0.001330703	0.334993179
8175977	IRAK1	interleukin-1 receptor-associated kinase 1	NM_001569	Hs.522819	Xq28	0.001370502	0.384300542
7993713	IQCK	IQ motif containing K	NM_153208	Hs.460217	16p12.3	0.001405843	-0.408617978
8066258	SNORA71A	small nucleolar RNA, H/ACA box 71A	NR_002911	Hs.681779	20q11.23	0.001425555	0.9403989
8086330	AXUD1	AXIN1 up-regulated 1	NM_033027	Hs.370950	3p22	0.001482312	0.466238712
8074003	TRABD	TraB domain containing	NM_025204	Hs.592213	22q13.33	0.001557696	0.279326916
7915775	IPP	intracisternal A particle-promoted polypeptide	NM_005897	Hs.699548	1p34-p32	0.001629963	-0.570220145
7977241	INF2	inverted formin, FH2 and WH2 domain containing	NM_022489	Hs.24956	14q32.33	0.001642576	0.473181936
8018823	TMC6	transmembrane channel-like 6	NM_007267	Hs.632227	17q25.3	0.001660012	0.454822889
8116591	FOXC1	forkhead box C1	NM_001453	c(Hs.348883, Hs.599993)	6p25	0.001701605	0.316965319
7919614	HIST2H3C	histone cluster 2, H3c	NM_021059	c(Hs.647745, Hs.706618)	1q21.2	0.001756101	0.495486337
7926037	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	NM_004566	Hs.195471	10p14-p15	0.001801852	0.975827964
8028112	LRFN3	leucine rich repeat and fibronectin type III domain containing 3	NM_024509	Hs.143792	19q13.12	0.001924046	0.414189909
8155898	PCSK5	proprotein convertase subtilisin/kexin type 5	NM_006200	Hs.368542	9q21.3	0.001949196	-0.649337126
8020220	TUBB6	tubulin, beta 6	NM_032525	Hs.193491	18p11.21	0.00195533	0.353265641
8121031	SLC35A1	solute carrier family 35 (CMP-sialic acid transporter), member A1	NM_006416	Hs.423163	6q15	0.002022684	-0.843571278
8161024	RMRP	RNA component of mitochondrial RNA processing endoribonuclease	NR_003051	NA	9p21-p12	0.00203785	0.774578222
