Probesets	Symbol	Gene accession number	Fc ES vs. CD31+	Fc D8 vs. CD31+	Fc ES vs. D8
1415835_at	Csh2	NM_008865	11.157	3.675	3.036
1415886_at	Sh2d3c	NM_013781	5.034	2.291	2.197
1415999_at	Hey1	NM_010423	6.914	2.668	2.591
1416072_at	Cd34	NM_001111059	30.901	4.364	7.08
1416206_at	Sipa1	NM_011379	6.299	2.833	2.223
1416238_at	Tie1	NM_011587	76.664	4.989	15.368
1416250_at	Btg2	NM_007570	4.884	2.622	1.863
1416296_at	Il2rg	NM_013563	12.659	3.834	3.301
1416564_at	Sox7	NM_011446	23.246	5.572	4.172
1416811_s_at	Ctla2a;Ctla2b	NM_007796	245.783	4.611	53.303
1416992_at	Mfng	NM_008595	6.305	4.224	1.493
1416996_at	Tbc1d8	NM_018775	2.514	2.106	1.194
1417123_at	Vav3	NM_020505	7.009	4.181	1.676
1417271_a_at	Eng	NM_007932	2.872	2.599	1.105
1417279_at	Itpr1	NM_010585	2.031	2.553	-1.257
1417336_a_at	Sytl4	NM_013757	7.312	4.083	1.791
1417429_at	Fmo1	NM_010231	70.838	4.887	14.495
1417664_a_at	Ndrg3	NM_013865	2.777	2.187	1.27
1417828_at	Aqp8	NM_001109045	11.381	2.704	4.209
1417839_at	Cldn5	NM_013805	114.944	4.726	24.319
1417850_at	Rb1	NM_009029	3.508	2.678	1.31
1417894_at	Gpr97	NM_173036	5.433	3.44	1.579
1417985_at	Nrarp	NM_025980	17.329	6.167	2.81
1418030_at	Slco3a1	NM_001038643	6.323	2.104	3.005
1418059_at	Eltd1	NM_133222	70.916	5.298	13.385
1418090_at	Plvap	NM_032398	38.177	4.554	8.383
1418181_at	Ptp4a3	NM_008975	3.551	2.924	1.215
1418187_at	Ramp2	NM_019444	59.171	3.113	19.01
1418191_at	Usp18	NM_011909	27.529	3.036	9.067
1418219_at	Il15	NM_008357	3.516	3.444	1.021
1418296_at	Fxyd5	NM_001111073	7.303	3.027	2.413
1418398_a_at	Tspan32	NM_020286	36.983	4.091	9.04
1418421_at	Bcl6b	NM_007528	8.552	3.665	2.334
1418540_a_at	Ptpre	NM_011212	14.479	3.887	3.725
1418582_at	Cbfa2t3h	NM_001109873	6.63	2.951	2.246
1418586_at	Adcy9	NM_009624	3.128	2.696	1.16
1418892_at	Rhoj	NM_023275	81.722	5.353	15.267
1418946_at	St3gal1	NM_009177	12.573	2.472	5.086
1419107_at	Ophn1	NM_052976	3.458	2.218	1.56
1419120_at	Lyl1	NM_008535	22.213	2.872	7.734
1419137_at	Shank3	NM_021423	7.071	4.627	1.528
1419161_a_at	Nox4	NM_015760	6.234	3.123	1.996
1419193_a_at	Gmfg	NM_001039192	5.852	4.16	1.407
1419389_at	Pde10a	NM_011866	3.827	2.11	1.814
1419423_at	Stab2	NM_138673	21.206	5.089	4.167
1419485_at	Foxc1	NM_008592	4.754	2.306	2.062
1419589_at	Cd93	NM_010740	190.409	5.904	32.249
1420399_at	Gfi1b	NM_008114	14.171	2.463	5.752
1420653_at	Tgfb1	NM_011577	14.885	2.098	7.095
1420664_s_at	Procr	NM_011171	30.32	4.937	6.141
1420693_at	Myom1	NM_001083934	6.989	2.174	3.215
1421287_a_at	Pecam1	NM_001032378	7.18	5.062	1.418
1421288_at	F2rl3	NM_007975	14.847	4.371	3.397
1421410_a_at	Pstpip2	NM_013831	2.214	2.772	-1.252
1421442_at	Flt4	NM_008029	4.913	3.947	1.245
1421525_a_at	Birc1e	NM_010870	2.72	2.469	1.102
1421571_a_at	Ly6c	NM_001099217	4.253	3.038	1.4
1421773_at	Etv2	NM_007959	4.456	2.802	1.59
1421855_at	Fgl2	NM_008013	2.273	2.327	-1.024
1421937_at	Dapp1	NM_011932	3.605	3.094	1.165
1421970_a_at	Gria2	NM_001039195	16.106	6.522	2.47
1422079_at	Prkch	NM_008856	23.621	4.13	5.719
1422134_at	Fosb	NM_008036	46.062	44.739	1.03
1422217_a_at	Cyp1a1	NM_009992	6.837	4.578	1.494
1422473_at	Pde4b	NM_019840	30.727	3.309	9.287
1422541_at	Ptprm	NM_008984	46.191	4.482	10.305
1422788_at	Slc43a3	NM_021398	22.545	2.395	9.414
1422865_at	Runx1	NM_001111021	13.633	4.184	3.259
1423037_at	Agtrl1	NM_011784	48.119	2.837	16.961
1423100_at	Fos	NM_010234	88.303	27.618	3.197
1423214_at	Plxnc1	NM_018797	6.327	3.696	1.712
1423284_at	Mansc1	NM_026345	3.051	2.512	1.214
1423319_at	Hhex	NM_008245	7.652	3.686	2.076
1423571_at	Edg1	NM_007901	11.284	2.983	3.783
1423614_at	Lrrc8c	NM_133897	12.195	2.246	5.429
1423619_at	Rasd1	NM_009026	3.506	2.863	1.225
1423622_a_at	Ccnl1	NM_019937	2.179	2.161	1.009
1423911_at	Ppp2r5a	NM_144880	2.148	2.064	1.041
1424051_at	Col4a2	NM_009932	30.734	2.83	10.86
1424092_at	Epb4.1	NM_183428	5.722	2.083	2.746
1424231_s_at	Exoc6	NM_175353	2.409	2.244	1.073
1424268_at	Smox	NM_145533	6.544	2.209	2.962
1424378_at	Ldlrap1	NM_145554	4.241	3.073	1.38
1424595_at	F11r	NM_172647	3.584	2.391	1.499
1424807_at	Lama4	NM_010681	16.222	2.758	5.882
1424975_at	Siglecf	NM_145581	3.091	2.635	1.173
1425094_a_at	Lhx6	NM_001083125	5.196	3.538	1.469
1425253_a_at	Madcam1	NM_013591	33.656	5.815	5.788
1425284_a_at	Rab27a	NM_023635	2.6	3.927	-1.51
1425484_at	Tox	NM_145711	4.048	2.188	1.85
1425506_at	Mylk	NM_139300	4.193	2.866	1.463
1425582_a_at	Emcn	NM_016885	209.483	4.281	48.932
1425681_a_at	Prnd	NM_023043	5.13	3.557	1.442
1426062_a_at	Casp7	NM_007611	5.747	2.643	2.175
1426206_at	Robo4	NM_028783	3.513	3.505	1.002
1426662_at	Cmas	NM_009908	3.176	2.23	1.424
1426738_at	Dgkz	NM_138306	3.001	2.358	1.273
1426852_x_at	Nov	NM_010930	5.243	3.393	1.545
1426926_at	Plcg2	NM_172285	4.39	5.033	-1.146
1426971_at	Ube1l	NM_023738	43.943	2.484	17.689
1427287_s_at	Itpr2	NM_010586	4.189	2.095	2
1427345_a_at	Sult1a1	NM_133670	2.286	2.283	1.002
1427357_at	Cda	NM_028176	5.142	2.211	2.325
1427367_at	Efcab4a	NM_001025103	2.852	2.544	1.121
1427891_at	Gimap6	NM_153175	50.906	6.662	7.641
1428016_a_at	Rasip1	NM_028544	11.36	5.011	2.267
1428074_at	Tmem158	NM_001002267	12.801	2.223	5.758
1428479_at	Nfatc1	NM_016791	19.232	3.526	5.454
1428643_at	Mgat5	NM_145128	3.046	2.204	1.382
1428733_at	Gngt2	NM_001038664	3.474	3.284	1.058
1429019_s_at	Pon2	NM_183308	13.883	2.186	6.35
1429210_at	Col23a1	NM_153393	6.05	2.133	2.837
1429387_at	Grap	NM_027817	10.803	3.416	3.163
1429717_at	Ipo11	NM_029665	18.943	8.184	2.315
1429794_a_at	P2rx1	NM_008771	3.247	2.434	1.334
1429856_at	Tspan18	NM_183180	20.519	4.102	5.003
1430579_at	Tnik;LOC665113;LOC674765	XM_001473602	4.549	2.904	1.567
1431704_a_at	Ralgps2	NM_023884	3.326	2.993	1.111
1432103_a_at	Sh3gl3	NM_017400	4.749	4.68	1.015
1432273_a_at	Darc	NM_010045	4.897	2.544	1.925
1433485_x_at	Gpr56	NM_018882	10.113	3.044	3.322
1433694_at	Pde3b	NM_011055	4.082	2.407	1.696
1433741_at	Cd38	NM_007646	5.082	4.52	1.124
1433854_at	Tmem164	NM_177592	13.927	2.932	4.75
1433956_at	Cdh5	NM_009868	52.285	4.21	12.419
1434334_at	Prkd2	NM_178900	5.065	2.368	2.139
1434490_at	Scarf1	NM_001004157	6.106	2.743	2.226
1434601_at	Amigo2	NM_178114	7.008	2.941	2.383
1434755_at	Coro2b	NM_175484	3.207	2.297	1.396
1434833_at	Map4k2	NM_009006	6.527	4.296	1.519
1435143_at	Pctk2	NM_013508	13.135	3.895	3.373
1435195_at	Vash1	NM_177354	5.161	3.717	1.388
1435363_at	Plekhg1	NM_001033253	3.666	3.555	1.031
1435701_at	Dnajb6		6.071	4.523	1.342
1435823_x_at	Egfl7	NM_178444	12.6	2.84	4.437
1436312_at	Zfpn1a1	NM_001025597	12.9	2.579	5.001
1436367_at	Ptprb		21.455	5.875	3.652
1436853_a_at	Snca	NM_001042451	69.68	2.096	33.239
1437277_x_at	Tgm2	NM_009373	51.017	3.469	14.705
1437419_at	Bmp2k	NM_080708	8.043	2.49	3.23
1437756_at	Gimap9	NM_174960	3.472	3.423	1.014
1437928_at	Pcdh12	NM_017378	21.702	5.26	4.126
1438031_at	Rasgrp3	NM_207246	11.862	5.146	2.305
1438109_at	Clca5	NM_178697	5.387	4.05	1.33
1438664_at	Prkar2b	NM_011158	66.285	2.737	24.218
1439078_at	Klhl4	NM_172781	111.52	5.405	20.634
1439221_s_at	Cd40	NM_011611	7.19	2.671	2.692
1439518_at	Mmrn2	NM_153127	3.899	5.587	-1.433
1439557_s_at	Ldb2	NM_001077398	52.392	5.104	10.266
1440076_at	Sqstm1		2.425	2.935	-1.211
1440244_at	Erg	NM_133659	59.739	4.041	14.783
1440298_at	Treml2	NM_001033405	6.115	3.736	1.637
1440830_at	Gpr116	NM_001081178	18.824	3.814	4.936
1440878_at	Runx1	NM_001111021	6.784	4.039	1.679
1440926_at	Flt1		6.999	2.341	2.99
1442340_x_at	Cyr61	NM_010516	36.231	6.24	5.806
1444028_s_at	Dock9;LOC670309	NM_001081039	3.017	3.187	-1.056
1444889_at	Rassf2	NM_175445	2.1	2.081	1.009
1445597_s_at	Hrasls3	NM_139269	2.062	2.934	-1.423
1447584_s_at	Myct1	NM_026793	28.076	4.362	6.436
1447685_x_at	Ets2	NM_011809	5.796	2.795	2.074
1447707_s_at	Pde2a	NM_001008548	11.794	3.122	3.777
1448325_at	Myd116	NM_008654	4.294	4.308	-1.003
1448470_at	Fbp1	NM_019395	6.885	2.979	2.311
1448471_a_at	Ctla2a	NM_007796	221.957	4.359	50.915
1448529_at	Thbd	NM_009378	5.751	3.084	1.864
1448694_at	Jun	NM_010591	60.213	2.984	20.182
1448754_at	Rbp1	NM_011254	8.734	2.114	4.132
1448797_at	Elk3	NM_013508	21.926	3.039	7.215
