Gene ID	Gene name	Fold change
GANAB	Glucosidase, alpha; neutral AB	3.8
ATF6B	Activating transcription factor 6 beta	2.8
SETD5	SET domain containing 5	2.6
NFAT5	Nuclear factor of activated T cells 5, tonicity-responsive	2.5
DLST	Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxoglutarate complex)	2.3
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	2.1
HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	2
MEX3D	Mex-3 homolog D (C. elegans)	1.6
CTSZ	Cathepsin Z	1.5
STIP 1	Stress-induced phosphoprotein 1	?3.1
CLASP 1	Cytoplasmic linker-associated protein 1	?3.1
MACF 1	Microtubule-actin cross-linking factor 1	?2.9
COPA	Coatomer protein complex, subunit alpha	?2.7
HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	?2.6
SPSB2	SplA/ryanodine receptor domain and SOCS box containing 2	?2.3
TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	?2.3
VIL1	Villin 1	?2.3
CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	?2.2
CRTAP	Cartilage-associated protein	?2.2
