Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P145453	Xist	inactive X specific transcripts	17.03168
AGI_MM_OLIGO_A_51_P202033	Gpr177	G protein-coupled receptor 177	9.21130
AGI_MM_OLIGO_A_51_P484158	Steap1	six transmembrane epithelial antigen of the prostate 1	6.86179
AGI_MM_OLIGO_A_51_P290921	Sytl2	synaptotagmin-like 2	6.18574
AGI_MM_OLIGO_A_51_P461665	Cxcl9	chemokine (C-X-C motif) ligand 9	6.09792
AGI_MM_OLIGO_A_51_P333839	Pdgfc	platelet-derived growth factor, C polypeptide	5.67793
AGI_MM_OLIGO_A_51_P240614	Tm4sf1	transmembrane 4 superfamily member 1	5.64069
AGI_MM_OLIGO_A_51_P186476	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	5.37516
AGI_MM_OLIGO_A_51_P208922	Stc2	stanniocalcin 2	5.36372
AGI_MM_OLIGO_A_51_P457306	Tmprss2	transmembrane protease, serine 2	4.84783
AGI_MM_OLIGO_A_51_P152532	Rkhd3	ring finger and KH domain containing 3	4.56043
AGI_MM_OLIGO_A_51_P230942	Runx2	runt related transcription factor 2	4.01770
AGI_MM_OLIGO_A_51_P170816	Ngef	neuronal guanine nucleotide exchange factor	3.87933
AGI_MM_OLIGO_A_51_P278868	H2-DMb1	histocompatibility 2, class II, locus Mb1	3.85332
AGI_MM_OLIGO_A_51_P468876	Dixdc1	DIX domain containing 1	3.77320
AGI_MM_OLIGO_A_51_P444437	Ltb4dh	leukotriene B4 12-hydroxydehydrogenase	3.58550
AGI_MM_OLIGO_A_51_P502685	2310011G06Rik	RIKEN cDNA 2310011G06 gene	3.56150
AGI_MM_OLIGO_A_51_P224843	Tmsb4x	thymosin, beta 4, X chromosome	3.49431
AGI_MM_OLIGO_A_51_P286106	5033430I15Rik	RIKEN cDNA 5033430I15 gene	3.41483
AGI_MM_OLIGO_A_51_P405912	Lmcd1	LIM and cysteine-rich domains 1	3.26982
AGI_MM_OLIGO_A_51_P111049	Plscr4	phospholipid scramblase 4	3.25958
AGI_MM_OLIGO_A_51_P163694	Rufy1	RUN and FYVE domain containing 1	3.22566
AGI_MM_OLIGO_A_51_P148196	Sdf2	stromal cell derived factor 2	3.11642
AGI_MM_OLIGO_A_51_P275435	2310007B03Rik	RIKEN cDNA 2310007B03 gene	2.98084
AGI_MM_OLIGO_A_51_P222733	H2-Ea	histocompatibility 2, class II antigen E alpha	2.97298
AGI_MM_OLIGO_A_51_P283344	1700011H14Rik	RIKEN cDNA 1700011H14 gene	2.87556
AGI_MM_OLIGO_A_51_P201054	Cmkor1	chemokine orphan receptor 1	2.85997
AGI_MM_OLIGO_A_51_P219064	Prmt2	protein arginine N-methyltransferase 2	2.84089
AGI_MM_OLIGO_A_51_P337771	Pcdhb17	protocadherin beta 17	2.76114
AGI_MM_OLIGO_A_51_P290576	Plk2	polo-like kinase 2 (Drosophila)	2.74451
AGI_MM_OLIGO_A_51_P323521	5730407K14Rik	RIKEN cDNA 5730407K14 gene	2.69187
AGI_MM_OLIGO_A_51_P109496	1700029I01Rik	RIKEN cDNA 1700029I01 gene	2.64650
AGI_MM_OLIGO_A_51_P354526	2010011I20Rik	RIKEN cDNA 2010011I20 gene	2.63723
AGI_MM_OLIGO_A_51_P193521	Cdk5rap1	CDK5 regulatory subunit associated protein 1	2.61680
AGI_MM_OLIGO_A_51_P357606	Phyhd1	phytanoyl-CoA dioxygenase domain containing 1	2.60778
AGI_MM_OLIGO_A_51_P104012	2310037P21Rik	RIKEN cDNA 2310037P21 gene	2.59345
AGI_MM_OLIGO_A_51_P399106	9030617O03Rik	RIKEN cDNA 9030617O03 gene	2.57578
AGI_MM_OLIGO_A_51_P153513	4921507P07Rik	RIKEN cDNA 4921507P07 gene	2.57441
AGI_MM_OLIGO_A_51_P221852	Tmed1	transmembrane emp24 domain containing 1	2.56297
AGI_MM_OLIGO_A_51_P355151	Camk2n2	calcium/calmodulin-dependent protein kinase II inhibitor 2	2.55653
AGI_MM_OLIGO_A_51_P498631	Dfna5h	deafness, autosomal dominant 5 homolog (human)	2.54598
AGI_MM_OLIGO_A_51_P189105	Ppap2a	phosphatidic acid phosphatase 2a	2.54542
AGI_MM_OLIGO_A_51_P197509	Pcmtd2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	2.53939
AGI_MM_OLIGO_A_51_P440099	1700020B09Rik	RIKEN cDNA 1700020B09 gene	2.53190
AGI_MM_OLIGO_A_51_P297388	5133400G04Rik	RIKEN cDNA 5133400G04 gene	2.51366
AGI_MM_OLIGO_A_51_P407248	Antxr1	anthrax toxin receptor 1	2.48176
AGI_MM_OLIGO_A_51_P205564	Cri1	CREBBP/EP300 inhibitory protein 1	2.46377
AGI_MM_OLIGO_A_51_P502432	Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3	2.45781
AGI_MM_OLIGO_A_51_P496488	Rpl7	ribosomal protein L7	2.43380
AGI_MM_OLIGO_A_51_P477670	Mcph1	microcephaly, primary autosomal recessive 1	2.42031
AGI_MM_OLIGO_A_51_P282663	Hexa	hexosaminidase A	2.40950
AGI_MM_OLIGO_A_51_P160907	Morc3	microrchidia 3	2.40420
AGI_MM_OLIGO_A_51_P442719	Usp6nl	USP6 N-terminal like	2.40385
AGI_MM_OLIGO_A_51_P427472	Mxra8	matrix-remodelling associated 8	2.39749
AGI_MM_OLIGO_A_51_P258138	1500006O09Rik	RIKEN cDNA 1500006O09 gene	2.39477
AGI_MM_OLIGO_A_51_P423709	AW125753	expressed sequence AW125753	2.38305
AGI_MM_OLIGO_A_51_P423666	Fbxo17	F-box protein 17	2.37511
AGI_MM_OLIGO_A_51_P508411	E130311K13Rik	RIKEN cDNA E130311K13 gene	2.37015
AGI_MM_OLIGO_A_51_P345836	Prkra	protein kinase, interferon inducible double stranded RNA dependent activator	2.36179
AGI_MM_OLIGO_A_51_P362879	Fbxo38	F-box protein 38	2.34813
AGI_MM_OLIGO_A_51_P184806	Elmod2	ELMO domain containing 2	2.32909
AGI_MM_OLIGO_A_51_P382393	Errfi1	ERBB receptor feedback inhibitor 1	2.32864
AGI_MM_OLIGO_A_51_P447855	Zfp294	zinc finger protein 294	2.32702
AGI_MM_OLIGO_A_51_P491916	Rassf6	Ras association (RalGDS/AF-6) domain family 6	2.32015
AGI_MM_OLIGO_A_51_P429111	2310076G13Rik	RIKEN cDNA 2310076G13 gene	2.31491
AGI_MM_OLIGO_A_51_P192031	Cxadr	coxsackievirus and adenovirus receptor	2.30592
AGI_MM_OLIGO_A_51_P105943	2610203E10Rik	RIKEN cDNA 2610203E10 gene	2.30499
AGI_MM_OLIGO_A_51_P128096	Dnpep	aspartyl aminopeptidase	2.29378
AGI_MM_OLIGO_A_51_P158120	B3galnt2	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 2	2.28976
AGI_MM_OLIGO_A_51_P327828	Ppib	peptidylprolyl isomerase B	2.28629
AGI_MM_OLIGO_A_51_P359919	Dars	aspartyl-tRNA synthetase	2.27878
AGI_MM_OLIGO_A_51_P198045	Rab28	RAB28, member RAS oncogene family	2.26637
AGI_MM_OLIGO_A_51_P157976	Mmab	methylmalonic aciduria (cobalamin deficiency) type B homolog (human)	2.26470
AGI_MM_OLIGO_A_51_P516920	A730024A03Rik	RIKEN cDNA A730024A03 gene	2.26407
AGI_MM_OLIGO_A_51_P389811	1110018J12Rik	RIKEN cDNA 1110018J12 gene	2.25049
AGI_MM_OLIGO_A_51_P290399	AI661453	expressed sequence AI661453	2.22657
AGI_MM_OLIGO_A_51_P142153	2610528E23Rik	RIKEN cDNA 2610528E23 gene	2.22375
AGI_MM_OLIGO_A_51_P201661	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5	2.22055
AGI_MM_OLIGO_A_51_P312166	Pias1	protein inhibitor of activated STAT 1	2.21532
AGI_MM_OLIGO_A_51_P440828	1200009B18Rik	RIKEN cDNA 1200009B18 gene	2.19860
AGI_MM_OLIGO_A_51_P155094	D2Ertd750e	DNA segment, Chr 2, ERATO Doi 750, expressed	2.18887
AGI_MM_OLIGO_A_51_P140460	Snx24	sorting nexing 24	2.18626
AGI_MM_OLIGO_A_51_P125467	Igf2r	insulin-like growth factor 2 receptor	2.18595
AGI_MM_OLIGO_A_51_P227392	Rhou	ras homolog gene family, member U	2.17751
AGI_MM_OLIGO_A_51_P359237	Tmem9	transmembrane protein 9	2.16536
