UniGene ID	Functional Grouping (Gene)	Upregulation (fold change) (Hours post infection) 24	Upregulation (fold change) (Hours post infection) 48	Upregulation (fold change) (Hours post infection) 72	Upregulation (fold change) (Hours post infection) 96	Category
Mm.3336	RIKEN cDNA 1110007C09 gene (1110007C09Rik)	2.66 ± 1.63	3.68 ± 1.14	6.81 ± 4.35	5.22 ± 0.66	Apoptosis
Mm.277585	amyloid beta (A4) precursor protein (App)	2.50 ± 0.48	2.54 ± 0.59	4.05 ± 1.20	2.87 ± 0.42	Apoptosis
Mm.84073	Bcl2-associated athanogene 3 (Bag3)	2.63 ± 0.59	3.30 ± 0.43	4.61 ± 2.37	4.23 ± 0.18	Apoptosis
Mm.29820	BCL2/adenovirus E1B 19kDa-interacting protein 3-like (Bnip3l)	1.96 ± 0.11	2.52 ± 0.04	3.88 ± 2.19	3.07 ± 0.14	Apoptosis
Mm.290908	baculoviral IAP repeat-containing 6 (Birc6), mRNA.	1.94 ± 0.33	2.15 ± 0.22	2.54 ± 0.93	2.18 ± 0.04	Apoptosis
Mm.283714	sialophorin (Spn), mRNA.	1.99 ± 0.14	2.50 ± 0.19	2.87 ± 1.63	2.25 ± 0.24	Apoptosis
Mm.2381	amyloid beta (A4) precursor-like protein 1 (Aplp1),	NE	1.90 ± 0.06	3.70 ± 1.15	2.27 ± 0.14	Apoptosis
Mm.200608	Clusterin (Clu)	NE	1.74 ± 0.13	4.03 ± 1.54	2.45 ± 0.37	Apoptosis
Mm.136224	interferon induced with helicase C domain 1 (Ifih1)	NE	3.59/-	5.21 ± 1.05	4.18 ± 0.31	Apoptosis
Mm.4266	integral membrane protein 2B (Itm2b)	NE	1.55 ± 0.20	2.43 ± 0.95	2.46 ± 0.54	Apoptosis
Mm.2326	macrophage migration inhibitory factor (Mif)	NE	1.08 ± 0.17	2.25 ± 0.53	2.06 ± 0.07	Apoptosis
Mm.277518	Monocyte to macrophage differentiation-associated (Mmd)	NE	0.59 ± 0.04	2.33 ± 0.45	1.64 ± 0.18	Apoptosis
Mm.347546	Inositol 1,3,4-triphosphate 5/6 kinase	NE	1.94 ± 0.02	0.95 ± 0.05	1.83 ± 0.02	Apoptosis
Mm.285322	mitochondrial carrier homolog 1 (C. elegans) (Mtch1)	NE	0.95 ± 0.01	2.08 ± 0.35	1.77 ± 0.23	Apoptosis
Mm.687	Ras homolog gene family, member B (Rhob)	NE	1.17 ± 0.03	2.48 ± 0.87	1.59 ± 0.15	Apoptosis
Mm.379457	Valosin containing protein (Vcp)	NE	1.68 ± 0.15	2.04 ± 0.77	1.80 ± 0.17	Apoptosis
Mm.6826	Apoptosis-associated tyrosine kinase (Aatk)	NE	NE	1.65 ± 0.07	1.20 ± 0.43	Apoptosis
Mm.223689	Bifunctional apoptosis regulator (Bfar)	NE	NE	1.83 ± 0.58	1.70 ± 0.08	Apoptosis
Mm.130832	caspase recruitment domain family, member 14 (Card14)	NE	NE	3.23 ± 1.52	2.69 ± 0.08	Apoptosis
Mm.29028	Death associated protein 3 (Dap3)	NE	NE	1.87 ± 0.14	0.96 ± 0.03	Apoptosis
Mm.280594	Death effector domain-containing DNA binding protein 2 (Dedd2)	NE	NE	1.79 ± 0.66	1.92 ± 0.09	Apoptosis
Mm.379461	eukaryotic translation initiation factor 5A (Eif5a)	NE	NE	2.61 ± 0.49	1.92 ± 0.14	Apoptosis
Mm.342392	engulfment and cell motility 1, ced-12 homolog (C. elegans) (Elmo1), transcript variant 2	NE	NE	1.74 ± 0.21	1.41 ± 0.08	Apoptosis
Mm.39760	Fas apoptotic inhibitory molecule 2 (Faim2)	NE	NE	2.85 ± 1.23	2.44 ± 0.12	Apoptosis
Mm.281298	growth arrest and DNA-damage-inducible 45 gamma (Gadd45g)	NE	NE	3.16 ± 0.21	2.12 ± 0.05	Apoptosis
Mm.15510	granzyme A (Gzma)	NE	NE	1.27 ± 0.41	1.94 ± 0.26	Apoptosis
Mm.2720	Mitogen activated protein kinase 8 interacting protein 1 (Mapk8ip1)	NE	NE	2.25 ± 0.75	1.16 ± 0.19	Apoptosis
