Curated Gene Symbol	Rank	GenBank	Name	Symbol	HepG2	Hep3B
ZNF146	1	NM_007145	Zinc finger protein 146	ZNF146	0.55	0.18
DCUN1D1	2	NM_020640	RP42 homolog	RP42	0.54	0.24
ARHGAP35	3	AB051509	Glucocorticoid receptor DNA binding factor 1	GRLF1	0.53	0.27
HSP90AB1	4	NM_007355	Heat shock 90 kDa protein 1, ß	HSPCB	0.42	0.23
EIF4G2	5	NM_001418	Eukaryotic translation initiation factor 4 Á, 2	EIF4G2	0.51	0.3
WNT5A	6	NM_003392	Wingless-type MMTV integration site family, member 5A	WNT5A	0.51	0.33
TPT1	7	NM_003295	Tumor protein, translationally-controlled 1	TPT1	0.54	0.36
ALDOC	8	NM_005165	Aldolase C, fructose-bisphosphate	ALDOC	0.54	0.37
RSU1	9	NM_012425	Ras suppressor protein 1	RSU1	0.53	0.4
SRSF4	10	NM_005626	Splicing factor, arginine/serine-rich 4	SFRS4	0.55	0.45
ACTG1	11	NM_001614	Actin, Á 1	ACTG1	0.55	0.45
NTSR1	12	NM_002531	Neurotensin receptor 1 (high affinity)	NTSR1	0.49	0.42
ADAP1	13	NM_006869	Centaurin, · 1	CENTA1	0.52	0.45
YWHAZ	14	NM_003406	YWHAZ	YWHAZ	0.54	0.49
HLA-F	15	NM_018950	Major histocompatibility complex, class I, F	HLA-F	0.48	0.43
PCDHGC3	16	NM_018929	Protocadherin Á subfamily C, 3	PCDHGC3	0.55	0.5
STEAP2	17	AK026813	Six transmembrane epithelial antigen of prostate 2	STEAP2	0.44	0.41
DKK1	18	NM_012242	Dickkopf homolog 1 (Xenopus laevis)	DKK1	0.5	0.47
CNIH	19	NM_005776	Cornichon homolog (Drosophila)	CNIH	0.49	0.47
MED4	20	NM_014166	Vitamin D receptor interacting protein	VDRIP	0.33	0.33
MBD1	21	NM_015846	Methyl-CpG binding domain protein 1	MBD1	0.4	0.43
SMARCB1	22	NM_003073	SMARCB1	SMARCB1	0.29	0.5
