Accession #	Gene Symbol	Gene Name	Fold Change	P-Value
NM_002305.2	LGALS1	Lectin, galactoside-binding soluble 1	5.22	3.00E-03
NM_003088.2	FSCN1	Fascin homolog 1, actin-bundling protein	5.06	5.60E-03
NM_006262.3	PRPH	Peripherin	4.58	9.80E-04
NM_004223.3	UBE2L6	Ubiquitin-conjugating enzyme E2L 6	4.58	9.70E-04
NM_182908.3	DHRS2	Dehydrogenase/reductase member 2	4.37	5.50E-03
NM_006086.2	TUBB3	Tubulin, beta 3	4.06	1.40E-02
NM_002084.2	GPX3	Glutathione peroxidase 3	4.05	5.20E-03
NM_153247.1	SLC29A4	Solute carrier family 29, member 4	3.92	1.10E-03
NM_003283.3	TNNT1	Troponin T type 1	3.92	1.30E-03
NM_178012.3	TUBB2B	Tubulin, beta 2B	3.92	3.40E-03
NM_001928.2	CFD	Complement factor D (adipsin)	3.87	5.40E-03
NM_006117.2	PECI	Peroxisomal D3, D2-enoyl-CoA isomerase	3.83	6.80E-03
NM_005319.3	HIST1H1C	Histone 1, H1c	3.78	1.30E-03
NM_005952.2	MT1X	Metallothionein 1×	3.66	5.90E-03
NM_017707.2	DDEFL1	Development and differentiation enhancing factor-like 1	3.6	6.60E-04
NM_206963.1	RARRES1	Retinoic acid receptor responder 1	-2.41	1.00E-02
NM_001031733.1	CALML4	Calmodulin-like 4	-2.42	1.10E-03
NM_007167.2	ZMYM6	Zinc finger, MYM-type 6	-2.43	8.80E-03
NM_002423.3	MMP7	Matrix metallopeptidase 7	-2.55	7.10E-03
NM_080911.1	UNG	Uracil-DNA glycosylase	-2.58	1.10E-02
NM_145810.1	CDCA7	Cell division cycle associated 7	-2.59	2.00E-03
NM_006169.2	NNMT	Nicotinamide N-methyltransferase	-2.61	4.40E-03
NM_020371.2	AVEN	Apoptosis, caspase activation inhibitor	-2.66	4.30E-04
NM_005375.2	MYB	V-myb myeloblastosis viral oncogene homolog	-2.72	1.20E-03
NM_052813.2	CARD9	Caspase recruitment domain family, member 9	-2.75	1.80E-02
NM_014312.3	VSIG2	V-set and immunoglobulin domain containing 2	-2.81	2.50E-03
NM_020384.2	CLDN2	Claudin 2	-3.03	2.50E-02
NM_020299.3	AKR1B10	Aldo-keto reductase family 1, member B10	-3.2	1.70E-02
NM_007193.3	ANXA10	Annexin A10	-3.69	4.10E-03
NM_001071.1	TYMS	Thymidylate synthase	-3.82	1.10E-03
NM_002305.2	LGALS1	Lectin, galactoside-binding, soluble, 1	5.07	1.60E-03
NM_003088.2	FSCN1	Fascin homolog 1, actin-bundling protein	4.61	2.30E-04
NM_004223.3	UBE2L6	Ubiquitin-conjugating enzyme E2L 6	4.47	1.20E-02
NM_006262.3	PRPH	Peripherin	4.39	5.90E-03
NM_182908.3	DHRS2	Dehydrogenase/reductase member 2	4.21	1.10E-04
NM_006086.2	TUBB3	Tubulin, beta 3	4.08	1.60E-03
NM_002084.2	GPX3	Glutathione peroxidase 3	3.98	2.00E-03
NM_017707.2	DDEFL1	Development and differentiation enhancing factor-like 1	3.74	7.90E-03
NM_001928.2	CFD	Complement factor D	3.72	1.50E-02
NM_003078.3	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin,	3.67	2.00E-02
NM_003283.3	TNNT1	Troponin T type 1	3.67	1.50E-03
NM_006117.2	PECI	Peroxisomal D3, D2-enoyl-CoA isomerase	3.62	3.50E-03
NM_178012.3	TUBB2B	Tubulin, beta 2B	3.59	7.10E-04
NM_015896.2	ZMYND10	Zinc finger, MYND-type containing 10	3.57	8.80E-03
NM_005319.3	HIST1H1C	Histone 1, H1c	3.5	7.70E-03
NM_001031733.1	CALML4	Calmodulin-like 4	-2.43	5.00E-03
NM_005752.2	CLEC3A	C-type lectin domain family 3, member A	-2.45	7.50E-04
NM_005375.2	MYB	V-myb myeloblastosis viral oncogene homolog	-2.56	3.50E-03
NM_020371.2	AVEN	Apoptosis, caspase activation inhibitor	-2.6	7.80E-03
NM_014312.3	VSIG2	V-set and immunoglobulin domain containing 2	-2.62	3.50E-04
NM_005117.2	FGF19	Fibroblast growth factor 19	-2.64	9.30E-03
NM_007167.2	ZMYM6	Zinc finger, MYM-type 6	-2.67	1.60E-02
NM_004688.1	NMI	N-myc (and STAT) interactor	-2.69	3.90E-04
NM_052813.2	CARD9	Caspase recruitment domain family, member 9	-2.7	2.80E-04
NM_080911.1	UNG	Uracil-DNA glycosylase	-2.79	1.60E-02
NM_018689.1	KIAA1199	KIAA1199	-2.95	3.20E-04
NM_020384.2	CLDN2	Claudin 2	-3.06	2.30E-02
NM_020299.3	AKR1B10	Aldo-keto reductase family 1, member B10	-3.07	2.80E-05
NM_007193.3	ANXA10	Annexin A10	-3.49	1.30E-02
NM_001071.1	TYMS	Thymidylate synthase	-3.59	8.30E-03
NM_001031733.1	CALML4	Calmodulin-like 4	-2.43	5.00E-03
