Curated Gene Symbol	Gene Name	GenBank accession no.	Description	Fold change in expression MCF-7 cell line mean ± SD	Fold change in expression AV-3 cell line mean ± SD	Fold change in expression Mean of the two cell lines
	P21Waf1 (p21Cip1)	L47233	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	4.2 ± .8	5.0 ± .8	4.6
CDK7	Cdk7	NM_001799	Cyclin-dependent kinase 7	3.8 ± .9	5.2 ± .7	4.5
CUL1	Cul1	NM_003592	Cullin 1	2.7 ± .6	5.3 ± 1.1	4
	Cullin-Cul3	NM_003590	Cullin 3	2.6 ± .7	5.3 ± 1.3	3.9
CDC37	CDC37	U63131	Cell division cycle 37 (S. cerevisiae) homolog	1.9 ± .3	5.9 ± .9	3.9
	cyclinD1	M64349	Cyclin D1 (PRAD1 parathyroid adenomatosis 1)	1.8 ± .3	5.8 ± .7	3.8
	Cks1p9	NM_001826	CDC28 protein kinase 1	2.4 ± .5	4.9 ± 1.2	3.7
	Cullin-Cul4A	AF077188	Cullin 4A	2.2 ± .4	4.8 ± 1.1	3.5
CKS2	Cks2	NM_001827	CDC28 protein kinase 2	1.6 ± .5	5.2 ± 1.1	3.4
	CDC45-like1	NM_003504	Cell division cycle 45-like (S. cerevisiae)	5.1 ± 1.4	1.6 ± .4	3.4
	CyclinH	U11791	Cyclin H	4.0 ± .6	2.6 ± 1.0	3.3
CDKN1B	p27Kip1	U10906	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	1.8 ± .2	4.8 ± 1.0	3.3
CDK8	Cdk8	X85753	Cyclin-dependent kinase 8	1.6 ± .3	4.8 ± .6	3.2
CDC34	CDC34	L22005	Ubiquitin-conjugating enzyme, cell division cycle 34	3.0 ± .5	3.3 ± .6	3.1
CHEK1	Chk1	AF016582	CHK1 (checkpoint, S. pombe) homolog	1.6 ± .3	4.7 ± .9	3.1
	Cyclin G	X77794	Cyclin G1	3.2 ± .5	3.0 ± .3	3.1
	CyclinG2	L49506	Cyclin G2	2.7 ± .6	3.3 ± .5	3
	Cdc27	NM_001256	Cell division cycle 27	2.7 ± .8	3.2 ± .7	3
EEF1E1	p18	U17074	p18 (cdk4 inhibitor) cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	2.3 ± .5	3.6 ± 1.0	3
	E2F	U47677	Transcription factor 1	3.8 ± .9	1.9 ± .6	2.9
RAD17	RAD17	NM_002873	RAD17 (S. pombe) homolog	2.3 ± 1.0	3.3 ± .8	2.8
RAD50	RAD50	U63139	RAD50 (S. cerevisiae) homolog	2.4 ± .4	3.1 ± .8	2.8
	Cullin-Cul2	U83410	Cullin 2	1.5 ± .5	3.8 ± .8	2.7
E2F6	E2F-6	AF059292	E2F transcription factor 6	2.9 ± .6	2.3 ± .8	2.6
	cyclinB2	NM_004701	Cyclin B2	1.8 ± .8	3.2 ± .5	2.5
	CyclinF	U17105	Cyclin F	3.5 ± .8	1.5 ± .6	2.5
PRC1	PRC1	NM_003981	Protein regulator of cytokinesis1	2.0 ± .4	3.0 ± .5	2.5
	Cullin-Cul4B	AB014595	Cullin 4B	2.0 ± .3	2.9 ± .3	2.5
	cyclinE1	M73812	Cyclin E1	2.0 ± .4	2.9 ± .3	2.5
HUS1	Hus1	NM_004507	HUS1 (S. pombe) checkpoint homolog	1.8 ± .8	3.1 ± .2	2.5
MPP2	MPP2	U74613	Human putative M phase phosphoprotein 2 (MPP2) mRNA	1.8 ± .6	3.1 ± .6	2.5
	Ki67 (MKI67)	X65550	Antigen identified by monoclonal Ab Ki-67	1.5 ± .3	3.3 ± .4	2.4
	Skp1	U33760	Cyclin A / CDK2-associated p19 (Skp1)	1.5 ± .3	3.2 ± .6	2.4
SKP2	Skp2	U33761	Human cyclin A / CDK2-associated p45 (Skp2)	2.0 ± .3	2.7 ± .6	2.4
PCNA	PCNA	J04718	Proliferating cell nuclear antigen	1.9 ± .5	2.8 ± .5	2.4
BAX	Bax	L22474	Bcl2-associated X protein	1.6 ± .5	3.0 ± .7	2.3
	cyclinE2	NM_004702	Cyclin E2	1.5 ± .4	3.1 ± .3	2.3
	CyclinB	M25753	Cyclin B1	1.7 ± .3	3.1 ± .5	2.4
	CyclinC	M74091	G1/S-specific Cyclin C	1.6 ± .4	3.0 ± .6	2.3
	MCM5 (CDC46)	NM_006739	Minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46)	1.8 ± .2	2.7 ± .4	2.3
MRE11A	MRE11A	U37359	Meiotic recombination (S. cerevisiae) 11 homolog A	1.5 ± .7	2.9 ± .5	2.2
CDK6	Cdk6	X66365	Cyclin-dependent kinase 6	2.0 ± .3	2.3 ± .9	2.2
	Nibrin	AF058696	Nijmegen breakage syndrome 1 (nibrin)	1.8 ± .4	2.5 ± .5	2.2
RBX1	Rbx1	NM_014248	Homo sapiens ring-box protein 1 (RBX1) mRNA	1.5 ± .7	2.8 ± .6	2.2
MCM2	MCM2	D83987	Minichromosome maintenance deficient (S. cerevisiae) 2 (mitotin)	1.5 ± .3	2.7 ± .3	2.1
	MCM4 (CDC21)	X74794	Minichromosome maintenance deficient (S. cerevisiae) 4	2.0 ± .4	1.8 ± .2	1.9
	MCM7 (cdc47)	D28480	Minichromosome maintenance deficient (S. cerevisiae) 7	1.5 ± .5	2.3 ± .7	1.9
