Agilent probe name	Gene name	Gene description	Gene ontology	Fold change	P-value
A_51_P358765	Spp1	Secreted phosphoprotein 1 or osteopontin	Antiapoptosis; biomineral formation; cell adhesion; ossification; osteoblast differentiation	77.3	1.10E-05
A_51_P301435	B3galt5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase polypeptide 5	Protein amino-acid glycosylation	58.6	1.90E-07
A_51_P384894	Stfa1	Stefin-A1-like protein	Cysteine-type endopeptidase inhibitor activity	56.6	9.40E-07
A_52_P6490	Insr	Insulin receptor	Glucose homeostasis	44	6.20E-09
A_51_P409694	Psrc1	Differential display and activated by p53	Cell cycle	35	4.60E-06
A_52_P646858	Car12	Carbonic anhydrase 12	One-carbon metabolic process	32.7	6.40E-06
A_51_P256827	S100a8	S100 calcium-binding protein A8 (calgranulin A)	Chemotaxis; calcium-ion binding	32.1	3.90E-05
A_51_P240501	4930583H14 Rik	Ovary-specific acidic protein	Not determined	30.1	5.10E-04
A_51_P184484	Mmp13	Matrix metalloproteinase 13	Metallopeptidase activity; bone mineralization; cartilage development	25.5	3.90E-05
A_52_P387009	Egln3	EGL nine homolog 3	Apoptosis; cell proliferation; response to hypoxia	22.7	1.20E-06
A_51_P268154	Acsl4	Acyl-CoA synthetase long-chain family member 4 isoform 2	Fatty-acid metabolism and transport	20.5	2.30E-09
A_52_P318673	Saa1	Serum amyloid A1	Cholesterol metabolism	20.2	6.50E-05
A_51_P461040	Crct1	Cysteine-rich C-terminal 1	Not determined	20	1.80E-04
A_52_P158095	NAP107172-1		Not determined	19.3	4.10E-05
A_52_P232580	Dyrk3	Dual-specificity tyrosine-(gamma)-phosphorylation-regulated kinase 3	Erythrocyte differentiation; protein kinase activity	18.8	1.70E-06
A_52_P240232	NAP052665-1		Not determined	18.6	1.80E-05
A_51_P499698	Asprv1	Aspartic peptidase, retroviral-like 1	Proteolysis	18.1	5.70E-07
A_51_P302831	Dbccr1	Deleted in bladder cancer chromosome region candidate 1	Cell cycle	17.2	9.80E-05
A_52_P59206	Cst6	Cystatin E/M	Epidermis development	16.3	7.50E-06
A_51_P459477	Col11a1	Procollagen, type XI, alpha 1	Cartilage development; cell adhesion; extracellular matrix constituent	15.9	3.30E-07
A_52_P220440	Slc6a15	Solute carrier family 6 (neurotransmitter transporter), member 15	Neurotransmitter transport	15.6	5.10E-04
A_51_P457747	Krt16	Keratin 16	Intermediate filament cytoskeleton organization	15	4.20E-05
A_51_P212782	Il1b	Interleukin 1 beta	Inflammatory response; angiogenesis; insulin signaling; lipid metabolism; chemotaxis	14.5	1.80E-06
A_51_P147034	Ica1l	Islet cell autoantigen 1-like	Not determined	14.1	1.50E-05
A_51_P491667	Derl3	Der1-like domain family, member 3	Not determined	14.1	5.60E-06
