Gene symbol	Gene Name	Accession Number	I/E	p-val	L/E	p-val
Actr3	ARP3 actin-related protein 3 homolog (yeast)	NM_023735	-1.4	0.0095	-2	0.0102
Akap12	A kinase (PRKA) anchor protein (gravin) 12	NM_031185	-9.9	0.0151	-11.8	0.0141
Anln	anillin, actin binding protein	NM_028390	-1.5	0.0408	-2.5	0.0144
Arhgap24	Rho GTPase activating protein 24	NM_029270	-8.5	0.0096	-39.4	0.0059
Arhgap6	Rho GTPase activating protein 6	NM_009707	2.5	0.1591	12.8	0.0033
Arpc5l	actin related protein 2/3 complex, subunit 5-like	NM_028809	1.7	0.011	2.5	0.015
Cap1+	CAP, adenylate cyclase-associated protein 1	NM_007598	-2.5	0.0014	-2.1	0.026
Cdc42ep2	CDC42 effector protein (Rho GTPase binding) 2	NM_026772	1.5	0.2568	-3.1	0.0029
Cdc42ep3	CDC42 effector protein (Rho GTPase binding) 3	NM_026514	-1.8	0.0276	-3.1	0.0063
Cdc42ep5	CDC42 effector protein (Rho GTPase binding) 5	NM_021454	1.1	0.7844	-3.6	0.0013
Dbn1	drebrin 1	NM_019813	-2.1	0.0034	-2.1	0.0021
Diap3	diaphanous homolog 3 (Drosophila)	NM_019670	-2.1	0.0016	-4.2	0.0045
Evl	Ena-vasodilator stimulated phosphoprotein	NM_007965	-1.3	0.1199	-2.6	0.0043
Fmn1	formin 1	NM_010230	-2.5	0.028	-2.4	0.0478
Fyn	Fyn proto-oncogene	NM_001122893	1.4	0.1021	2.7	0.0362
Flnb	filamin, beta	NM_134080	-5.3	0.0283	24	0.0385
Fscn1	fascin homolog 1, actin bundling protein	NM_007984	-1.5	0.0487	-4.1	0.002
Gsn	Gelsolin	NM_146120	1.2	0.0496	2.4	0.0284
IQGAP2	IQ motif, GTPase actinvating protein 2	NM_027711	3.6	0.4092	14	0.0185
IQGAP3	IQ motif, GTPas- actinvating protein 3	NM_178229	-2.1	0.014	-2.1	0.0987
Ivns1abp	influenza virus NS1A binding protein	NM_001039511	-2.6	0.0134	-2.1	0.0233
Lmo7	LIM domain only 7	NM_201529	-3.7	0.0008	-2.7	0.0104
Map2k1	mitogen activated protein kinase kinase 1	NM_008927	1.4	0.0781	2.2	0.0236
Map2k5	mitogen activated protein kinase kinase 5	NM_011840	1.3	0.1457	2	0.0045
Map3k1	mitogen activated protein kinase kinase kinase 1	NM_011945	1.1	0.547	2.1	0.0028
Marcks	Myristoylated alanine-rich kinaseC substrat	NM_008538	-1.6	0.0059	-2.1	0.0059
Msn	Moesin	NM_010833	-1.8	0.0012	-2.4	0.0007
Mtss1	metastasis suppressor 1	NM_144800	1.7	0.2052	-2.2	0.0114
Myh10	myosin, heavy polypeptide 10, non-muscle	NM_175260	-2.4	0.077	24	0.0264
Myh9	myosin, heavy polypeptide 9, non-muscle	NM_022410	-2.3	0.0567	-2.3	0.0558
Mylip	myosin regulatory light chain interacting protein	NM_153789	-1.1	0.5508	-2.2	0.0042
Myo18a	myosin XVIIIa	NM_011586	1.2	0.076	2.9	0.0281
Myo1c	myosin IC	NM_001080775	-2.6	0.0165	-3.2	0.0135
Palld	palladin, cytoskeletal associated protein	NM_001081390	-1.9	0.0531	-3.1	0.0145
Plcb1	phospholipase C, beta 1	NM_019677	1.5	0.293	4.4	0.0015
Plcb4	phospholipase C, beta 4	NM_013829	1.7	0.111	3.2	0.0165
Rhoj	ras homolog gene family, member J	NM_023275	-2.7	0.0256	-7.5	0.0077
Rhou	ras homolog gene family, member U	NM_133955	1.2	0.3921	2.3	0.0257
Sorbs1	sorbin and SH3 domain containing 1	NM_009166	-28.3	0.0496	-15.4	0.0545
Tpm2	Tropomyosin 2, beta	NM_009416	-1.9	0.2948	-42.1	0.0191
Tpm3	Tropomyosin 3, gamma	NM_022314	-1.4	0.1108	-2.3	0.0069
Tpm4	tropomyosin 4	NM_001001491	-1.4	0.1012	-2.4	0.0165
Wasl	Wiskott-Aldrich syndrome-like (human)	NM_028459	1	0.7863	2.1	0.0008
