Gene Symbol	Gene	Accession No.	Ratio of expression (fold) P/W	Ratio of expression (fold) T/W
NE	Neutrophil elastase (NE)	NM_015779	4.76	1.47
MPO	Myeloperoxidase (MPO)	NM_010824	3.97	1.26
CRAMP	Cathelin-related antimicrobial peptide (CRAMP)	NM_009921	11.24	2.6
NGP	Neutrophilic granule protein (NGP)	NM_008694	3.78	1.66
COL1A1	Procollagen, type I, a1 (COL1A1)	U03419	7.78	2.14
COL1A2	Procollagen, type I, a2 (COL1A2)	NM_007743	2.73	1.2
MMP13	Matrix metalloproteinase-13 (MMP13)	NM_008607	3.78	0.71
MrgA1	RF-amide G protein-coupled receptor (MrgA1)	AY042191	4.5	1.75
Ms4a3	Membrane-spanning 4 domains, subfamily A, member 3 (Ms4a3)	NM_133246	27.28	0.18
Bglap-rs1	Bone c-carboxyglutamate protein, related sequence 1 (Bglap-rs1)	NM_013480	3.66	0.99
Lzp-s	P lysozyme structural (Lzp-s)	NM_013590	2.2	0.97
Igh-2	Immunoglobulin a heavy chain constant region gene (Igh-2)	AY045743	9.78	3.38
Cyp4a14	Cytochrome P450, family 4, subfamily A (Cyp4a14), liver	NM_007822	6.92	0.93
