Accession Number	Gene Name	FC
XM_597666	hypothetical protein LOC196541 (LOC196541)	67
XM_581413	crystallin, mu (CRYM), transcript variant 1	14
XM_866893	FERM domain containing 5 (FRMD5)	10.2
XM_597805	dynein axonemal, heavy polypeptide 9 (DNAH9)	8.9
XM_614487	R-spondin 3 homolog (RSPO3)	7.51
XM_608720	LOC530255	7.3
NM_001017942	arginase, type II (ARG2)	6.9
XM_613938	RAB40B, member RAS oncogene family (RAB40B)	6.8
XM_870103	monocarboxylate transporter 2 (MCT 2) (LOC617782)	6.6
XM_590498	RIB43A domain with coiled-coils 1 (RIBC1)	6.6
XM_866992	cornichon homolog 3 (LOC615236)	6.5
BM104989	unidentified transcripts on BTA24 position 33768876-33769819	6.2
NM_001037490	zinc finger protein 474 (ZNF474)	6.2
XM_866023	chromosome 11 open reading frame 52 (C11orf52)	6.1
XM_869134	stearoyl-CoA desaturase 4 (LOC616975)	5.9
XM_866121	solute carrier family 16, member 7 (monocarboxylic acid transporter 2) (SLC16A7)	5.9
BM287143	erythrocyte membrane protein band 4.1 like 4B (EPB41L4B), transcript variant 2	5.7
BI683243	Kelch-like 3 (Drosophila) (KLHL3)	5.4
CB167599	hypothetical protein Ells1 (Ells1)	5.4
XM_600004	ring finger protein 30 (predicted) (LOC521737)	5.3
AV592965	potassium voltage-gated channel, KQT-like subfamily, member 1 (KCNQ1)	5.3
NM_001034430	PDZ and LIM domain 2 (mystique) (PDLIM2)	5.2
XM_876445	ankyrin repeat domain 2 (stretch responsive muscle) (ANKRD2)	5.2
XM_592100	adhesion molecule with Ig-like domain 2 (AMIGO2)	5
XM_583102	Dickkopf homolog 3 (DKK3)	5
AW445540	unidentified transcripts on BTA21 position 34601033-34599866	5
NM_174257	calbindin 3, (vitamin D-dependent calcium binding protein) (CALB3)	5
