Gene	Product	Fold-change(Logbase2)	Function	Genomic  location
ANGPT2	Angiopoietin 2	7.8	Context-dependent vascular regression and angiogenesis	8p23.1
THBS1	Thrombospondin 1	7.3	Cell-cell and cell-extracellular matrix interaction	15q15
CCL5	Chemokine (c-c motif) ligand 5	6.2	Chemokine, immunoregulatory	17q11.2-12
PTK6	Protein tyrosine kinase 6	6.1	Signal transduction	20q13.3
CXCL11	Chemokine (c-x-c motif) ligand 11	5.8	Chemokine, immunoregulatory	4q21.2
S100P	S100 calcium binding protein p	5.1	Hormone response	4p16
PSMD5	Proteasome 26s non-ATPase subunit, 5	4.9	Multi-subunit protease	9q33.2
CDKN2B	Cyclin-dependent kinase inhibitor 2b	4.7	tumor suppressor	9p21
PEG3	Paternally expressed 3	4.5	tumor suppressor	19q13.4
HTATIP2	Hiv-1 tat interactive protein 2	4.4	tumor suppressor	11p15.1
CXCL2	Chemokine (c-x-c motif) ligand 2	4.4	Chemokine, immunoregulatory	4q21
RND1	Rho family gtpase 1	4.2	Cell motility	12q12-q13
NK4	Natural killer4/Interleukin 32	4.1	cytokine	16p13.3
ACPP	Prostatic acid phosphotase	4.1	Hormone response, growth signaling	3q21-q23
ICAM1	Intercellular adhesion molecule 1	4	tumor suppressor, cell migration	19p13.3-13.2
FOSL2	Fos-like antigen 2	3.9	Cell proliferation/differentiation	2p23.3
SFN	Stratifin	3.7	Tumor suppressor	1p36.11
PLAT	Plasminogen activator, tissue	3.5	Cell migration, tissue remodeling	8p12
INHBE	Inhibin, beta E	3	tumor suppressor	12q13.3
CDKN1C	Cyclin-dependent kinase inhibitor 1c	2.9	tumor suppressor	11p15.5
TP73	Tumor protein p73	2.7	tumor suppressor	1p36.3
SOCS2	Suppressor of cytokine signaling 2	2.7	growth suppressor	12q
BMPR1B	Bone morphogenetic protein receptor, type 1B	2.7	Signal transduction	4q22-q24
CCL2	Chemokine (c-c motif) ligand 2	2.6	chemokine	17q11.2-q21.1
VIM	Vimentin	2.6	Mesenchymal cytoskeletal protein	10p13
SPRY2	Sprouty 2	2.6	tumor suppressor	13q31.1
CXCL10	Chemokine (c-x-c motif) ligand 10	2.6	Chemokine, angiostatic	4q21
LCN2	Lipocalin 2	2.5	Tumor suppressor/promoter	9q34
AKAP12	A kinase anchor protein 12	2.4	tumor/metastasis suppressor	6q24-q25
KLF4	Kruppel-like factor 4	2.4	Transcriptional activator	9q31
ATF3	Activating transcription factor 3	2.4	apoptosis, cell migration	1q32.3
FBN1	Fibrillin 1	2.4	ECM protein, cell attachment	15q21.1
TWIST1	Twist homolog 1	2.4	Invasion, metastasis	7p21.2
ALCAM	Activated leukocyte cell adhesion molecule	2.3	Cell adhesion	3q13.1
MSX2	Msh homeo box homolog 2	2.2	tumor suppressor	5q34-q35
LOX	Lysyl oxidase	2.2	Cross-linking of ECM proteins	5q23.2
BTG1	B-cell translocation gene 1 protein	2.2	Hormone response, anti-proliferative	12q22
SOCS1	Suppressor of cytokine signaling 1	2.2	tumor suppressor	16p13.13
PPP2CA	Protein phosphatase 2 (formerly 2a), catalytic subunit, alpha isoform	1.5	Serine phosphatase, control of cell division	5q23-q31
PPP3CA	Protein phosphatase 3 (formerly 2b), catalytic subunit, alpha isoform	1.3	Serine phosphatase, apoptosis	4q21-q24
