Symbol	ID_Type	EntrezGeneID	Gene Name	TU Coordinates
ABAT	Symbol	18	4-aminobutyrate aminotransferase	chr16:8675944-8785933
ABCA1	Symbol	19	ATP-binding cassette, sub-family A (ABC1), member 1	chr9:106583104-106730257
ABCC5	Symbol	10057	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	chr3:185120417-185218421
ACOX3	Symbol	8310	acyl-Coenzyme A oxidase 3, pristanoyl	chr4:8418908-8493352
ADORA1	Symbol	134	adenosine A1 receptor	chr1:201363458-201403156
AFAP1L2	Symbol	84632	actin filament associated protein 1-like 2	chr10:116044572-116154505
AK125960	Accession Number		Homo sapiens cDNA FLJ43972 fis, clone TESTI4017961	chr2:75008874-75013659
ANKRD13D	Symbol	338692	ankyrin repeat domain 13 family, member D	chr11:66813394-66826530
ARPP19	Symbol	10776	cAMP-regulated phosphoprotein, 19kDa	chr15:50626723-50648505
ARRDC2	Symbol	27106	arrestin domain containing 2	chr19:17972943-17985911
ATF3	Symbol	467	activating transcription factor 3	chr1:210805319-210860739
ATP1B1	Symbol	481	ATPase, Na+/K+ transporting, beta 1 polypeptide	chr1:167342570-167368584
ATP2C2	Symbol	9914	ATPase, Ca++ transporting, type 2C, member 2	chr16:82959633-83055294
ATP6V0A4	Symbol	50617	ATPase, H+ transporting, lysosomal V0 subunit a4	chr7:138041578-138109322
B4GALT1	Symbol	2683	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	chr9:33100638-33157356
BANP	Symbol	54971	BTG3 associated nuclear protein	chr16:86542538-86668425
BCL3	Symbol	602	B-cell CLL/lymphoma 3	chr19:49943817-49955141
BMF	Symbol	90427	Bcl2 modifying factor	chr15:38167382-38185579
BMP7	Symbol	655	bone morphogenetic protein 7	chr20:55177215-55275114
C12orf49	Symbol	79794	chromosome 12 open reading frame 49	chr12:115637978-115660226
C14orf4	Symbol	64207	chromosome 14 open reading frame 4	chr14:76560638-76564787
C17orf82	Symbol	388407	chromosome 17 open reading frame 82	chr17:56843893-56845423
C1orf21	Symbol	81563	chromosome 1 open reading frame 21	chr1:182622772-182864778
C1orf71	Symbol	163882	chromosome 1 open reading frame 71	chr1:244796261-244898506
C1QTNF6	Symbol	114904	C1q and tumor necrosis factor related protein 6	chr22:35906151-35914276
C3orf26	Symbol	84319	chromosome 3 open reading frame 26	chr3:101019370-101380137
C5orf4	Symbol	10826	chromosome 5 open reading frame 4	chr5:154178244-154181279
C6orf141	Symbol	135398	chromosome 6 open reading frame 141	chr6:49626337-49637584
C9orf169	Symbol	375791	chromosome 9 open reading frame 169	chr9:139239464-139240584
CA12	Symbol	771	carbonic anhydrase XII	chr15:61402782-61461128
CACNG6	Symbol	59285	calcium channel, voltage-dependent, gamma subunit 6	chr19:59187353-59207732
CALCR	Symbol	799	calcitonin receptor	chr7:92891734-93041686
CALML5	Symbol	51806	calmodulin-like 5	chr10:5530657-5531533
CAP2	Symbol	10486	CAP, adenylate cyclase-associated protein, 2 (yeast)	chr6:17501714-17666002
CAPN5	Symbol	726	calpain 5	chr11:76455639-76514846
CAPN8	Symbol	388743	calpain 8	chr1:221870293-221919996
CBL	Symbol	867	Cas-Br-M (murine) ecotropic retroviral transforming sequence	chr11:118582199-118684069
CCDC117	Symbol	150275	coiled-coil domain containing 117	chr22:27498661-27515282
CD44	Symbol	960	CD44 molecule (Indian blood group)	chr11:35116992-35210525
CD97	Symbol	976	CD97 molecule	chr19:14353212-14380535
CDCA7	Symbol	83879	cell division cycle associated 7	chr2:173927806-173941964
CELSR2	Symbol	1952	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	chr1:109594163-109619901
CGN	Symbol	57530	cingulin	chr1:149750485-149777791
CHD9	Symbol	80205	chromodomain helicase DNA binding protein 9	chr16:51646445-51918915
CLCF1	Symbol	23529	cardiotrophin-like cytokine factor 1	chr11:66888214-66897782
CLDN23	Symbol	137075	claudin 23	chr8:8597075-8599027
CLDN9	Symbol	9080	claudin 9	chr16:3002457-3004507
CORO2A	Symbol	7464	coronin, actin binding protein, 2A	chr9:99923079-99974995
CRABP2	Symbol	1382	cellular retinoic acid binding protein 2	chr1:154936029-154941999
CRISPLD2	Symbol	83716	cysteine-rich secretory protein LCCL domain containing 2	chr16:83411087-83500617
CROT	Symbol	54677	carnitine O-octanoyltransferase	chr7:86812886-86867048
CSRNP1	Symbol	64651	cysteine-serine-rich nuclear protein 1	chr3:39158350-39170105
CTSD	Symbol	1509	cathepsin D	chr11:1730560-1741798
CYP1A1	Symbol	1543	cytochrome P450, family 1, subfamily A, polypeptide 1	chr15:72798935-72804930
CYP1B1	Symbol	1545	cytochrome P450, family 1, subfamily B, polypeptide 1	chr2:38148249-38156827
DAB2	Symbol	1601	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	chr5:39407536-39461092
DCAF4	Symbol	26094	DDB1 and CUL4 associated factor 4	chr14:72462837-72496110
DCDC2	Symbol	51473	doublecortin domain containing 2	chr6:24279961-24466259
DENND2C	Symbol	163259	DENN/MADD domain containing 2C	chr1:114865540-115014255
DEPDC6	Symbol	64798	DEP domain containing 6	chr8:120955080-121132338
DHRS2	Symbol	10202	dehydrogenase/reductase (SDR family) member 2	chr14:23175412-23184688
DHRS3	Symbol	9249	dehydrogenase/reductase (SDR family) member 3	chr1:12550525-12600407
DLL1	Symbol	28514	delta-like 1 (Drosophila)	chr6:170433218-170441622
DNAJB6	Symbol	10049	DnaJ (Hsp40) homolog, subfamily B, member 6	chr7:156822470-156871779
DNAJC12	Symbol	56521	DnaJ (Hsp40) homolog, subfamily C, member 12	chr10:69226432-69267943
DOK7	Symbol	285489	docking protein 7	chr4:3434830-3466007
DSCAM	Symbol	1826	Down syndrome cell adhesion molecule	chr21:40306212-41140909
EDN1	Symbol	1906	endothelin 1	chr6:12398514-12405413
EFHD1	Symbol	80303	EF-hand domain family, member D1	chr2:233206567-233255730
EFNA1	Symbol	1942	ephrin-A1	chr1:153366972-153374010
EFR3B	Symbol	22979	EFR3 homolog B (S. cerevisiae)	chr2:25118477-25235508
EIF2C2	Symbol	27161	eukaryotic translation initiation factor 2C, 2	chr8:141610445-141714827
ELF3	Symbol	1999	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	chr1:200246312-200252938
ELOVL6	Symbol	79071	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	chr4:111189678-111339220
ENC1	Symbol	8507	ectodermal-neural cortex (with BTB-like domain)	chr5:73958989-73973005
EPHA2	Symbol	1969	EPH receptor A2	chr1:16323418-16355151
EPS15L1	Symbol	58513	epidermal growth factor receptor pathway substrate 15-like 1	chr19:16333407-16443762
FAM174B	Symbol	400451	family with sequence similarity 174, member B	chr15:90961682-91000035
FGF18	Symbol	8817	fibroblast growth factor 18	chr5:170779271-170816769
FKBP4	Symbol	2288	FK506 binding protein 4, 59kDa	chr12:2774368-2784846
FOXD2	Symbol	2306	forkhead box D2	chr1:47674275-47678950
FREM2	Symbol	341640	FRAS1 related extracellular matrix protein 2	chr13:38159172-38359267
FRMD6	Symbol	122786	FERM domain containing 6	chr14:51025604-51267194
FXR1	Symbol	8087	fragile X mental retardation, autosomal homolog 1	chr3:182113145-182177647
GAB2	Symbol	9846	GRB2-associated binding protein 2	chr11:77603989-77730574
GDF15	Symbol	9518	growth differentiation factor 15	chr19:18357967-18360986
GFRA1	Symbol	2674	GDNF family receptor alpha 1	chr10:117806433-118021809
GHR	Symbol	2690	growth hormone receptor	chr5:42459782-42757683
GINS3	Symbol	64785	GINS complex subunit 3 (Psf3 homolog)	chr16:56983798-56997549
GLA	Symbol	2717	galactosidase, alpha	chrX:100539434-100549657
GLB1L2	Symbol	89944	galactosidase, beta 1-like 2	chr11:133707018-133751428
GNA14	Symbol	9630	guanine nucleotide binding protein (G protein), alpha 14	chr9:79227815-79453052
GOLPH3L	Symbol	55204	golgi phosphoprotein 3-like	chr1:148885324-148936296
GOLSYN	Symbol	55638	Golgi-localized protein	chr8:110655580-110724595
GPHN	Symbol	10243	gephyrin	chr14:66043877-66718278
GPR126	Symbol	57211	G protein-coupled receptor 126	chr6:142664748-142809096
GPR81	Symbol	27198	G protein-coupled receptor 81	chr12:121670776-121781082
GPRC5C	Symbol	55890	G protein-coupled receptor, family C, group 5, member C	chr17:69939261-69955163
GRAMD1A	Symbol	57655	GRAM domain containing 1A	chr19:40183085-40209213
GREB1	Symbol	9687	growth regulation by estrogen in breast cancer 1	chr2:11591692-11645806
GRM4	Symbol	2914	glutamate receptor, metabotropic 4	chr6:34097605-34209421
H3F3B	Symbol	3021	H3 histone, family 3B (H3.3B)	chr17:71284109-71287455
HES1	Symbol	3280	hairy and enhancer of split 1, (Drosophila)	chr3:195336627-195339090
HOXC13	Symbol	3229	homeobox C13	chr12:52618842-52626595
HS6ST2	Symbol	90161	heparan sulfate 6-O-sulfotransferase 2	chrX:131587718-131923093
HSPB8	Symbol	26353	heat shock 22kDa protein 8	chr12:118100977-118116934
ICAM3	Symbol	3385	intercellular adhesion molecule 3	chr19:10305451-10311345
IER2	Symbol	9592	immediate early response 2	chr19:13122281-13126718
IGFBP4	Symbol	3487	insulin-like growth factor binding protein 4	chr17:35853201-35867508
IL17RB	Symbol	55540	interleukin 17 receptor B	chr3:53855616-53874867
IRS2	Symbol	8660	insulin receptor substrate 2	chr13:109204184-109236915
ISG20	Symbol	3669	interferon stimulated exonuclease gene 20kDa	chr15:86983042-86999883
JUNB	Symbol	3726	jun B proto-oncogene	chr19:12763309-12765125
