Transcript ID	Gene Symbol	Gene Name	Fold Change
NM_012540	Cyp1a1	Cytochrome P450, family 1, subfamily a, polypeptide 1	1140
NM_012940	Cyp1b1	Cytochrome P450, family 1, subfamily b, polypeptide 1	519
NM_173339	Ceacam10	CEA-related cell adhesion molecule 10	369
NM_177426	Gstm2	Glutathione S-transferase, mu 2	174
NM_012786	Cox8h	Cytochrom c oxidase subunit VIII-H (heart/muscle)	66
NM_022245	Cyb5	Cytochrome b-5	59
NM_019904	Lgals1	Lectin, galactose binding, soluble 1	24
NM_012520	Cat	Catalase	23
NM_017000	Nqo1	NAD(P)H dehydrogenase, quinone 1	21
NM_053788	Stx1a	Syntaxin 1A (brain)	17
XM_001081230 /// XM_213440	Col1a1	Procollagen, type 1, alpha 1	16
NM_130407	Ugt1a7	UDP glycosyltransferase 1 family, polypeptide A7	14
NM_001039691 /// NM_057105	Ugt1a6	UDP glycosyltransferase 1 family, polypeptide A6	11
XM_001077432 /// XM_235518	Ndufa6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14)	11
NM_031569 /// NM_057098 /// XM_001055907 /// XM_345486	Prpf6 /// Oprl1 /// Tcea2	PRP6 pre-mrna processing factor 6 homolog (S. Cerevisiae) /// Opioid receptor-like 1 /// Transcription elongation factor A (SII), 2	10
NM_019360	Cox6c	Cytochrome c oxidase, subunit vic	9
NM_024127	Gadd45a	Growth arrest and DNA-damage-inducible 45 alpha	9
NM_198738	Psat1	Phosphoserine aminotransferase 1	8
NM_012839	Cycs	Cytochrome c, somatic	8
NM_012541	Cyp1a2	Cytochrome P450, family 1, subfamily a, polypeptide 2	7
NM_057104	Enpp2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	6
XM_001054662 /// XM_216097	Rpa3	Replication protein A3	6
NM_031572	Cyp2c40	Cytochrome P450, family 2, subfamily c, polypeptide 40	6
NM_001024964	Exoc3	Exocyst complex component 3	6
NM_017101	Ppia	Peptidylprolyl isomerase A	5
NM_031972	Aldh3a1	Aldehyde dehydrogenase family 3, member A1	5
NM_001010921	LOC494499	LOC494499 protein	5
NM_031130	Nr2f1	Nuclear receptor subfamily 2, group F, member 1	5
NM_053698	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	5
NM_021261	Tmsb10	Thymosin, beta 10	5
NM_012941	Cyp51	Cytochrome P450, subfamily 51	4
NM_017158	Cyp2c7	Cytochrome P450, family 2, subfamily c, polypeptide 7	4
NM_017359	Rab10	RAB10, member RAS oncogene family	4
NM_001039610	Ube2cbp	Ubiquitin-conjugating enzyme E2C binding protein	4
XM_001056178 /// XM_001072602	LOC679398 /// LOC689938	Similar to NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1 /// similar to NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1	4
NM_175761	Hspca	Heat shock protein 1, alpha	4
NM_012600	Me1	Malic enzyme 1	4
NM_138547	LOC191574	3-alpha-hydroxysteroid dehydrogenase	4
NM_001013933	Ube2a	Ubiquitin-conjugating enzyme E2A, RAD6 homolog (S. Cerevisiae)	4
NM_012521	S100g	S100 calcium binding protein G	4
NM_013105 /// NM_173144	Cyp3a3 /// Cyp3a1	Cytochrome P450, subfamily 3A, polypeptide 3 /// cytochrome P450, family 3, subfamily a, polypeptide 1	4
NM_033095	Crygd	Crystallin, gamma D	3
NM_001007264	Ugt2b5	UDP-glucuronosyltransferase 2 family, member 5	3
NM_171994	Cdc42	Cell division cycle 42 homolog (S. Cerevisiae)	3
NM_031839	Cyp2c23	Cytochrome P450, family 2, subfamily c, polypeptide 23	3
NM_017172	Zfp36l1	Zinc finger protein 36, C3H type-like 1	3
NM_019630	Gip	Gastric inhibitory polypeptide	3
NM_013123	Il1r1	Interleukin 1 receptor, type I	3
NM_175760	Cyp4a14	Cytochrome P450, family 4, subfamily a, polypeptide 14	3
NM_032079	Dnaja2	Dnaj (Hsp40) homolog, subfamily A, member 2	3
NM_022513	Sult1b1	Sulfotransferase family 1B, member 1	3
NM_001014255	Aph1a	Anterior pharynx defective 1a homolog (C. Elegans)	3
NM_022229	Hspd1	Heat shock protein 1 (chaperonin)	3
NM_022381	Pcna	Proliferating cell nuclear antigen	3
NM_031533	Ugt2b	UDP glycosyltransferase 2 family, polypeptide B	3
NM_012819	Acadl	Acetyl-Coenzyme A dehydrogenase, long-chain	3
NM_031834	Sult1a1	Sulfotransferase family 1A, phenol-preferring, member 1	3
NM_031058	Msh2	Muts homolog 2 (E. Coli)	3
