Gene Symbol	Probeset ID	p-value	Fold-Change
TAC1	206552_s_at	8.90E-25	118.554
MMP1	204475_at	5.85E-09	57.0982
IGF2 /// INS-IGF2	202409_at	9.46E-05	52.1134
COL12A1	225664_at	6.64E-05	36.6789
COL15A1	203477_at	4.70E-07	33.2447
CPE	201117_s_at	3.28E-09	30.8258
C8orf84	235210_s_at	8.56E-05	24.6773
SEMA3G	219689_at	6.81E-15	23.836
CA6	206873_at	2.12E-15	23.1499
KLHDC8A	219331_s_at	4.41E-10	23.0724
AREG	205239_at	3.81E-08	20.7324
CPE	201116_s_at	8.96E-09	20.4852
EGR1	227404_s_at	1.30E-09	18.3124
EDIL3	225275_at	0.000227483	17.7401
COL12A1	231766_s_at	0.000727811	17.6914
NOG	231798_at	1.99E-18	17.4508
C8orf84	235209_at	3.68E-05	17.3243
OLFML2A	213075_at	1.70E-05	17.1518
IGF2 /// INS-IGF2	202410_x_at	8.87E-06	16.7127
TMEFF2	223557_s_at	7.10E-13	16.0472
EGR1	201694_s_at	7.86E-10	15.9778
IGF2 /// INS-IGF2	210881_s_at	1.19E-05	14.89
LOC100128178	232090_at	1.54E-08	14.1288
EDN3	208399_s_at	1.60E-07	13.3829
ANO1	218804_at	3.36E-06	13.0052
COL12A1	231879_at	0.00118974	12.4699
TOX	204529_s_at	8.13E-08	12.0633
KLHDC8A	222871_at	3.64E-11	12.0556
GNAS	217057_s_at	2.59E-07	11.3184
NTN1	227816_at	3.83E-06	11.2882
KIAA1161	232244_at	1.01E-08	10.698
BGN	213905_x_at	5.99E-10	10.5048
NRCAM	204105_s_at	0.000287125	10.4987
DDR2	225442_at	4.37E-08	10.449
COL9A1	222008_at	9.79E-12	10.2801
EGR1	201693_s_at	4.61E-08	9.27506
TMEM100	219230_at	5.12E-16	8.92156
VCAN	221731_x_at	0.000175742	8.91283
VSNL1	203798_s_at	2.20E-17	8.70627
VCAN	215646_s_at	0.000248408	8.69701
4-Sep	210657_s_at	0.000406555	8.59618
FGFBP3	238453_at	8.54E-06	8.56254
VCAN	204620_s_at	0.000202754	8.46006
ROR2	205578_at	6.80E-09	8.26938
PAQR5	242871_at	2.79E-15	8.21356
KRT8	209008_x_at	2.28E-07	8.19426
	230650_at	3.09E-11	8.00837
RDH10	226021_at	0.000115327	7.96086
KRT6B	213680_at	5.08E-05	7.87375
SCML4	1569225_a_at	3.57E-05	7.76742
FGF1	1552721_a_at	6.30E-10	7.76466
TIE1	204468_s_at	8.59E-06	7.76412
MPZ	210280_at	0.00134517	7.45895
PDE1C	239218_at	0.000308087	7.41836
	242488_at	1.20E-08	7.40508
ENO3	204483_at	2.62E-08	7.29149
SORBS1	218087_s_at	6.82E-05	7.18451
GAL3ST1	205670_at	2.01E-09	7.11375
BGN	201261_x_at	2.78E-09	7.09353
	238623_at	1.06E-06	7.07159
RAB11FIP4	224482_s_at	3.44E-09	6.96372
VCAN	211571_s_at	0.000283024	6.8201
ITIH5	1553243_at	1.37E-05	6.81689
THBS1	201107_s_at	0.00024933	6.77594
VCAN	204619_s_at	0.00018208	6.76239
GALNAC4S-6ST	203066_at	5.77E-05	6.66681
	215126_at	5.31E-06	6.5501
COL6A2	209156_s_at	0.00108778	6.49128
ALCAM	201952_at	3.71E-05	6.46199
VSNL1	203797_at	2.35E-12	6.4376
CMTM5	230942_at	0.000181061	6.3959
LOXL3	228253_at	1.45E-06	6.36081
GALNT6	219956_at	1.10E-07	6.34244
EGFR	201983_s_at	0.000210808	6.27695
	237169_at	2.01E-08	6.15236
C8orf46	229430_at	1.61E-05	6.11579
AQP3	39248_at	9.41E-06	6.1141
RDH10	1552378_s_at	4.37E-06	6.09388
