# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_001337|NM_001337	hgnc_symbol|CX3CR1|CX3CR1
refseq_dna|NM_002660|NM_002660	hgnc_symbol|PLCG1|PLCG1
refseq_dna|NM_031950|NM_031950	hgnc_symbol|FGFBP2|FGFBP2
refseq_dna|NM_002984|NM_002984	hgnc_symbol|CCL4|CCL4
refseq_dna|NM_002120|NM_002120	hgnc_symbol|HLA-DOB|HLA-DOB
refseq_dna|NM_006344|NM_006344	hgnc_symbol|CLEC10A|CLEC10A
refseq_dna|NM_000584|NM_000584	hgnc_symbol|IL8|IL8
refseq_dna|NM_000579|NM_000579	hgnc_symbol|CCR5|CCR5
refseq_dna|NM_015645|NM_015645	hgnc_symbol|C1QTNF5|C1QTNF5
refseq_dna|NM_000201|NM_000201	hgnc_symbol|ICAM1|ICAM1
refseq_dna|NM_006770|NM_006770	hgnc_symbol|MARCO|MARCO
refseq_dna|NM_000759|NM_000759	hgnc_symbol|CSF3|CSF3
refseq_dna|NM_006601|NM_006601	hgnc_symbol|PTGES3|PTGES3
refseq_dna|NM_006738|NM_006738	hgnc_symbol|AKAP13|AKAP13
refseq_dna|NM_004272|NM_004272	hgnc_symbol|HOMER1|HOMER1
refseq_dna|NM_023914|NM_023914	hgnc_symbol|P2RY13|P2RY13
refseq_dna|NM_005426|NM_005426	hgnc_symbol|TP53BP2|TP53BP2
refseq_dna|NM_003744|NM_003744	hgnc_symbol|NUMB|NUMB
refseq_dna|NM_000956|NM_000956	hgnc_symbol|PTGER2|PTGER2
refseq_dna|NM_003385|NM_003385	hgnc_symbol|VSNL1|VSNL1
refseq_dna|NM_005358|NM_005358	hgnc_symbol|LMO7|LMO7
refseq_dna|NM_003775|NM_003775	hgnc_symbol|S1PR4|S1PR4
refseq_dna|NM_015458|NM_015458	hgnc_symbol|MTMR9|MTMR9
refseq_dna|NM_015568|NM_015568	hgnc_symbol|PPP1R16B|PPP1R16B
entrezgene|AB011168|23005	hgnc_symbol|MAPKBP1|MAPKBP1
entrezgene|U59752|9266	hgnc_symbol|CYTH2|CYTH2
refseq_dna|NM_002880|NM_002880	hgnc_symbol|RAF1|RAF1
refseq_dna|NM_001456|NM_001456	hgnc_symbol|FLNA|FLNA
refseq_dna|NM_016651|NM_016651	hgnc_symbol|DACT1|DACT1
refseq_dna|NM_006888|NM_006888	hgnc_symbol|CALM1|CALM1
refseq_dna|NM_014624|NM_014624	hgnc_symbol|S100A6|S100A6
refseq_dna|NM_002149|NM_002149	hgnc_symbol|HPCAL1|HPCAL1
refseq_dna|NM_004036|NM_004036	hgnc_symbol|ADCY3|ADCY3
refseq_dna|NM_012103|NM_012103	hgnc_symbol|AUP1|AUP1
refseq_dna|NM_014045|NM_014045	hgnc_symbol|LRP10|LRP10
refseq_dna|NM_019555|NM_019555	hgnc_symbol|ARHGEF3|ARHGEF3
refseq_dna|NM_003920|NM_003920	hgnc_symbol|TIMELESS|TIMELESS
refseq_dna|NM_005526|NM_005526	hgnc_symbol|HSF1|HSF1
refseq_dna|NM_015057|NM_015057	hgnc_symbol|PAM|PAM
refseq_dna|NM_007152|NM_007152	hgnc_symbol|ZNF195|ZNF195
refseq_dna|NM_003453|NM_003453	hgnc_symbol|ZMYM2|ZMYM2
refseq_dna|NM_000176|NM_000176	hgnc_symbol|NR3C1|NR3C1
refseq_dna|NM_002359|NM_002359	hgnc_symbol|MAFG|MAFG
refseq_dna|NM_006662|NM_006662	hgnc_symbol|SRCAP|SRCAP
entrezgene|AW972951|4774	hgnc_symbol|NFIA|NFIA
refseq_dna|NM_002957|NM_002957	hgnc_symbol|RXRA|RXRA
refseq_dna|NM_001949|NM_001949	hgnc_symbol|E2F3|E2F3
refseq_dna|NM_003597|NM_003597	hgnc_symbol|KLF11|KLF11
refseq_dna|NM_002198|NM_002198	hgnc_symbol|IRF1|IRF1
refseq_dna|NM_012406|NM_012406	hgnc_symbol|PRDM4|PRDM4
refseq_dna|NM_021976|NM_021976	hgnc_symbol|RXRB|RXRB
refseq_dna|NM_018660|NM_018660
refseq_dna|NM_003670|NM_003670	hgnc_symbol|BHLHE40|BHLHE40
refseq_dna|NM_005903|NM_005903	hgnc_symbol|SMAD5|SMAD5
refseq_dna|NM_003451|NM_003451	hgnc_symbol|ZNF177|ZNF177
refseq_dna|NM_003220|NM_003220	hgnc_symbol|TFAP2A|TFAP2A
refseq_dna|NM_003407|NM_003407	hgnc_symbol|ZFP36|ZFP36
refseq_dna|NM_032682|NM_032682	hgnc_symbol|FOXP1|FOXP1
refseq_dna|NM_012112|NM_012112	hgnc_symbol|TPX2|TPX2
refseq_dna|NM_019100|NM_019100	hgnc_symbol|DMAP1|DMAP1
refseq_dna|NM_012081|NM_012081	hgnc_symbol|ELL2|ELL2
refseq_dna|NM_002107|NM_002107	hgnc_symbol|H3F3A|H3F3A
refseq_dna|NM_002265|NM_002265	hgnc_symbol|KPNB1|KPNB1
