# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|AJ131563|361170	mgi_symbol|Adam32|Adam32
refseq_dna|NM_016991|NM_016991	mgi_symbol|Adra1b|Adra1b
refseq_dna|NM_031057|NM_031057	mgi_symbol|Aldh6a1|Aldh6a1
refseq_dna|NM_012904|NM_012904	mgi_symbol|Anxa1|Anxa1
refseq_dna|XM_237839|XM_237839	mgi_symbol|Mfi2|Mfi2
refseq_dna|NM_019157|NM_019157	mgi_symbol|Aqp7|Aqp7
refseq_dna|NM_024399|NM_024399	mgi_symbol|Aspa|Aspa
refseq_dna|NM_133586|NM_133586	mgi_symbol|Ces2l|Ces2l
refseq_dna|XM_214551|XM_214551	mgi_symbol|Cidea|Cidea
entrezgene|CB548045|309361	mgi_symbol|Chuk|Chuk
refseq_dna|NM_022950|NM_022950	mgi_symbol|C1galt1|C1galt1
refseq_dna|XM_218858|XM_218858	mgi_symbol|Cpeb1|Cpeb1
refseq_dna|NM_012843|NM_012843	mgi_symbol|Emp1|Emp1
refseq_dna|NM_199114|NM_199114	mgi_symbol|Fgfrl1|Fgfrl1
refseq_dna|XM_215281|XM_215281	mgi_symbol|Gpr120|Gpr120
refseq_dna|XM_221630|XM_221630	mgi_symbol|Hlcs|Hlcs
refseq_dna|NM_012588|NM_012588	mgi_symbol|Igfbp3|Igfbp3
refseq_dna|NM_001008338|NM_001008338	mgi_symbol|Lrrc8d|Lrrc8d
refseq_dna|NM_017115|NM_017115	mgi_symbol|Myog|Myog
refseq_dna|XM_218927|XM_218927	mgi_symbol|Odz4|Odz4
refseq_dna|NM_001004086|NM_001004086	mgi_symbol|Pon3|Pon3
refseq_dna|NM_013186|NM_013186	mgi_symbol|Kcnb1|Kcnb1
embl|X60660|X60660	mgi_symbol|RY2G5|RY2G5
entrezgene|L14933|116548	mgi_symbol|Pcsk5|Pcsk5
entrezgene|CB547809|298034	mgi_symbol|Slc46a2|Slc46a2
refseq_dna|XM_224518|XM_224518	mgi_symbol|Tgds|Tgds
