Probe Set ID	Corr. coeff	Gene Symbol	Gene Title
204497_at	0.44	ADCY9	adenylate cyclase 9
202204_s_at	0.44	AMFR	autocrine motility factor receptor
210085_s_at	0.43	ANXA9	annexin A9
220581_at	0.45	C6orf97	chromosome 6 open reading frame 97
203963_at	0.48	CA12	carbonic anhydrase XII
41660_at	0.43	CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
206754_s_at	0.45	CYP2B6  CYP2B7P1	cytochrome P450, family 2, subfamily B, polypeptide 6 /// cytochrome P450, family 2, subfamily B, polypeptide 7
205225_at	0.5	ESR1	estrogen receptor 1
220134_x_at	0.46	FAM176B	family with sequence similarity 176, member B
205354_at	0.45	GAMT	guanidinoacetate N-methyltransferase
209602_s_at	0.45	GATA3	GATA binding protein 3
205696_s_at	0.45	GFRA1	GDNF family receptor alpha 1
205862_at	0.46	GREB1	growth regulation by estrogen in breast cancer 1
212195_at	0.44	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)
220540_at	0.44	KCNK15	potassium channel, subfamily K, member 15
212495_at	0.45	KDM4B	lysine (K)-specific demethylase 4B
201826_s_at	0.43	SCCPDH	saccharopine dehydrogenase (putative)
219197_s_at	0.46	SCUBE2	signal peptide, CUB domain, EGF-like 2
202088_at	0.46	LIV1 (SLC39A6)	solute carrier family 39 (zinc transporter), member 6
219241_x_at	0.44	SSH3	slingshot homolog 3 (Drosophila)
203439_s_at	0.44	STC2	stanniocalcin 2
212956_at	0.43	TBC1D9	TBC1 domain family, member 9 (with GRAM domain)
205009_at	0.44	TFF1	trefoil factor 1
