Functional classification	Gene description	Gene symbol	Fold Change	Gen Bank ID
inflammatory response	Sus scrofa selectin E	SELE	9.232597	NM_214268
inflammatory response	Sus scrofa chemokine ligand 26-like mRNA	CCL26	8.645769	NM_001078665
inflammatory response	Sus scrofa Toll-like receptor 3	TLR3	7.331916	NM_001097444.1
inflammatory response	Sus scrofa matrix metallopeptidase 25	MMP25	3.32788	NM_213905
inflammatory response	Sus scrofa toll-like receptor 7	TLR7	3.262197	NM_001097434
inflammatory response	Sus scrofa interleukin 13	IL13	2.4685268	NM_213803
inflammatory response	Sus scrofa sphingosine 1-phosphate receptor 3-like	S1PR3	2.293045	BP173206
inflammatory response	chemokine (C-C motif) ligand 8	CCL8	2.0915823	NM_001164515.1
inflammatory response	Sus scrofa S100 calcium binding protein A2	S100A2	2.04835	XM_001929556
inflammatory response	Sus scrofa Toll-like receptor 5	TLR5	-2.10299	NM_001123202
inflammatory response	Rep: transforming growth factor, beta 2-Macaca mulatta	TGFB2	-2.180843	EV858461
inflammatory response	Rep: leukocyte cell-derived chemotaxin 2	LECT2	-2.381497	NM_002302.2
inflammatory response	Sus scrofa S100 calcium binding protein A16	S100A16	-13.31639	NM_001190208.1
