Chromosome	Gene Name	Sum of Exon Lengths	Uninduced Cytoplasmic Avg Reads Counts	Uninduced Cytoplasmic Avg RPKM	Induced Cytoplasmic Avg Reads Counts	Induced Cytoplasmic Avg RPKM	Induced vs Uninduced (Cytoplasmic)
chr11	MMP7	1124	0	0	147.5	3.14844187	147
chr2	ALPP	2876	0	0	140.5	1.172217534	140
chr9	PAEP	847	0	0	59.5	1.684623997	50
chr14	GZMB	931	1.5	0.031628175	236.5	6.094529045	192.6930338
chr17	SECTM1	2286	2.5	0.021276731	321	3.369174929	158.3502146
chr6	TREM1	924	0.5	0.010741041	48.5	1.259329558	117.2446504
chr16	ITGAX	4679	2.5	0.010395086	206.5	1.058729584	101.8490456
chr5	LCP2	2443	1.5	0.012053144	118	1.15919512	96.17367097
chr22	IL2RB	4053	8	0.038612685	513.5	3.039778839	78.724877
chr19	THEG	1328	3	0.044346131	178	3.214585382	72.48851904
chr2	BIN1	2687	2.5	0.018345841	146	1.303756944	71.06553227
chr1	GBP2	2606	100.5	0.752891666	5557.5	51.16627589	67.95967895
chr17	DYSFIP1	802	1.5	0.0367155	52	1.555524521	42.36697066
chr5	EGR1	3138	108	0.671540738	3073	23.49635038	34.9887193
chr17	CD7	1287	5.5	0.083295988	152	2.833634046	34.01885407
chr19	SIGLECP3	2229	24.5	0.214197555	670.5	7.218320579	33.69936021
chr2	SLC4A3	4323	12.5	0.056407519	335.5	1.86155087	33.00182164
chr17	C17orf87	671	53.5	1.555228807	1403	50.16514965	32.25580019
chr9	PTGS1	5104	94	0.359518868	2304	10.83087116	30.12601599
chr1	RGS2	1354	29.5	0.424948473	656.5	11.63445605	27.37851007
chr15	PYGO1	1263	2.5	0.038510378	55.5	1.054189089	27.37415597
chr9	ABCA2	8414	22	0.051119691	479	1.366007857	26.72175508
chr11	YPEL4	1726	4.5	0.050990243	94	1.306405807	25.62070156
chr1	SFN	1316	7	0.103835689	142	2.588561908	24.92940457
chr19	COX6B2	1662	4	0.046982213	81	1.169442408	24.89117322
chr1	SLAMF7	2663	16	0.117164634	295.5	2.662624576	22.72549735
chr1	RGS1	1408	148	2.051934815	2630	44.81580154	21.84075303
chr4	IL8	1655	10.5	0.123750746	150	2.174643218	17.57276862
chrX	GUCY2F	3717	20.5	0.107530333	291.5	1.88308903	17.51216595
chr1	GBP7	2465	85.5	0.677567561	1194	11.62203441	17.15258387
chrX	IGSF1	5567	56.5	0.197915129	787.5	3.393769295	17.14759911
chr11	MS4A14	3355	10.5	0.060947586	145	1.036738864	17.01033519
chr5	LOC100170939	1023	6.5	0.125157752	82	1.933371704	15.44747872
chr1	TIE1	3904	134	0.669281169	1565.5	9.620756376	14.3747603
chr1	SNORA14B	136	1	0.145951788	11.5	2.031342447	13.91790039
chr14	FOS	2160	39	0.352312472	396.5	4.404529872	12.50177106
chr1	CD1A	2099	11	0.102302147	103	1.17751611	11.5101799
chr11	TNNI2	816	6	0.143537571	54	1.588139343	11.06427632
chr2	SNORD53	77	0.5	0.128892488	4.5	1.40309551	10.88578187
chr19	TRPM4	4078	53.5	0.256221644	466.5	2.744842719	10.7127668
chr13	C13orf16	714	13	0.354966514	111.5	3.745102634	10.55058008
chr2	LOC541471	1104	7.5	0.132170128	63.5	1.38061336	10.44572914
chr15	FAH	1461	24.5	0.327243681	201	3.300778228	10.08660646
chr9	WASH1	1848	142	1.50035402	1126	14.61668631	9.742158262
chr9	HIATL2	789	19	0.469673953	130	3.949557976	8.409148417
chr12	SLC4A8	5983	189.5	0.618485615	1287.5	5.163484324	8.348592428
chr11	CDKN1C	1931	38.5	0.388273892	252	3.130309541	8.062116997
chr10	DUSP5	2530	101	0.779950094	660.5	6.263746035	8.030957476
chr6	GSTA4	1347	37.5	0.543338859	235.5	4.196914821	7.724304552
chr11	GAB2	6138	129	0.410267699	788.5	3.082229207	7.512726966
chr5	REEP2	2106	33	0.305418621	196.5	2.238108347	7.328002266
chr3	ETV5	4113	111.5	0.528921603	642	3.744740455	7.079953694
chr9	GSN	3219	51	0.309587322	293.5	2.187774925	7.066745852
chr11	MS4A7	3013	91	0.589585454	520.5	4.145033654	7.030420485
chr2	NCRNA00152	955	18	0.367593339	102.5	2.574731969	7.004294401
chr19	MAG	2437	28.5	0.228091556	161.5	1.590523152	6.973178563
chr11	TSPAN32	1386	81.5	1.148478547	438	7.58354723	6.603124849
chr6	B3GALT4	1689	37.5	0.433319978	194	2.755841731	6.359830773
chr10	EGR2	3148	97	0.601508142	491.5	3.74577257	6.227301527
chr17	PLCD3	3473	169.5	0.951736416	857	5.919893806	6.220098028
chr12	CD69	2068	227.5	2.148225306	1114.5	12.93236225	6.02002137
chr6	CMAH	3401	290	1.664642786	1415	9.982858039	5.996997146
chr19	EMP3	834	79.5	1.86338415	387.5	11.14913789	5.983273976
chr9	CBWD3	1740	60.5	0.679034271	293.5	4.045449172	5.957650957
chr14	CDH24	3566	37	0.203099006	179.5	1.207469118	5.945224153
chr20	SGK2	2246	20.5	0.178395034	99	1.058196419	5.931759385
chr9	CBWD5	1584	60.5	0.745908858	291.5	4.413739713	5.917264109
chr9	CBWD6	1733	56.5	0.636530213	272	3.763537315	5.91258237
chr12	SLC2A3	3947	195	0.963933714	899.5	5.467202029	5.671761398
chr7	MIR593	101	1	0.193278313	4.5	1.068353637	5.527540164
chr9	TMEM2	6547	119.5	0.35653736	515.5	1.889038884	5.298291554
chr12	NAB2	2717	301	2.162383997	1285.5	11.35120909	5.249395625
chr19	SNORA68	134	5	0.725949361	21	3.760185326	5.179679916
chr8	FBXO32	1676	47	0.546254266	196.5	2.813128012	5.149850881
chr4	TEC	3637	266	1.426004073	1087	7.169318184	5.027557999
chr3	TNNC1	701	9.5	0.264317224	38.5	1.318435698	4.988080897
chr12	CCDC64	3090	933	5.891581525	3775	29.31025927	4.974939096
chr11	C11orf21	2267	226	1.945648773	913.5	9.667000854	4.968523091
chr13	DGKH	4278	45	0.205111017	181	1.015123973	4.949144068
chr16	TNFRSF12A	1034	29	0.546862196	115	2.667357902	4.877568645
chr17	CCL3	797	13	0.319647962	51.5	1.551159833	4.852713045
chrX	TMSB4X	631	9176	283.9404358	34968.5	1329.678828	4.682949873
chrX	TMSL3	632	9176	283.491163	34968.5	1327.574906	4.682949873
chr1	CHI3L2	1620	29.5	0.356591708	112	1.658980486	4.652324904
chr19	IL27RA	3271	99.5	0.593257282	373	2.735467524	4.610929535
chr16	SNORA50	137	2	0.284979702	7.5	1.311059372	4.600535976
chr6	IRF4	5322	136.5	0.500343034	500	2.254237322	4.505383648
chr17	C17orf103	4786	66	0.269200425	240.5	1.205764441	4.479058464
chr12	TCTN1	2058	215.5	2.043880766	784.5	9.146986831	4.475303541
chr2	COLEC11	1388	31.5	0.443377127	114.5	1.97856862	4.462495918
chr2	CHRND	1752	72.5	0.806590341	261.5	3.580577879	4.439152934
chr4	TMSL3	627	7525.5	234.3997732	26897.5	1029.381408	4.391563158
chr7	TTYH3	4827	171.5	0.69421783	608.5	3.02426583	4.356364386
chr10	PRF1	2536	40.5	0.311558532	143	1.352949362	4.342520654
chr21	ITGB2	3160	59	0.363852995	206	1.564478221	4.299753588
chr3	CXCR6	1955	24	0.239813281	83.5	1.024479124	4.271986608
chr16	TBX6	1809	25	0.270322134	86.5	1.147324799	4.244287296
chr8	ST3GAL1	6980	600.5	1.6784664	2064.5	7.095901677	4.227610202
chr19	SNORD41	71	1	0.279569622	3.5	1.179936857	4.220547456
chr17	CD68	1861	235	2.466110025	806.5	10.39839594	4.216517443
chr9	UGCG	1638	502	5.979252348	1703.5	24.95149246	4.173012111
chr1	RHOC	1628	133.5	1.600073073	450	6.631465899	4.144476906
chr20	PPP4R1L	2415	402	3.25042832	1350	13.41623055	4.127526969
