Probset ID	Symbol	Gene name
202295_s_at	CTSH	Cathepsin H
205982_x_at	SFTPC	Surfactant protein C
204039_at	CEBPA	CCAAT.enhancer binding protein (C/EBP), alpha
202768_at	FOSB	Murine osteosarcoma viral oncogene homolog B
211663_x_at	PTGDS	Prostaglandin D2 synthase 21kD
209679_s_at	LOC57228	Small transmembrane and gylcosylated protein
209619_at	CD74	CD74 molecule
219476_at	C1orf116	Chromosome 1 open reading frame 116
209788_s_at	ARTS-1	Type I tumor necrosis factor receptor shedding aminopeptidase
213281_at	JUN	V-jun sarcoma virus 17 oncogene homolog
