T-UCR	Type	Band	Upstream gene	Within gene	Downstream gene	P value	ROC analysis P value	Sensitivity (%)	Specificity (%)	Area under curve	Survival analysis 1 Z statistic	Overall Survival P value	Event-free survival P value	Survival analysis 2 Overall Survival P value	Event-free survival P value
uc.35	p	1p21.3	PTBP2	DPYD	FLJ35409	0.0323	0.0231	75	75	0.75	2.272	0.028	0.1334	0.0072	0.0072
uc.51	n	2p16.1	AB067499	-	VRK2	0.0131	0.0012	100	58.3	0.812	3.237	0.0155	0.0229	0.0181	0.0357
uc.58	n	2p16.1	FANCL	-	BCL11A	0.0253	0.0001	100	83.3	0.896	5.491	0.0004	0.0004	0.4262	0.4262
uc.64	p	2p15	TMEM17	NACSIN	OTX1	0.0037	0.0001	100	66.7	0.885	5.093	0.0071	0.0222	0.0007	0.0007
uc.70	p	2q22.3	KYNU	ARHGAP15	AK126774	0.0111	0.0023	75	91.7	0.802	3.05	0.0018	0.0133	0.0049	< 0.0001
uc.81	n	2q22.3	ZFHX1B	-	ACVR2	0.0027	0.0001	75	91.7	0.88	4.913	0.0004	0.004	0.0019	0.0004
uc.84	p	2q24.1	NR4A2	-	GPD2	0.0051	0.0006	75	91.7	0.823	3.437	0.0047	0.0133	0.5032	0.658
uc.100	n	2q31.1	RAPGEF4	ZAK	CDCA7	0.0491	0.0006	87.5	83.3	0.823	3.437	0.0018	0.0029	0.4156	0.4156
uc.121	n	3q13.31	ZBTB20	-	AF119886	0.0004	0.0001	100	75	0.937	7.893	0.0021	0.0055	0.0007	0.0007
uc.122	n	3q13.31	ZBTB20	-	AF119886	0.0078	0.0001	87.5	75	0.844	3.889	0.0067	0.0125	0.0007	0.0007
uc.129	e	3q25.2	TMEM14E	MBNL1	P2RY1	0.0055	0.0012	75	91.7	0.812	3.237	0.0018	0.0133	0.0019	0.0004
uc.165	n	5q14.3	TMEM161B	-	MEF2C	0.0156	0.0067	62.5	91.7	0.781	2.711	0.0012	0.0005	0.0115	0.007
uc.167	n	5q14.3	MEF2C	-	CETN3	0.0061	0.0001	62.5	100	0.865	4.428	< 0.0001	0.0001	0.0348	0.0348
uc.185	e	5q35.3	COL23A1	CLK4	ZNF354A	0.006	0.0001	87.5	83.3	0.875	4.742	0.0018	0.0008	0.0021	0.0014
uc.189	e	6p21.31	STK38	SFRS3	CDKN1A	0.0054	0.0006	100	58.3	0.823	3.437	0.0185	0.0417	0.0007	0.0007
