Rank	GeneName	Genebank Accession	Description	Expression in precursor	Expression in iPS-DC	Fold change
1	Tm7sf4	NM_029422	Mus musculus transmembrane 7 superfamily member 4 (Tm7sf4), mRNA [NM_029422]	1.453	311.9	214.6593255
2	Marco	NM_010766	Mus musculus macrophage receptor with collagenous structure (Marco), mRNA [NM_010766]	132	23286	176.4090909
3	Ccl17	NM_011332	Mus musculus chemokine (C-C motif) ligand 17 (Ccl17), mRNA [NM_011332]	6.239	652.1	104.5199551
4	P2rx5	NM_033321	Mus musculus purinergic receptor P2X, ligand-gated ion channel, 5 (P2rx5), mRNA [NM_033321]	0.719	66.79	92.89290682
5	Lipf	NM_026334	Mus musculus lipase, gastric (Lipf), mRNA [NM_026334]	0.832	58.02	69.73557692
6	Ppnr	NM_012022	Mus musculus per-pentamer repeat gene (Ppnr), mRNA [NM_012022]	1.967	131.3	66.75139807
7	Cd72	NM_007654	Mus musculus CD72 antigen (Cd72), mRNA [NM_007654]	0.963	63.55	65.99169263
8	Slamf9	NM_029612	Mus musculus SLAM family member 9 (Slamf9), mRNA [NM_029612]	7.671	501.5	65.37609177
9	H2-Ea	NM_010381	Mus musculus histocompatibility 2, class II antigen E alpha (H2-Ea), mRNA [NM_010381]	1.154	70.54	61.12651646
10	Cd72	BC003824	Mus musculus CD72 antigen, mRNA (cDNA clone MGC:6220 IMAGE:3599554), complete cds. [BC003824]	1.358	71.87	52.92341679
11	AK005018	AK005018	Mus musculus adult male liver cDNA, RIKEN full-length enriched library, clone:1300015L18 product:histocompatibility 2, class II antigen, full insert sequence. [AK005018]	6.985	364.6	52.19756621
12	Creg2	NM_170597	Mus musculus cellular repressor of E1A-stimulated genes 2 (Creg2), mRNA [NM_170597]	0.983	49.15	50
13	A630081D01Rik	AK042310	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630081D01 product:unclassifiable, full insert sequence. [AK042310]	1.161	56.81	48.93195521
14	6330407A03Rik	AK018133	Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330407A03 product:hypothetical Microbodies C-terminal targeting signal containing protein, full insert sequence [AK018133]	0.861	38.62	44.85481998
