Human (hsa-) miRNA gene	Accession no.	Fold change	P value	Expression
hsa-miR-23b	MI0000439	4.26E+00	4.99E-02	Up-regulated in RIF
hsa-miR-145	MI0000461	2.59E+00	0.039	Up-regulated in RIF
hsa-miR-99a	MI0000101	2.00E+00	0.0136	Up-regulated in RIF
hsa-miR-27b	MI0000440	1.90E+00	0.0417	Up-regulated in RIF
hsa-miR-652	MI0003667	1.90E+00	0.041	Up-regulated in RIF
hsa-miR-139-5p	MI0000261	1.82E+00	0.0284	Up-regulated in RIF
hsa-miR-195	MI0000489	1.76E+00	0.0049	Up-regulated in RIF
hsa-miR-342-3p	MI0000805	1.75E+00	0.0329	Up-regulated in RIF
hsa-miR-150	MI0000479	1.60E+00	0.0462	Up-regulated in RIF
hsa-miR-374b	MI0005566	1.49E+00	0.0446	Up-regulated in RIF
hsa-miR-32	MI0000090	6.05E-01	0.0078	Down-regulated in RIF
hsa-miR-628-5p	MI0003642	5.71E-01	0.0018	Down-regulated in RIF
hsa-miR-874	MI0005532	4.30E-01	0.0201	Down-regulated in RIF
