Gene Symbol	Name	Fold-Chang e (SOS vs. Contro l)	p-value (SOS vs. Control)	adjusted p-value (SOS vs. Control)
CCL20	chemokine (C-C motif) ligand 20	10.97	0.0001	0.0142
COL15A1	collagen, type XV, alpha 1	5.42	0	0.0057
DLK1	delta-like 1 homolog (Drosophila)	4.3	0.0002	0.0171
CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)	4.14	0.0001	0.013
CRP	C-reactive protein	4.01	0.0127	0.0339
GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	3.77	0.0001	0.0167
SLC38A1	solute carrier family 38, member 1	3.7	0.0001	0.0155
PHLDA2	pleckstrin homology-like domain, family A, member 2	3.66	0.0007	0.0284
RASD1	RAS, dexamethasone-induced 1	3.65	0.0001	0.0168
FABP4	fatty acid binding protein 4, adipocyte	3.64	0	0.0094
SOD2	superoxide dismutase 2, mitochondrial	3.5	0.0003	0.0205
COL1A2	collagen, type I, alpha 2	3.48	0.0001	0.0157
HBB	hemoglobin, beta	3.46	0.0002	0.0173
HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	3.43	0.0032	0.0498
VWF	von Willebrand factor	3.07	0	0.011
SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type	3.04	0.0018	0.039
FABP5	fatty acid binding protein 5 (psoriasis-associated)	3.04	0.002	0.0412
COL1A1	collagen, type I, alpha 1	3.03	0.0002	0.0171
GDF15	growth differentiation factor 15	3.02	0.003	0.0487
EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	2.99	0	0.0057
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrof	2.99	0	0.0071
BIRC3	baculoviral IAP repeat-containing 3	2.99	0.0011	0.0323
CASP4	caspase 4, apoptosis-related cysteine peptidase	2.97	0.0003	0.0206
BCAT1	branched chain aminotransferase 1, cytosolic	2.93	0	0.0087
COL4A1	collagen, type IV, alpha 1	2.92	0	0.0057
FCGR1B	Fc fragment of IgG, high affinity Ib, receptor (CD64)	2.89	0.0001	0.013
IFI16	interferon, gamma-inducible protein 16	2.86	0.0008	0.03
F2RL1	coagulation factor II (thrombin) receptor-like 1	2.84	0.0015	0.0365
GPNMB	glycoprotein (transmembrane) nmb	2.84	0.0009	0.0306
RGS4	regulator of G-protein signaling 4	2.82	0	0.0057
SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	2.81	0.0001	0.0159
CCL2	chemokine (C-C motif) ligand 2	2.8	0.0009	0.0304
RRM2	ribonucleotide reductase M2	2.78	0	0.0057
LONRF2	LON peptidase N-terminal domain and ring finger 2	2.77	0.0002	0.0197
IL32	interleukin 32	2.72	0.0006	0.0276
