Probe ID	Unigene	Gene	Description
1424600_at	Hs.647097	ABP1	Amiloride binding protein 1 amine oxidase (coppercontaining)
1427034_at	Hs.298469	ACE	Angiotensin I-converting enzyme (peptidyldipeptidase A) 1
1418553_at	Hs.465761	ARHGEF18	Rho/rac guanine nucleotide exchange factor (GEF) 18
1459924_at	Hs.463074	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1
1416582_a_at	Hs.370254	BAD	BCL2-antagonist of cell death
1423635_at	Hs.73853	BMP2	Bone morphogenetic protein 2
1456616_a_at	Hs.591382	BSG	BSG: Basigin (Ok blood group)
1424226_at	Hs.309849	C14orf159	Chromosome 14 open reading frame 159
1427944_at	Hs.234355	C1QDC1	C1q domain containing 1
1449248_at	Hs.436847	CLCN2	Chloride channel 2
1416565_at	Hs.431668	COX6B1	Cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)
1420617_at	Hs.127126	CPEB4	Cytoplasmic polyadenylation element binding protein 4
1415677_at	Hs.348350	DHRS1	Dehydrogenase/reductase (SDR family) member 1
1416697_at	Hs.368912	DPP4	Dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)
1450314_at	Hs.191705	DQX1	DEAQ box polypeptide 1 (RNA-dependent ATPase)
1421136_at	Hs.1408	EDN3	Endothelin 3
1423005_a_at	Hs.147953	ESPN	Espin
1421969_a_at	Hs.528334	FAAH	Fatty acid amide hydrolase
1452117_a_at	Hs.370503	FYB	FYN binding protein (FYB-120/130)
1436889_at	Hs.175934	GABRA1	gamma -Aminobutyric acid (GABA) A receptor, alpha 1
1423236_at	Hs.514806	GALNT1	UDP-N-acetyl- -D-galactosamine:polypeptide Nacetylgalactosaminyltransferase 1 (GalNAc-T1)
1418863_at	Hs.243987	GATA4	GATA binding protein 4
1429076_a_at	Hs.438712	GDPD2	Glycerophosphodiester phosphodiesterase domain containing 2
1449144_at	Hs.654784	GNA11	Guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
1419371_s_at	Hs.463278	GOSR2	Golgi SNAP receptor complex member 2
1416416_x_at	Hs.75652	GSTM5	Glutathione S-transferase M5
1425343_at	Hs.7739	HDHD3	Haloacid dehalogenase-like hydrolase domain containing 3
1422527_at	Hs.351279	HLA-DMA	HLA-DMA: Major histocompatibility complex, class II, DM alpha
1419455_at	Hs.418291	IL10RB	Interleukin 10 receptor, beta
1418265_s_at	Hs.374097	IRF2	Interferon regulatory factor 2
1433775_at	Hs.591502	KIAA1522	KIAA1522
1425547_a_at	Hs.408062	KLC4	Kinesin light chain 4
1451322_at	Hs.192586	CMBL	Carboxymethylenebutenolidase homolog (Pseudomonas)
1425780_a_at	Hs.355606	TMEM167	Transmembrane protein 167
1425704_at	Hs.462859	MGC4172	Short-chain dehydrogenase/reductase
1425930_a_at	Hs.383019	MLX	MAX-like protein X
1450376_at	Hs.501023	MXI1	MAX interactor 1
1425230_at	Hs.8876	NAGS	N-Acetylglutamate synthase
1448331_at	Hs.532853	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7
1415821_at	Hs.187866	NPTN	Neuroplastin
1451274_at	Hs.488181	OGDH	Oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
1417677_at	Hs.534399	OPN3	Opsin 3
1449330_at	Hs.374726	PDZD3	PDZ domain containing 3
1435872_at	Hs.81170	PIM1	Pim-1 oncogene
1425542_a_at	Hs.368264	PPP2R5C	Protein phosphatase 2, regulatory subunit B, gamma isoform
1422847_a_at	Hs.155342	PRKCD	Protein kinase C, delta
1424456_at	Hs.655455	PVRL2	Poliovirus receptor-related 2 (herpesvirus entry mediator B)
1430527_a_at	Hs.7158	RNF167	Ring finger protein 167
1448704_s_at	Hs.32148	SELS	Selenoprotein S
1448299_at	Hs.444915	SLC1A1	Solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1424441_at	Hs.656699	SLC27A4	Solute carrier family 27 (fatty acid transporter), member 4
1433595_at	Hs.213642	SLC35D1	Solute carrier family 35 (UDP-glucuronic acid/UDPN- acetylgalactosamine dual transporter), member D1
1421225_a_at	Hs.5462	SLC4A4	Solute carrier family 4, sodium bicarbonate cotransporter, member 4
1448783_at	Hs.408567	SLC7A9	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 9
1436797_a_at	Hs.512465	SURF4	Surfeit 4
1428095_a_at	Hs.587176	TMEM24	Transmembrane protein 24
1417895_a_at	Hs.534521	TMEM54	Transmembrane protein 54
1434553_at	Hs.483512	TMEM56	Transmembrane protein 56
1420412_at	Hs.478275	TNFSF10	Tumor necrosis factor (ligand) superfamily, member 10
1428327_at	Hs.535711	TRAK1	Trafficking protein, kinesin binding 1
1448737_at	Hs.441664	TSPAN7	Tetraspanin 7
1448782_at	Hs.313847	TXNDC11	Thioredoxin domain containing 11
1435110_at	Hs.585457	UNC5B	Unc-5 homolog B
1426399_at	Hs.449009	VWA1	Von Willebrand factor A domain containing 1
1436953_at	Hs.654521	WASPIP	WAS/WASL interacting protein family, member 1
1416545_at	Hs.592065	ZDHHC7	Zinc finger, DHHC-type containing 7
